"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Steps to reproduce:
Patient setup: in a school session today, marked as attending, session has HPV and doubles, patients is eligible for all vaccines (has consent, correct year group, no history)
Complete pre-screening questions and vaccinate the patient for any one vaccine (eg. HPV)
Testing has confirmed the following:
Two vaccinations in same session
- If HPV is followed by MenACWY then ""feeling well"" is pre-filled
- If HPV is followed by Td/IPV  then both ""feeling well"" and ""not pregnant"" are pre-populated
- If MenACWY followed by Td/IPV then ""feeling well"" is pre-filled
- If MenCAWY followed by HPV then ""feeling well"" is pre-filled
- If Td/IPV followed by MenACWY  then ""feeling well"" is pre-filled
- If Td/IPV is followed by HPV  then both ""feeling well"" and ""not pregnant"" are pre-populated
","52376","test_programmes_rav_pre_screening_questions","tests","Thu Jul 03 12:26:59 BST 2025","passed","Thu Jul 03 12:27:51 BST 2025","","test_reset","",""
"","1490","test_batch_name_too_long[Nimenrix]","tests","Thu Jul 03 12:16:02 BST 2025","passed","Thu Jul 03 12:16:03 BST 2025","","test_vaccines","",""
"","1500","test_batch_name_too_short[Fluenz Tetra - LAIV]","tests","Thu Jul 03 12:14:58 BST 2025","passed","Thu Jul 03 12:14:59 BST 2025","","test_vaccines","",""
"","11387","test_given[health_question: False-change_school: True]","tests","Thu Jul 03 12:22:31 BST 2025","passed","Thu Jul 03 12:22:42 BST 2025","","test_online_consent_hpv","",""
"","36945","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Injection', 'Injection')]","tests","Thu Jul 03 12:22:49 BST 2025","passed","Thu Jul 03 12:23:26 BST 2025","","test_online_consent_flu","",""
"","11783","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Jul 03 12:17:25 BST 2025","passed","Thu Jul 03 12:17:37 BST 2025","","test_online_consent_doubles","",""
"","910","test_invalid[password: invalid-username: invalid]","tests","Thu Jul 03 12:18:41 BST 2025","passed","Thu Jul 03 12:18:42 BST 2025","","test_log_in","",""
"","16147","test_lifecycle","tests","Thu Jul 03 12:19:02 BST 2025","passed","Thu Jul 03 12:19:18 BST 2025","","test_sessions","",""
"","2186","test_download","tests","Thu Jul 03 12:25:04 BST 2025","passed","Thu Jul 03 12:25:06 BST 2025","","test_school_moves","",""
"","2864","test_valid[role: nurse]","tests","Thu Jul 03 12:18:50 BST 2025","passed","Thu Jul 03 12:18:52 BST 2025","","test_log_in","",""
"","11950","test_vaccs_hpv_space_normalization","tests","Thu Jul 03 12:22:47 BST 2025","passed","Thu Jul 03 12:22:59 BST 2025","","test_import_records","",""
