"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1958","test_valid[role: admin]","tests","Fri Aug 15 16:09:26 BST 2025","passed","Fri Aug 15 16:09:28 BST 2025","","test_log_in","",""
"","1872","test_cohorts_empty_file","tests","Fri Aug 15 16:04:17 BST 2025","passed","Fri Aug 15 16:04:19 BST 2025","","test_programmes","",""
"","31361","test_child_list_space_normalization","tests","Fri Aug 15 16:02:34 BST 2025","passed","Fri Aug 15 16:03:05 BST 2025","","test_import_records","",""
"","12067","test_change_nhsno","tests","Fri Aug 15 16:13:44 BST 2025","passed","Fri Aug 15 16:13:56 BST 2025","","test_children","",""
"","908","test_vaccs_systmone_disallow_flu_for_previous_years","tests","Fri Aug 15 16:29:37 BST 2025","passed","Fri Aug 15 16:29:38 BST 2025","","test_import_records","",""
"","12269","test_given[health_question: False-consent_option: Nasal spray]","tests","Fri Aug 15 16:04:33 BST 2025","passed","Fri Aug 15 16:04:45 BST 2025","","test_online_consent_flu","",""
"","5982","test_refused","tests","Fri Aug 15 16:04:07 BST 2025","passed","Fri Aug 15 16:04:13 BST 2025","","test_online_consent_flu","",""
"","830","test_vaccs_no_record","tests","Fri Aug 15 16:16:41 BST 2025","passed","Fri Aug 15 16:16:42 BST 2025","","test_import_records","",""
"","0","test_create_edit_delete","tests","Fri Aug 15 16:25:33 BST 2025","broken","Fri Aug 15 16:25:33 BST 2025","","test_imms","",""
"","1987","test_valid[role: nurse]","tests","Fri Aug 15 16:09:30 BST 2025","passed","Fri Aug 15 16:09:32 BST 2025","","test_log_in","",""
"","3374","test_invalid","tests","Fri Aug 15 16:09:42 BST 2025","passed","Fri Aug 15 16:09:45 BST 2025","","test_sessions","",""
"","33991","test_invalid_consent","tests","Fri Aug 15 16:14:14 BST 2025","passed","Fri Aug 15 16:14:48 BST 2025","","test_verbal_consent","",""
"","7728","test_verify_careplus_report_for_doubles","tests","Fri Aug 15 16:08:36 BST 2025","passed","Fri Aug 15 16:08:44 BST 2025","","test_programmes","",""
"","10924","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Fri Aug 15 16:05:47 BST 2025","passed","Fri Aug 15 16:05:58 BST 2025","","test_online_consent_doubles","",""
"","7760","test_batch_add_change_archive[Fluenz]","tests","Fri Aug 15 16:01:42 BST 2025","passed","Fri Aug 15 16:01:49 BST 2025","","test_vaccines","",""
