"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1609","test_batch_name_too_long[Gardasil 9]","tests","Fri Aug 15 16:46:43 BST 2025","passed","Fri Aug 15 16:46:44 BST 2025","","test_vaccines","",""
"","2498","test_valid[role: superuser]","tests","Fri Aug 15 16:51:38 BST 2025","passed","Fri Aug 15 16:51:40 BST 2025","","test_log_in","",""
"","1628","test_batch_name_too_short[Menveo]","tests","Fri Aug 15 16:46:15 BST 2025","passed","Fri Aug 15 16:46:17 BST 2025","","test_vaccines","",""
"","3018","test_vaccs_historic_positive_file_upload","tests","Fri Aug 15 16:53:25 BST 2025","passed","Fri Aug 15 16:53:28 BST 2025","","test_import_records","",""
"","8774","test_verify_csv_report_for_doubles","tests","Fri Aug 15 16:50:52 BST 2025","passed","Fri Aug 15 16:51:01 BST 2025","","test_programmes","",""
"","37880","test_invalid_consent","tests","Fri Aug 15 16:55:51 BST 2025","passed","Fri Aug 15 16:56:29 BST 2025","","test_verbal_consent","",""
"","5928","test_class_list_file_structure","tests","Fri Aug 15 16:47:21 BST 2025","passed","Fri Aug 15 16:47:27 BST 2025","","test_import_records","",""
"","11187","test_given[health_question: True-change_school: True]","tests","Fri Aug 15 16:53:58 BST 2025","passed","Fri Aug 15 16:54:09 BST 2025","","test_online_consent_hpv","",""
"","1614","test_batch_name_too_long[Menveo]","tests","Fri Aug 15 16:46:56 BST 2025","passed","Fri Aug 15 16:46:58 BST 2025","","test_vaccines","",""
"
Steps to reproduce:
Patient setup: in a school session today, marked as attending, session has HPV and doubles, patients is eligible for all vaccines (has consent, correct year group, no history)
Complete pre-screening questions and vaccinate the patient for any one vaccine (eg. HPV)
Testing has confirmed the following:
Two vaccinations in same session
- If HPV is followed by MenACWY then ""feeling well"" is pre-filled
- If HPV is followed by Td/IPV  then both ""feeling well"" and ""not pregnant"" are pre-populated
- If MenACWY followed by Td/IPV then ""feeling well"" is pre-filled
- If MenCAWY followed by HPV then ""feeling well"" is pre-filled
- If Td/IPV followed by MenACWY  then ""feeling well"" is pre-filled
- If Td/IPV is followed by HPV  then both ""feeling well"" and ""not pregnant"" are pre-populated
","133392","test_programmes_rav_pre_screening_questions","tests","Fri Aug 15 17:00:56 BST 2025","passed","Fri Aug 15 17:03:09 BST 2025","","test_reset","",""
"","728","test_invalid[password: invalid-username: ]","tests","Fri Aug 15 16:51:22 BST 2025","passed","Fri Aug 15 16:51:22 BST 2025","","test_log_in","",""
"","1680","test_batch_name_too_long[MenQuadfi]","tests","Fri Aug 15 16:46:49 BST 2025","passed","Fri Aug 15 16:46:51 BST 2025","","test_vaccines","",""
"","10084","test_given[health_question: False-consent_option: Injection]","tests","Fri Aug 15 16:48:36 BST 2025","passed","Fri Aug 15 16:48:46 BST 2025","","test_online_consent_flu","",""
"","61662","test_create_edit_delete","tests","Fri Aug 15 17:00:20 BST 2025","passed","Fri Aug 15 17:01:22 BST 2025","","test_imms","",""
"","56087","test_rav_verify_excel_mav_854","tests","Fri Aug 15 16:49:15 BST 2025","passed","Fri Aug 15 16:50:12 BST 2025","","test_programmes","",""
"","11127","test_given[health_question: False-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Fri Aug 15 16:46:27 BST 2025","passed","Fri Aug 15 16:46:39 BST 2025","","test_online_consent_doubles","",""
"","2578","test_download","tests","Fri Aug 15 16:59:55 BST 2025","passed","Fri Aug 15 16:59:58 BST 2025","","test_school_moves","",""
"","11313","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Fri Aug 15 16:45:20 BST 2025","passed","Fri Aug 15 16:45:31 BST 2025","","test_online_consent_doubles","",""
"","2377","test_verify_search","tests","Fri Aug 15 16:53:39 BST 2025","passed","Fri Aug 15 16:53:41 BST 2025","","test_sessions","",""
"","8716","test_headers_and_filter","tests","Fri Aug 15 16:55:44 BST 2025","passed","Fri Aug 15 16:55:53 BST 2025","","test_children","",""
"","14479","test_given[health_question: False-consent_option: Nasal spray]","tests","Fri Aug 15 16:47:59 BST 2025","passed","Fri Aug 15 16:48:14 BST 2025","","test_online_consent_flu","",""
"","1889","test_visible","tests","Fri Aug 15 17:01:24 BST 2025","passed","Fri Aug 15 17:01:25 BST 2025","","test_start","",""
"","7516","test_refused","tests","Fri Aug 15 16:44:48 BST 2025","passed","Fri Aug 15 16:44:56 BST 2025","","test_online_consent_doubles","",""
"","32893","test_rav_triage_consent_given","tests","Fri Aug 15 16:46:40 BST 2025","passed","Fri Aug 15 16:47:13 BST 2025","","test_programmes","",""
"","927","test_child_list_no_record","tests","Fri Aug 15 16:45:22 BST 2025","passed","Fri Aug 15 16:45:23 BST 2025","","test_import_records","",""
"","2432","test_valid[role: admin]","tests","Fri Aug 15 16:51:28 BST 2025","passed","Fri Aug 15 16:51:30 BST 2025","","test_log_in","",""
"","683","test_invalid[password: invalid-username: invalid]","tests","Fri Aug 15 16:51:25 BST 2025","passed","Fri Aug 15 16:51:25 BST 2025","","test_log_in","",""
"","4752","test_vaccs_positive_file_upload","tests","Fri Aug 15 16:50:04 BST 2025","passed","Fri Aug 15 16:50:09 BST 2025","","test_import_records","",""
"","1","test_verify_flu_not_available","tests","Fri Aug 15 16:47:17 BST 2025","passed","Fri Aug 15 16:47:17 BST 2025","","test_vaccines","",""
"","11572","test_given[health_question: True-consent_option: Injection]","tests","Fri Aug 15 16:50:27 BST 2025","passed","Fri Aug 15 16:50:38 BST 2025","","test_online_consent_flu","",""
"","15628","test_recording_notes","tests","Fri Aug 15 16:54:54 BST 2025","passed","Fri Aug 15 16:55:09 BST 2025","","test_sessions","",""
"","45602","test_parent_provides_consent_twice","tests","Fri Aug 15 16:56:57 BST 2025","passed","Fri Aug 15 16:57:42 BST 2025","","test_verbal_consent","",""
"","7695","test_batch_add_change_archive[Gardasil 9]","tests","Fri Aug 15 16:44:54 BST 2025","passed","Fri Aug 15 16:45:02 BST 2025","","test_vaccines","",""
"","2276","test_cohorts_no_record","tests","Fri Aug 15 16:45:27 BST 2025","passed","Fri Aug 15 16:45:29 BST 2025","","test_programmes","",""
