"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2895","test_verify_search","tests","Wed Aug 27 14:53:40 BST 2025","passed","Wed Aug 27 14:53:43 BST 2025","","test_sessions","",""
"","12080","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Aug 27 14:46:33 BST 2025","passed","Wed Aug 27 14:46:46 BST 2025","","test_online_consent_doubles","",""
"","51186","test_match","tests","Wed Aug 27 15:00:37 BST 2025","passed","Wed Aug 27 15:01:28 BST 2025","","test_consent_responses","",""
"","16307","test_verify_consent_filters","tests","Wed Aug 27 14:54:10 BST 2025","passed","Wed Aug 27 14:54:26 BST 2025","","test_sessions","",""
"","1815","test_vaccs_systmone_positive_file_upload","tests","Wed Aug 27 14:56:02 BST 2025","passed","Wed Aug 27 14:56:04 BST 2025","","test_import_records","",""
"","32464","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Wed Aug 27 14:57:47 BST 2025","passed","Wed Aug 27 14:58:19 BST 2025","","test_online_consent_flu","",""
"
1. Upload vaccination records for a patient that doesn't contain vaccine information (VACCINE_GIVEN column)
2. Navigate to the patient, either in a session or from the global children view
3. Expected: patient details can be seen
Actual: crash
","8197","test_details_mav_853","tests","Wed Aug 27 14:56:51 BST 2025","passed","Wed Aug 27 14:56:59 BST 2025","","test_children","",""
"","16052","test_given[health_question: False-consent_option: ]","tests","Wed Aug 27 14:49:35 BST 2025","passed","Wed Aug 27 14:49:51 BST 2025","","test_online_consent_flu","",""
"","10947","test_given[health_question: True-change_school: True]","tests","Wed Aug 27 14:55:08 BST 2025","passed","Wed Aug 27 14:55:19 BST 2025","","test_online_consent_hpv","",""
"","1844","test_batch_name_too_short[Gardasil 9]","tests","Wed Aug 27 14:46:37 BST 2025","passed","Wed Aug 27 14:46:39 BST 2025","","test_vaccines","",""
"","56036","test_rav_verify_excel_mav_854","tests","Wed Aug 27 14:49:59 BST 2025","passed","Wed Aug 27 14:50:55 BST 2025","","test_programmes","",""
