"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1365","test_vaccs_systmone_space_normalization","tests","Tue Jul 22 12:55:04 BST 2025","passed","Tue Jul 22 12:55:05 BST 2025","","test_import_records","",""
"","1345","test_batch_name_too_short[MenQuadfi]","tests","Tue Jul 22 12:48:23 BST 2025","passed","Tue Jul 22 12:48:25 BST 2025","","test_vaccines","",""
"","1511","test_batch_name_too_long[Menveo]","tests","Tue Jul 22 12:49:03 BST 2025","passed","Tue Jul 22 12:49:04 BST 2025","","test_vaccines","",""
"","2993","test_vaccs_negative_file_upload","tests","Tue Jul 22 12:50:47 BST 2025","passed","Tue Jul 22 12:50:50 BST 2025","","test_import_records","",""
"","35440","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Tue Jul 22 12:53:40 BST 2025","passed","Tue Jul 22 12:54:15 BST 2025","","test_online_consent_flu","",""
"","25382","test_correct_method_shown[consents: (<ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Tue Jul 22 12:52:53 BST 2025","passed","Tue Jul 22 12:53:18 BST 2025","","test_online_consent_flu","",""
"","1810","test_cohort_upload_negative","tests","Tue Jul 22 12:47:25 BST 2025","passed","Tue Jul 22 12:47:26 BST 2025","","test_programmes","",""
"","6910","test_refused","tests","Tue Jul 22 12:49:30 BST 2025","passed","Tue Jul 22 12:49:36 BST 2025","","test_online_consent_flu","",""
"","5133","test_batch_add_change_archive[MenQuadfi]","tests","Tue Jul 22 12:47:34 BST 2025","passed","Tue Jul 22 12:47:39 BST 2025","","test_vaccines","",""
"","5136","test_batch_add_change_archive[Gardasil 9]","tests","Tue Jul 22 12:47:24 BST 2025","passed","Tue Jul 22 12:47:29 BST 2025","","test_vaccines","",""
"","1332","test_batch_name_too_short[Nimenrix]","tests","Tue Jul 22 12:48:35 BST 2025","passed","Tue Jul 22 12:48:36 BST 2025","","test_vaccines","",""
"","48046","test_conflicting_consent_with_gillick_consent","tests","Tue Jul 22 12:56:14 BST 2025","passed","Tue Jul 22 12:57:02 BST 2025","","test_verbal_consent","",""
"","6844","test_verify_careplus_report_for_doubles","tests","Tue Jul 22 12:50:38 BST 2025","passed","Tue Jul 22 12:50:45 BST 2025","","test_programmes","",""
"","5792","test_create_with_no_nhs_number","tests","Tue Jul 22 12:57:05 BST 2025","passed","Tue Jul 22 12:57:11 BST 2025","","test_consent_responses","",""
"","3604","test_vaccs_positive_file_upload","tests","Tue Jul 22 12:50:24 BST 2025","passed","Tue Jul 22 12:50:28 BST 2025","","test_import_records","",""
"","7875","test_gillick_competence","tests","Tue Jul 22 12:53:48 BST 2025","passed","Tue Jul 22 12:53:56 BST 2025","","test_verbal_consent","",""
"","613","test_invalid[password: invalid-username: ]","tests","Tue Jul 22 12:51:18 BST 2025","passed","Tue Jul 22 12:51:18 BST 2025","","test_log_in","",""
