"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","856","test_batch_name_too_long[Nimenrix]","tests","Thu Jul 03 15:47:16 BST 2025","passed","Thu Jul 03 15:47:17 BST 2025","","test_vaccines","",""
"","3252","test_cohort_upload_positive","tests","Thu Jul 03 15:45:57 BST 2025","passed","Thu Jul 03 15:46:00 BST 2025","","test_programmes","",""
"","2339","test_verify_systmone_report_for_hpv","tests","Thu Jul 03 15:48:51 BST 2025","passed","Thu Jul 03 15:48:54 BST 2025","","test_programmes","",""
"","5906","test_verify_consent_filters","tests","Thu Jul 03 15:50:12 BST 2025","passed","Thu Jul 03 15:50:18 BST 2025","","test_sessions","",""
"","11758","test_given[health_question: True-injection: True-change_school: False]","tests","Thu Jul 03 15:48:38 BST 2025","passed","Thu Jul 03 15:48:50 BST 2025","","test_online_consent_flu","",""
"","3151","test_vaccs_duplicate_record_upload","tests","Thu Jul 03 15:48:58 BST 2025","passed","Thu Jul 03 15:49:01 BST 2025","","test_import_records","",""
"","8295","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Jul 03 15:49:07 BST 2025","passed","Thu Jul 03 15:49:16 BST 2025","","test_online_consent_doubles","",""
"","24537","test_correct_method_shown[consents: ('Nasal spray', 'Nasal spray', 'Nasal spray')]","tests","Thu Jul 03 15:49:29 BST 2025","passed","Thu Jul 03 15:49:54 BST 2025","","test_online_consent_flu","",""
"","571","test_invalid[password: invalid-username: invalid]","tests","Thu Jul 03 15:49:04 BST 2025","passed","Thu Jul 03 15:49:04 BST 2025","","test_log_in","",""
"","645","test_child_list_file_structure","tests","Thu Jul 03 15:46:09 BST 2025","passed","Thu Jul 03 15:46:10 BST 2025","","test_import_records","",""
"","2826","test_batch_add_change_archive[Fluenz Tetra - LAIV]","tests","Thu Jul 03 15:45:56 BST 2025","passed","Thu Jul 03 15:45:59 BST 2025","","test_vaccines","",""
"","839","test_batch_name_too_long[Gardasil 9]","tests","Thu Jul 03 15:47:04 BST 2025","passed","Thu Jul 03 15:47:04 BST 2025","","test_vaccines","",""
"","24063","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Injection', 'Injection')]","tests","Thu Jul 03 15:51:30 BST 2025","passed","Thu Jul 03 15:51:54 BST 2025","","test_online_consent_flu","",""
"","860","test_batch_name_too_long[Menveo]","tests","Thu Jul 03 15:47:12 BST 2025","passed","Thu Jul 03 15:47:13 BST 2025","","test_vaccines","",""
"","2729","test_batch_add_change_archive[Nimenrix]","tests","Thu Jul 03 15:46:21 BST 2025","passed","Thu Jul 03 15:46:24 BST 2025","","test_vaccines","",""
"","1153","test_cohorts_file_structure","tests","Thu Jul 03 15:46:12 BST 2025","passed","Thu Jul 03 15:46:13 BST 2025","","test_programmes","",""
"","4909","test_refused","tests","Thu Jul 03 15:50:48 BST 2025","passed","Thu Jul 03 15:50:53 BST 2025","","test_online_consent_hpv","",""
"","8395","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Jul 03 15:48:47 BST 2025","passed","Thu Jul 03 15:48:56 BST 2025","","test_online_consent_doubles","",""
"","3178","test_change_nhsno","tests","Thu Jul 03 15:53:26 BST 2025","passed","Thu Jul 03 15:53:30 BST 2025","","test_children","",""
