"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Jul 09 19:14:50 BST 2025","broken","Wed Jul 09 19:14:50 BST 2025","","test_online_consent_doubles","",""
"","0","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Jul 09 19:16:58 BST 2025","broken","Wed Jul 09 19:16:58 BST 2025","","test_online_consent_doubles","",""
"","0","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Jul 09 19:21:13 BST 2025","broken","Wed Jul 09 19:21:13 BST 2025","","test_online_consent_doubles","",""
"","388","test_invalid[password: -username: ]","tests","Wed Jul 09 19:16:28 BST 2025","passed","Wed Jul 09 19:16:29 BST 2025","","test_log_in","",""
"","2541","test_verify_csv_report_for_hpv","tests","Wed Jul 09 19:16:07 BST 2025","passed","Wed Jul 09 19:16:10 BST 2025","","test_programmes","",""
"","0","test_vaccs_systmone_negative_file_upload","tests","Wed Jul 09 19:32:19 BST 2025","broken","Wed Jul 09 19:32:19 BST 2025","","test_import_records","",""
"","0","test_vaccs_positive_file_upload","tests","Wed Jul 09 19:26:36 BST 2025","broken","Wed Jul 09 19:26:36 BST 2025","","test_import_records","",""
"","0","test_class_list_file_upload_negative","tests","Wed Jul 09 19:34:29 BST 2025","broken","Wed Jul 09 19:34:29 BST 2025","","test_import_records","",""
"","0","test_class_list_file_upload_positive","tests","Wed Jul 09 19:21:12 BST 2025","broken","Wed Jul 09 19:21:12 BST 2025","","test_import_records","",""
"","1732","test_valid[role: admin]","tests","Wed Jul 09 19:16:23 BST 2025","passed","Wed Jul 09 19:16:25 BST 2025","","test_log_in","",""
"","0","test_class_list_space_normalization","tests","Wed Jul 09 19:31:10 BST 2025","broken","Wed Jul 09 19:31:10 BST 2025","","test_import_records","",""
