"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","577","test_batch_name_too_short[Revaxis]","tests","2026-01-30","passed","2026-01-30","","test_vaccines","",""
"
Test: Upload a SystmOne vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with invalid data.
Verification:
- Output lists errors as expected for each record
Scenarios covered:
EmptyDoB, InvalidDoB, LongerNHSNo, ShorterNHSNo, InvalidVaccsType, InvalidVaccsDose,
InvalidVaccsType, EmptyFirstName, EmptyPostcode, InvalidPostcode, EmptySex,
InvalidSex, EmptyLastName, EmptyEventDate, InvalidEventDate, FutureEventDate,
PastEventDate, InvalidEventTime, FutureEventTime, InvalidSchoolURN, LongBatchNumber,
AllValuesMMR_DoseSeq3
","999","test_vaccination_file_upload_systmone_invalid_data","tests","2026-01-30","passed","2026-01-30","","test_import_systmone_nivs","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","755","test_batch_name_too_short[Priorix]","tests","2026-01-30","passed","2026-01-30","","test_vaccines","",""
"
Test: End-to-end test for recording a flu vaccination for a child.
Steps:
1. Setup: Log in as nurse, create session, import class list, and get batch name.
2. Go to online consent URL and fill in child and parent details.
3. Agree to flu vaccination, fill address, answer health questions, and confirm.
4. Log in as nurse, navigate to session, set session in progress,
   register child as attending.
5. Record flu vaccination for the child.
Verification:
- Final consent message is shown after online consent.
- Vaccination is recorded for the child in the session.
","24052","test_recording_flu_vaccination_e2e[consent_option: ]","tests","2026-01-30","passed","2026-01-30","","test_e2e_flu","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","9796","test_consent_given_for_flu_vaccination[yes_to_health_questions: False-consent_option: ]","tests","2026-01-30","passed","2026-01-30","","test_online_consent_flu","",""
"
Test: Verify that tallying totals match the number of eligible patients.
Steps:
1. Navigate to a session with eligible patients for the given programme.
2. Compare the sum of the tally boxes with the count of eligible patients.
Verification:
- Sum of tally totals should equal the number of eligible children shown
  on the children tab.
","10341","test_tallying_totals_match_eligible_patients[Programme: MMR(V)]","tests","2026-01-30","passed","2026-01-30","","test_tallying","",""
"
Test: Upload a SystmOne vaccination records file with valid data and verify import.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with valid data.
Verification:
- Output indicates successful import of SystmOne records.
Scenarios covered:
AllValuesCervarix, AllValuesG9, AllValuesHistorical, MandatoryValues, Batch100Chars,
AllValuesMMR_DoseSeq1, AllValuesMMR_DoseSeq2
","1644","test_vaccination_file_upload_systmone_valid_data","tests","2026-01-30","passed","2026-01-30","","test_import_systmone_nivs","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links
   and team information.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Verify that team information is visible in Team page.
5. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
- Team name and email are visible in the Team page.
","1669","test_login_with_valid_credentials[role: healthcare_assistant]","tests","2026-01-30","passed","2026-01-30","","test_log_in","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","2077","test_batch_add_change_archive[MenQuadfi]","tests","2026-01-30","passed","2026-01-30","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","705","test_batch_name_too_short[Cell-based Trivalent Influenza Vaccine Seqirus]","tests","2026-01-30","passed","2026-01-30","","test_vaccines","",""
