"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1213","test_vaccs_systmone_disallow_flu_for_previous_years","tests","Thu Aug 07 18:26:00 BST 2025","passed","Thu Aug 07 18:26:01 BST 2025","","test_import_records","",""
"","29666","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Thu Aug 07 18:22:05 BST 2025","passed","Thu Aug 07 18:22:34 BST 2025","","test_online_consent_flu","",""
"","10621","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Aug 07 18:15:00 BST 2025","passed","Thu Aug 07 18:15:10 BST 2025","","test_online_consent_doubles","",""
"","8395","test_given[health_question: False-change_school: False]","tests","Thu Aug 07 18:20:22 BST 2025","passed","Thu Aug 07 18:20:31 BST 2025","","test_online_consent_hpv","",""
"","2458","test_vaccs_historic_positive_file_upload","tests","Thu Aug 07 18:21:08 BST 2025","passed","Thu Aug 07 18:21:10 BST 2025","","test_import_records","",""
"","1096","test_vaccs_nivs_disallow_flu_for_previous_years","tests","Thu Aug 07 18:25:37 BST 2025","passed","Thu Aug 07 18:25:38 BST 2025","","test_import_records","",""
"","443","test_invalid[password: -username: ]","tests","Thu Aug 07 18:19:28 BST 2025","passed","Thu Aug 07 18:19:28 BST 2025","","test_log_in","",""
"","30508","test_match","tests","Thu Aug 07 18:22:59 BST 2025","passed","Thu Aug 07 18:23:29 BST 2025","","test_consent_responses","",""
"","3598","test_verify_careplus_report_for_hpv","tests","Thu Aug 07 18:18:04 BST 2025","passed","Thu Aug 07 18:18:07 BST 2025","","test_programmes","",""
"","5499","test_class_list_file_upload_negative","tests","Thu Aug 07 18:14:53 BST 2025","passed","Thu Aug 07 18:14:58 BST 2025","","test_import_records","",""
"","8010","test_vaccs_duplicate_record_upload","tests","Thu Aug 07 18:18:55 BST 2025","passed","Thu Aug 07 18:19:03 BST 2025","","test_import_records","",""
"","11459","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Aug 07 18:17:31 BST 2025","passed","Thu Aug 07 18:17:43 BST 2025","","test_online_consent_doubles","",""
"","37805","test_invalid_consent","tests","Thu Aug 07 18:23:17 BST 2025","passed","Thu Aug 07 18:23:55 BST 2025","","test_verbal_consent","",""
"","10975","test_batch_add_change_archive[Fluenz]","tests","Thu Aug 07 18:12:43 BST 2025","passed","Thu Aug 07 18:12:54 BST 2025","","test_vaccines","",""
"","9136","test_given[health_question: True-change_school: False]","tests","Thu Aug 07 18:21:17 BST 2025","passed","Thu Aug 07 18:21:26 BST 2025","","test_online_consent_hpv","",""
"","2373","test_verify_search","tests","Thu Aug 07 18:20:18 BST 2025","passed","Thu Aug 07 18:20:20 BST 2025","","test_sessions","",""
"","10423","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Aug 07 18:15:30 BST 2025","passed","Thu Aug 07 18:15:41 BST 2025","","test_online_consent_doubles","",""
"","3486","test_invalid","tests","Thu Aug 07 18:19:21 BST 2025","passed","Thu Aug 07 18:19:25 BST 2025","","test_sessions","",""
"","10645","test_given[health_question: False-change_school: True-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Aug 07 18:16:00 BST 2025","passed","Thu Aug 07 18:16:11 BST 2025","","test_online_consent_doubles","",""
"","3557","test_verify_systmone_report_for_hpv","tests","Thu Aug 07 18:18:47 BST 2025","passed","Thu Aug 07 18:18:51 BST 2025","","test_programmes","",""
"","1182","test_visible","tests","Thu Aug 07 18:26:43 BST 2025","passed","Thu Aug 07 18:26:44 BST 2025","","test_start","",""
"","1807","test_batch_name_too_long[Gardasil 9]","tests","Thu Aug 07 18:14:38 BST 2025","passed","Thu Aug 07 18:14:40 BST 2025","","test_vaccines","",""
"","16788","test_given[health_question: True-consent_option: Nasal spray]","tests","Thu Aug 07 18:17:16 BST 2025","passed","Thu Aug 07 18:17:33 BST 2025","","test_online_consent_flu","",""
"","9625","test_given[health_question: True-change_school: True]","tests","Thu Aug 07 18:21:46 BST 2025","passed","Thu Aug 07 18:21:55 BST 2025","","test_online_consent_hpv","",""
"","5031","test_class_list_empty_file","tests","Thu Aug 07 18:16:04 BST 2025","passed","Thu Aug 07 18:16:09 BST 2025","","test_import_records","",""
"","16293","test_vaccs_historic_no_urn_mav_855","tests","Thu Aug 07 18:22:13 BST 2025","passed","Thu Aug 07 18:22:30 BST 2025","","test_import_records","",""
