"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1643","test_batch_name_too_long[Nimenrix]","tests","Tue Aug 19 10:57:19 BST 2025","passed","Tue Aug 19 10:57:21 BST 2025","","test_vaccines","",""
"","0","test_verify_flu_not_available","tests","Tue Aug 19 10:57:30 BST 2025","passed","Tue Aug 19 10:57:30 BST 2025","","test_vaccines","",""
"","2042","test_archive","tests","Tue Aug 19 11:06:52 BST 2025","passed","Tue Aug 19 11:06:54 BST 2025","","test_consent_responses","",""
"","3427","test_verify_systmone_report_for_hpv","tests","Tue Aug 19 11:01:00 BST 2025","passed","Tue Aug 19 11:01:04 BST 2025","","test_programmes","",""
"","11045","test_given[health_question: True-change_school: True]","tests","Tue Aug 19 11:03:32 BST 2025","passed","Tue Aug 19 11:03:43 BST 2025","","test_online_consent_hpv","",""
"","6101","test_vaccs_positive_file_upload","tests","Tue Aug 19 11:00:22 BST 2025","passed","Tue Aug 19 11:00:28 BST 2025","","test_import_records","",""
"","29778","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Tue Aug 19 11:04:43 BST 2025","passed","Tue Aug 19 11:05:13 BST 2025","","test_online_consent_flu","",""
"","10923","test_given[health_question: False-change_school: True-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Tue Aug 19 10:58:23 BST 2025","passed","Tue Aug 19 10:58:34 BST 2025","","test_online_consent_doubles","",""
"","3435","test_invalid","tests","Tue Aug 19 11:02:13 BST 2025","passed","Tue Aug 19 11:02:16 BST 2025","","test_sessions","",""
"","1582","test_batch_name_too_long[MenQuadfi]","tests","Tue Aug 19 10:57:07 BST 2025","passed","Tue Aug 19 10:57:09 BST 2025","","test_vaccines","",""
"","40812","test_parent_provides_consent_twice","tests","Tue Aug 19 11:06:15 BST 2025","passed","Tue Aug 19 11:06:56 BST 2025","","test_verbal_consent","",""
"","7694","test_gillick_competence","tests","Tue Aug 19 11:04:10 BST 2025","passed","Tue Aug 19 11:04:17 BST 2025","","test_verbal_consent","",""
"","2006","test_cohorts_no_record","tests","Tue Aug 19 10:55:54 BST 2025","passed","Tue Aug 19 10:55:56 BST 2025","","test_programmes","",""
"","1581","test_vaccs_systmone_space_normalization","tests","Tue Aug 19 11:08:32 BST 2025","passed","Tue Aug 19 11:08:33 BST 2025","","test_import_records","",""
"","8641","test_given[health_question: False-change_school: True]","tests","Tue Aug 19 11:02:32 BST 2025","passed","Tue Aug 19 11:02:41 BST 2025","","test_online_consent_hpv","",""
"","15403","test_verify_consent_filters","tests","Tue Aug 19 11:03:45 BST 2025","passed","Tue Aug 19 11:04:01 BST 2025","","test_sessions","",""
