"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6894","test_create_with_nhs_number[children0]","tests","Wed Jul 09 16:52:06 BST 2025","passed","Wed Jul 09 16:52:13 BST 2025","","test_consent_responses","",""
"","3305","test_vaccs_negative_file_upload","tests","Wed Jul 09 16:45:24 BST 2025","passed","Wed Jul 09 16:45:27 BST 2025","","test_import_records","",""
"","5579","test_rav_edit_dose_to_not_given","tests","Wed Jul 09 16:44:01 BST 2025","passed","Wed Jul 09 16:44:07 BST 2025","","test_programmes","",""
"","12036","test_given[health_question: True-change_school: True]","tests","Wed Jul 09 16:50:05 BST 2025","passed","Wed Jul 09 16:50:17 BST 2025","","test_online_consent_hpv","",""
"","2976","test_verify_attendance_filters","tests","Wed Jul 09 16:47:14 BST 2025","passed","Wed Jul 09 16:47:17 BST 2025","","test_sessions","",""
"","51284","test_conflicting_consent_with_gillick_consent","tests","Wed Jul 09 16:51:47 BST 2025","passed","Wed Jul 09 16:52:38 BST 2025","","test_verbal_consent","",""
"","1422","test_visible","tests","Wed Jul 09 16:53:21 BST 2025","passed","Wed Jul 09 16:53:23 BST 2025","","test_start","",""
"","7944","test_refused","tests","Wed Jul 09 16:41:35 BST 2025","passed","Wed Jul 09 16:41:43 BST 2025","","test_online_consent_doubles","",""
"","17323","test_given[health_question: False-injection: False1]","tests","Wed Jul 09 16:44:58 BST 2025","passed","Wed Jul 09 16:45:15 BST 2025","","test_online_consent_flu","",""
"","14864","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Jul 09 16:47:08 BST 2025","passed","Wed Jul 09 16:47:22 BST 2025","","test_online_consent_doubles","",""
"","40783","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Nasal spray (or injection)', 'Nasal spray (or injection)')]","tests","Wed Jul 09 16:51:02 BST 2025","passed","Wed Jul 09 16:51:43 BST 2025","","test_online_consent_flu","",""
"","35141","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Injection', 'Injection')]","tests","Wed Jul 09 16:50:03 BST 2025","passed","Wed Jul 09 16:50:38 BST 2025","","test_online_consent_flu","",""
"","11160","test_given[health_question: False-change_school: True]","tests","Wed Jul 09 16:49:06 BST 2025","passed","Wed Jul 09 16:49:17 BST 2025","","test_online_consent_hpv","",""
"","644","test_invalid[password: invalid-username: ]","tests","Wed Jul 09 16:46:13 BST 2025","passed","Wed Jul 09 16:46:13 BST 2025","","test_log_in","",""
"","5826","test_batch_add_change_archive[Fluenz Tetra - LAIV]","tests","Wed Jul 09 16:41:30 BST 2025","passed","Wed Jul 09 16:41:35 BST 2025","","test_vaccines","",""
"","1839","test_archive","tests","Wed Jul 09 16:50:47 BST 2025","passed","Wed Jul 09 16:50:49 BST 2025","","test_consent_responses","",""
"","726","test_cohorts_empty_file","tests","Wed Jul 09 16:42:06 BST 2025","passed","Wed Jul 09 16:42:07 BST 2025","","test_programmes","",""
"","2676","test_vaccs_systmone_negative_file_upload","tests","Wed Jul 09 16:48:56 BST 2025","passed","Wed Jul 09 16:48:58 BST 2025","","test_import_records","",""
