"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Record verbal consent and triage outcome for a child in a session.
Steps:
1. Schedule session and import class list.
2. Record verbal consent for the child.
3. Update triage outcome to 'safe to vaccinate'.
Verification:
- Triage outcome is updated and reflected for the child.
","29146","test_triage_consent_given_and_triage_outcome","tests","Fri Aug 29 09:59:11 BST 2025","passed","Fri Aug 29 09:59:40 BST 2025","","test_programmes","",""
"
Test: Submit an online consent form giving consent for one or both doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines, and health question status.
","8955","test_consent_given_for_doubles_vaccination[health_question: False-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Fri Aug 29 09:55:48 BST 2025","passed","Fri Aug 29 09:55:57 BST 2025","","test_online_consent_doubles","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","5114","test_batch_add_change_archive[Menveo]","tests","Fri Aug 29 09:54:58 BST 2025","passed","Fri Aug 29 09:55:03 BST 2025","","test_vaccines","",""
"
Test: Upload a child list file with extra whitespace and verify normalization.
Steps:
1. Upload a file with whitespace issues.
2. Navigate to children page.
3. Verify the list is normalized and imported correctly.
Verification:
- Imported list matches expected normalized data.
","37775","test_child_list_file_upload_whitespace_normalization","tests","Fri Aug 29 09:55:17 BST 2025","passed","Fri Aug 29 09:55:55 BST 2025","","test_import_records","",""
"
Test: Upload a historic vaccination records file with invalid data and verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a historic file with invalid data.
Verification:
- Output lists errors as expected for each record
","2481","test_vaccination_file_upload_historic_invalid_data","tests","Fri Aug 29 10:03:37 BST 2025","passed","Fri Aug 29 10:03:39 BST 2025","","test_import_records","",""
"
Test: Changing a child's NHS number to an invalid value should fail.
Steps:
1. Setup: Import a fixed child class list and navigate to the children page.
2. Search for the child by name.
3. Open the child's record and edit it.
4. Attempt to change the NHS number to an invalid value (""9123456789"").
5. Continue to submit the change.
Verification:
- An alert appears with the message ""Enter a valid NHS number"".
","7093","test_invalid_nhs_number_change_is_rejected","tests","Fri Aug 29 10:05:08 BST 2025","passed","Fri Aug 29 10:05:15 BST 2025","","test_children","",""
"
Test: Submit an online consent form giving consent for one or both doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines, and health question status.
","10068","test_consent_given_for_doubles_vaccination[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Fri Aug 29 09:56:39 BST 2025","passed","Fri Aug 29 09:56:49 BST 2025","","test_online_consent_doubles","",""
"
Test: Upload an empty vaccination records file and verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","678","test_vaccination_file_upload_empty_file","tests","Fri Aug 29 10:02:40 BST 2025","passed","Fri Aug 29 10:02:40 BST 2025","","test_import_records","",""
"
Test: Validate Gillick competence assessment notes length and update.
Steps:
1. Open the session for the school and programme.
2. Navigate to Gillick competence assessment for the child.
3. Attempt to complete assessment with notes over 1000 characters (should error).
4. Complete assessment with valid notes.
5. Edit assessment and again try to update with notes over 1000 characters (should error).
Verification:
- Error is shown for notes over 1000 characters.
- Assessment can be completed and updated with valid notes.
","7686","test_gillick_competence_notes","tests","Fri Aug 29 10:05:37 BST 2025","passed","Fri Aug 29 10:05:45 BST 2025","","test_verbal_consent","",""
"
Test: Upload duplicate vaccination records and verify duplicate handling.
Steps:
1. Upload a vaccination file with duplicate records.
2. Upload a second file with more duplicates.
Verification:
- Output indicates duplicates are detected and handled.
","6322","test_vaccination_file_upload_duplicate_records","tests","Fri Aug 29 10:01:13 BST 2025","passed","Fri Aug 29 10:01:19 BST 2025","","test_import_records","",""
"
Test: Upload an empty child list file and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","692","test_child_list_file_upload_empty_file","tests","Fri Aug 29 09:55:11 BST 2025","passed","Fri Aug 29 09:55:11 BST 2025","","test_import_records","",""
"
Test: Submit an online consent form refusing HPV vaccination and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Select 'do not agree' to vaccination.
3. Choose refusal reason and provide details.
4. Submit the consent form.
Verification:
- Confirmation text indicates consent was refused for HPV vaccination.
","5922","test_consent_refused_for_hpv_vaccination","tests","Fri Aug 29 10:03:36 BST 2025","passed","Fri Aug 29 10:03:42 BST 2025","","test_online_consent_hpv","",""
"
Test: Attempt to create an invalid session and verify error handling.
Steps:
1. Navigate to sessions page.
2. Attempt to create a session with invalid data for the school and programme.
Verification:
- Error is shown or invalid session is not created.
","2966","test_create_invalid_session","tests","Fri Aug 29 10:01:04 BST 2025","passed","Fri Aug 29 10:01:07 BST 2025","","test_sessions","",""
