"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9920","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Jul 03 14:11:17 BST 2025","passed","Thu Jul 03 14:11:27 BST 2025","","test_online_consent_doubles","",""
"","1088","test_batch_name_too_short[Fluenz Tetra - LAIV]","tests","Thu Jul 03 14:06:21 BST 2025","passed","Thu Jul 03 14:06:22 BST 2025","","test_vaccines","",""
"","2079","test_headers_and_filter","tests","Thu Jul 03 14:13:29 BST 2025","passed","Thu Jul 03 14:13:31 BST 2025","","test_children","",""
"","2774","test_verify_csv_report_for_hpv","tests","Thu Jul 03 14:08:55 BST 2025","passed","Thu Jul 03 14:08:57 BST 2025","","test_programmes","",""
"","6210","test_recording_notes","tests","Thu Jul 03 14:11:20 BST 2025","passed","Thu Jul 03 14:11:26 BST 2025","","test_sessions","",""
"","28410","test_correct_method_shown[consents: ('Injection', 'Injection', 'Injection')]","tests","Thu Jul 03 14:10:58 BST 2025","passed","Thu Jul 03 14:11:26 BST 2025","","test_online_consent_flu","",""
"","2236","test_valid[role: admin]","tests","Thu Jul 03 14:09:28 BST 2025","passed","Thu Jul 03 14:09:30 BST 2025","","test_log_in","",""
"","30523","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Nasal spray', 'Nasal spray')]","tests","Thu Jul 03 14:11:47 BST 2025","passed","Thu Jul 03 14:12:18 BST 2025","","test_online_consent_flu","",""
"","4483","test_batch_add_change_archive[Revaxis]","tests","Thu Jul 03 14:06:12 BST 2025","passed","Thu Jul 03 14:06:17 BST 2025","","test_vaccines","",""
"","8506","test_given[health_question: True-change_school: False]","tests","Thu Jul 03 14:12:52 BST 2025","passed","Thu Jul 03 14:13:01 BST 2025","","test_online_consent_hpv","",""
"","633","test_child_list_no_record","tests","Thu Jul 03 14:05:54 BST 2025","passed","Thu Jul 03 14:05:55 BST 2025","","test_import_records","",""
"","1355","test_verify_attendance_filters","tests","Thu Jul 03 14:10:16 BST 2025","passed","Thu Jul 03 14:10:17 BST 2025","","test_sessions","",""
"","14181","test_rav_triage_consent_refused","tests","Thu Jul 03 14:07:05 BST 2025","passed","Thu Jul 03 14:07:19 BST 2025","","test_programmes","",""
"","29864","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Injection', 'Injection')]","tests","Thu Jul 03 14:12:39 BST 2025","passed","Thu Jul 03 14:13:09 BST 2025","","test_online_consent_flu","",""
"","588","test_invalid[password: invalid-username: invalid]","tests","Thu Jul 03 14:09:25 BST 2025","passed","Thu Jul 03 14:09:26 BST 2025","","test_log_in","",""
"","1145","test_vaccs_systmone_space_normalization","tests","Thu Jul 03 14:13:06 BST 2025","passed","Thu Jul 03 14:13:08 BST 2025","","test_import_records","",""
"","19747","test_rav_triage_consent_given","tests","Thu Jul 03 14:06:31 BST 2025","passed","Thu Jul 03 14:06:51 BST 2025","","test_programmes","",""
"","4997","test_vaccs_historic_no_urn_mav_855","tests","Thu Jul 03 14:11:28 BST 2025","passed","Thu Jul 03 14:11:33 BST 2025","","test_import_records","",""
"","1272","test_batch_name_too_long[MenQuadfi]","tests","Thu Jul 03 14:07:03 BST 2025","passed","Thu Jul 03 14:07:04 BST 2025","","test_vaccines","",""
"","1525","test_vaccs_systmone_negative_file_upload","tests","Thu Jul 03 14:12:03 BST 2025","passed","Thu Jul 03 14:12:05 BST 2025","","test_import_records","",""
"","4225","test_change_nhsno","tests","Thu Jul 03 14:14:16 BST 2025","passed","Thu Jul 03 14:14:21 BST 2025","","test_children","",""
"","1250","test_batch_name_too_short[Revaxis]","tests","Thu Jul 03 14:06:47 BST 2025","passed","Thu Jul 03 14:06:48 BST 2025","","test_vaccines","",""
"","2771","test_verify_careplus_report_for_hpv","tests","Thu Jul 03 14:08:37 BST 2025","passed","Thu Jul 03 14:08:40 BST 2025","","test_programmes","",""
"","6242","test_refused","tests","Thu Jul 03 14:05:41 BST 2025","passed","Thu Jul 03 14:05:47 BST 2025","","test_online_consent_flu","",""
"","3393","test_class_list_no_record","tests","Thu Jul 03 14:07:20 BST 2025","passed","Thu Jul 03 14:07:23 BST 2025","","test_import_records","",""
"","2241","test_valid[role: nurse]","tests","Thu Jul 03 14:09:32 BST 2025","passed","Thu Jul 03 14:09:34 BST 2025","","test_log_in","",""
"","29028","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Nasal spray (or injection)', 'Nasal spray (or injection)')]","tests","Thu Jul 03 14:13:31 BST 2025","passed","Thu Jul 03 14:14:00 BST 2025","","test_online_consent_flu","",""
"","11717","test_child_list_space_normalization","tests","Thu Jul 03 14:06:06 BST 2025","passed","Thu Jul 03 14:06:18 BST 2025","","test_import_records","",""
"","808","test_vaccs_file_structure","tests","Thu Jul 03 14:09:48 BST 2025","passed","Thu Jul 03 14:09:49 BST 2025","","test_import_records","",""
"","3753","test_batch_add_change_archive[Fluenz Tetra - LAIV]","tests","Thu Jul 03 14:05:34 BST 2025","passed","Thu Jul 03 14:05:38 BST 2025","","test_vaccines","",""
"","3630","test_batch_add_change_archive[Nimenrix]","tests","Thu Jul 03 14:06:05 BST 2025","passed","Thu Jul 03 14:06:09 BST 2025","","test_vaccines","",""
"","13919","test_given[health_question: False-injection: False-change_school: False]","tests","Thu Jul 03 14:06:03 BST 2025","passed","Thu Jul 03 14:06:17 BST 2025","","test_online_consent_flu","",""
"","6600","test_verify_csv_report_for_doubles","tests","Thu Jul 03 14:09:02 BST 2025","passed","Thu Jul 03 14:09:09 BST 2025","","test_programmes","",""
"","852","test_child_list_file_upload_negative","tests","Thu Jul 03 14:05:42 BST 2025","passed","Thu Jul 03 14:05:43 BST 2025","","test_import_records","",""
"","12839","test_lifecycle","tests","Thu Jul 03 14:09:41 BST 2025","passed","Thu Jul 03 14:09:54 BST 2025","","test_sessions","",""
"","9787","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Jul 03 14:07:54 BST 2025","passed","Thu Jul 03 14:08:04 BST 2025","","test_online_consent_doubles","",""
"","9079","test_given[health_question: False-change_school: True]","tests","Thu Jul 03 14:12:27 BST 2025","passed","Thu Jul 03 14:12:36 BST 2025","","test_online_consent_hpv","",""
"","1120","test_batch_name_too_short[MenQuadfi]","tests","Thu Jul 03 14:06:30 BST 2025","passed","Thu Jul 03 14:06:32 BST 2025","","test_vaccines","",""
"","1616","test_vaccs_negative_file_upload","tests","Thu Jul 03 14:09:06 BST 2025","passed","Thu Jul 03 14:09:07 BST 2025","","test_import_records","",""
"","2560","test_verify_systmone_report_for_hpv","tests","Thu Jul 03 14:09:13 BST 2025","passed","Thu Jul 03 14:09:15 BST 2025","","test_programmes","",""
"","13173","test_class_list_space_normalization","tests","Thu Jul 03 14:08:12 BST 2025","passed","Thu Jul 03 14:08:25 BST 2025","","test_import_records","",""
"","635","test_cohorts_no_record","tests","Thu Jul 03 14:05:56 BST 2025","passed","Thu Jul 03 14:05:57 BST 2025","","test_programmes","",""
"","1100","test_visible","tests","Thu Jul 03 14:14:43 BST 2025","passed","Thu Jul 03 14:14:44 BST 2025","","test_start","",""
"","9353","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Jul 03 14:08:19 BST 2025","passed","Thu Jul 03 14:08:29 BST 2025","","test_online_consent_doubles","",""
"","4343","test_rav_edit_dose_to_not_given","tests","Thu Jul 03 14:07:40 BST 2025","passed","Thu Jul 03 14:07:44 BST 2025","","test_programmes","",""
"","1180","test_batch_name_too_short[Gardasil 9]","tests","Thu Jul 03 14:06:25 BST 2025","passed","Thu Jul 03 14:06:27 BST 2025","","test_vaccines","",""
"","5630","test_refused","tests","Thu Jul 03 14:07:33 BST 2025","passed","Thu Jul 03 14:07:39 BST 2025","","test_online_consent_doubles","",""
"","10709","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Jul 03 14:12:09 BST 2025","passed","Thu Jul 03 14:12:20 BST 2025","","test_online_consent_doubles","",""
