"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37864","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Tue Jul 22 15:07:40 BST 2025","passed","Tue Jul 22 15:08:18 BST 2025","","test_online_consent_flu","",""
"","38555","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Tue Jul 22 15:09:42 BST 2025","passed","Tue Jul 22 15:10:20 BST 2025","","test_online_consent_flu","",""
"","692","test_child_list_empty_file","tests","Tue Jul 22 14:59:49 BST 2025","passed","Tue Jul 22 14:59:50 BST 2025","","test_import_records","",""
"","14185","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Tue Jul 22 15:04:20 BST 2025","passed","Tue Jul 22 15:04:34 BST 2025","","test_online_consent_doubles","",""
"","719","test_cohorts_empty_file","tests","Tue Jul 22 14:59:52 BST 2025","passed","Tue Jul 22 14:59:53 BST 2025","","test_programmes","",""
"","29303","test_recording_flu_vaccination","tests","Tue Jul 22 15:12:12 BST 2025","passed","Tue Jul 22 15:12:41 BST 2025","","test_e2e","",""
"","688","test_cohorts_no_record","tests","Tue Jul 22 14:59:45 BST 2025","passed","Tue Jul 22 14:59:46 BST 2025","","test_programmes","",""
"","1333","test_batch_name_too_long[Revaxis]","tests","Tue Jul 22 15:01:38 BST 2025","passed","Tue Jul 22 15:01:39 BST 2025","","test_vaccines","",""
"","12260","test_given[health_question: True-consent_option: Injection]","tests","Tue Jul 22 15:04:32 BST 2025","passed","Tue Jul 22 15:04:44 BST 2025","","test_online_consent_flu","",""
"","4224","test_class_list_file_structure","tests","Tue Jul 22 15:00:58 BST 2025","passed","Tue Jul 22 15:01:02 BST 2025","","test_import_records","",""
"","5434","test_batch_add_change_archive[Fluenz Tetra - LAIV]","tests","Tue Jul 22 14:59:19 BST 2025","passed","Tue Jul 22 14:59:24 BST 2025","","test_vaccines","",""
"","514","test_invalid[password: -username: ]","tests","Tue Jul 22 15:03:44 BST 2025","passed","Tue Jul 22 15:03:44 BST 2025","","test_log_in","",""
