"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1071","test_child_list_file_structure","tests","Mon Jul 21 17:11:11 BST 2025","passed","Mon Jul 21 17:11:12 BST 2025","","test_import_records","",""
"","1883","test_verify_search","tests","Mon Jul 21 17:16:54 BST 2025","passed","Mon Jul 21 17:16:56 BST 2025","","test_sessions","",""
"","3148","test_verify_systmone_report_for_hpv","tests","Mon Jul 21 17:15:15 BST 2025","passed","Mon Jul 21 17:15:18 BST 2025","","test_programmes","",""
"","12195","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Jul 21 17:12:54 BST 2025","passed","Mon Jul 21 17:13:06 BST 2025","","test_online_consent_doubles","",""
"","687","test_child_list_empty_file","tests","Mon Jul 21 17:11:26 BST 2025","passed","Mon Jul 21 17:11:27 BST 2025","","test_import_records","",""
"","791","test_vaccs_empty_file","tests","Mon Jul 21 17:18:15 BST 2025","passed","Mon Jul 21 17:18:16 BST 2025","","test_import_records","",""
"","467","test_invalid[password: -username: ]","tests","Mon Jul 21 17:15:22 BST 2025","passed","Mon Jul 21 17:15:23 BST 2025","","test_log_in","",""
"","47728","test_conflicting_consent_with_gillick_consent","tests","Mon Jul 21 17:21:16 BST 2025","broken","Mon Jul 21 17:22:04 BST 2025","","test_verbal_consent","",""
"","5511","test_class_list_file_upload_positive","tests","Mon Jul 21 17:13:41 BST 2025","passed","Mon Jul 21 17:13:47 BST 2025","","test_import_records","",""
"","5781","test_batch_add_change_archive[Gardasil 9]","tests","Mon Jul 21 17:11:06 BST 2025","passed","Mon Jul 21 17:11:12 BST 2025","","test_vaccines","",""
"","14074","test_lifecycle","tests","Mon Jul 21 17:15:51 BST 2025","passed","Mon Jul 21 17:16:05 BST 2025","","test_sessions","",""
"","3148","test_vaccs_negative_file_upload","tests","Mon Jul 21 17:16:40 BST 2025","passed","Mon Jul 21 17:16:43 BST 2025","","test_import_records","",""
"","1400","test_batch_name_too_short[Menveo]","tests","Mon Jul 21 17:12:20 BST 2025","passed","Mon Jul 21 17:12:22 BST 2025","","test_vaccines","",""
"","117759","test_child_list_space_normalization","tests","Mon Jul 21 17:11:33 BST 2025","failed","Mon Jul 21 17:13:31 BST 2025","","test_import_records","",""
"","14179","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Mon Jul 21 17:16:26 BST 2025","passed","Mon Jul 21 17:16:40 BST 2025","","test_online_consent_doubles","",""
"","1370","test_batch_name_too_long[Revaxis]","tests","Mon Jul 21 17:13:11 BST 2025","passed","Mon Jul 21 17:13:12 BST 2025","","test_vaccines","",""
"","1048","test_cohorts_file_structure","tests","Mon Jul 21 17:11:15 BST 2025","passed","Mon Jul 21 17:11:16 BST 2025","","test_programmes","",""
"","17277","test_given[health_question: False-injection: False]","tests","Mon Jul 21 17:13:53 BST 2025","passed","Mon Jul 21 17:14:10 BST 2025","","test_online_consent_flu","",""
"","54558","test_parent_provides_consent_twice","tests","Mon Jul 21 17:20:02 BST 2025","broken","Mon Jul 21 17:20:57 BST 2025","","test_verbal_consent","",""
"","749","test_cohorts_no_record","tests","Mon Jul 21 17:11:22 BST 2025","passed","Mon Jul 21 17:11:23 BST 2025","","test_programmes","",""
"","24503","test_rav_triage_consent_given","tests","Mon Jul 21 17:12:00 BST 2025","passed","Mon Jul 21 17:12:25 BST 2025","","test_programmes","",""
"","12763","test_class_list_space_normalization","tests","Mon Jul 21 17:15:39 BST 2025","passed","Mon Jul 21 17:15:52 BST 2025","","test_import_records","",""
"","11368","test_given[health_question: True-change_school: False]","tests","Mon Jul 21 17:18:49 BST 2025","passed","Mon Jul 21 17:19:01 BST 2025","","test_online_consent_hpv","",""
"","28166","test_invalid_consent","tests","Mon Jul 21 17:19:14 BST 2025","passed","Mon Jul 21 17:19:42 BST 2025","","test_verbal_consent","",""
"","1353","test_batch_name_too_short[Revaxis]","tests","Mon Jul 21 17:12:33 BST 2025","passed","Mon Jul 21 17:12:34 BST 2025","","test_vaccines","",""
"","2428","test_vaccs_systmone_negative_historical_file_upload","tests","Mon Jul 21 17:20:28 BST 2025","passed","Mon Jul 21 17:20:31 BST 2025","","test_import_records","",""
"","11895","test_given[health_question: True-injection: True]","tests","Mon Jul 21 17:15:34 BST 2025","passed","Mon Jul 21 17:15:46 BST 2025","","test_online_consent_flu","",""
"","2693","test_vaccs_historic_positive_file_upload","tests","Mon Jul 21 17:18:37 BST 2025","passed","Mon Jul 21 17:18:40 BST 2025","","test_import_records","",""
"","11886","test_match","tests","Mon Jul 21 17:20:33 BST 2025","passed","Mon Jul 21 17:20:45 BST 2025","","test_consent_responses","",""
"","1279","test_batch_name_too_long[Nimenrix]","tests","Mon Jul 21 17:13:05 BST 2025","passed","Mon Jul 21 17:13:06 BST 2025","","test_vaccines","",""
"","1480","test_vaccs_systmone_space_normalization","tests","Mon Jul 21 17:21:18 BST 2025","passed","Mon Jul 21 17:21:20 BST 2025","","test_import_records","",""
"","3192","test_verify_csv_report_for_hpv","tests","Mon Jul 21 17:14:54 BST 2025","passed","Mon Jul 21 17:14:57 BST 2025","","test_programmes","",""
"","21567","test_given[health_question: True-injection: False]","tests","Mon Jul 21 17:14:55 BST 2025","passed","Mon Jul 21 17:15:17 BST 2025","","test_online_consent_flu","",""
"","11653","test_given[health_question: False-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Jul 21 17:12:25 BST 2025","passed","Mon Jul 21 17:12:37 BST 2025","","test_online_consent_doubles","",""
"","10764","test_recording_notes","tests","Mon Jul 21 17:17:45 BST 2025","passed","Mon Jul 21 17:17:56 BST 2025","","test_sessions","",""
"","1948","test_cohort_upload_negative","tests","Mon Jul 21 17:11:06 BST 2025","passed","Mon Jul 21 17:11:08 BST 2025","","test_programmes","",""
"","3145","test_verify_careplus_report_for_hpv","tests","Mon Jul 21 17:14:33 BST 2025","passed","Mon Jul 21 17:14:36 BST 2025","","test_programmes","",""
"","34830","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Injection', 'Injection')]","tests","Mon Jul 21 17:19:05 BST 2025","passed","Mon Jul 21 17:19:40 BST 2025","","test_online_consent_flu","",""
"","10657","test_given[health_question: False-change_school: True]","tests","Mon Jul 21 17:18:21 BST 2025","passed","Mon Jul 21 17:18:31 BST 2025","","test_online_consent_hpv","",""
"","39208","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Nasal spray', 'Nasal spray')]","tests","Mon Jul 21 17:18:02 BST 2025","passed","Mon Jul 21 17:18:41 BST 2025","","test_online_consent_flu","",""
"","2955","test_verify_attendance_filters","tests","Mon Jul 21 17:16:30 BST 2025","passed","Mon Jul 21 17:16:33 BST 2025","","test_sessions","",""
"","2454","test_valid[role: nurse]","tests","Mon Jul 21 17:15:39 BST 2025","passed","Mon Jul 21 17:15:42 BST 2025","","test_log_in","",""
"","1841","test_visible","tests","Mon Jul 21 17:21:57 BST 2025","passed","Mon Jul 21 17:21:59 BST 2025","","test_start","",""
"","1366","test_batch_name_too_long[Menveo]","tests","Mon Jul 21 17:12:58 BST 2025","passed","Mon Jul 21 17:12:59 BST 2025","","test_vaccines","",""
"","969","test_vaccs_file_structure","tests","Mon Jul 21 17:17:30 BST 2025","passed","Mon Jul 21 17:17:31 BST 2025","","test_import_records","",""
"","3961","test_class_list_empty_file","tests","Mon Jul 21 17:15:01 BST 2025","passed","Mon Jul 21 17:15:05 BST 2025","","test_import_records","",""
"","3314","test_child_list_file_upload_positive","tests","Mon Jul 21 17:10:53 BST 2025","passed","Mon Jul 21 17:10:57 BST 2025","","test_import_records","",""
"","3724","test_change_nhsno","tests","Mon Jul 21 17:21:59 BST 2025","passed","Mon Jul 21 17:22:02 BST 2025","","test_children","",""
"","12205","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Jul 21 17:11:26 BST 2025","passed","Mon Jul 21 17:11:38 BST 2025","","test_online_consent_doubles","",""
"","17448","test_rav_triage_consent_refused","tests","Mon Jul 21 17:12:40 BST 2025","passed","Mon Jul 21 17:12:57 BST 2025","","test_programmes","",""
"","5524","test_batch_add_change_archive[MenQuadfi]","tests","Mon Jul 21 17:11:17 BST 2025","passed","Mon Jul 21 17:11:23 BST 2025","","test_vaccines","",""
"","28312","test_correct_method_shown[consents: ('Injection', 'Injection', 'Injection')]","tests","Mon Jul 21 17:17:10 BST 2025","passed","Mon Jul 21 17:17:38 BST 2025","","test_online_consent_flu","",""
"","7334","test_refused","tests","Mon Jul 21 17:13:28 BST 2025","passed","Mon Jul 21 17:13:35 BST 2025","","test_online_consent_flu","",""
