"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21910","test_gillick_competence","tests","Wed Aug 06 13:59:28 BST 2025","passed","Wed Aug 06 13:59:50 BST 2025","","test_verbal_consent","",""
"","31126","test_change_nhsno","tests","Wed Aug 06 14:07:38 BST 2025","passed","Wed Aug 06 14:08:09 BST 2025","","test_children","",""
"","13400","test_given[health_question: True-change_school: False]","tests","Wed Aug 06 13:56:22 BST 2025","passed","Wed Aug 06 13:56:36 BST 2025","","test_online_consent_hpv","",""
"","3571","test_valid[role: admin]","tests","Wed Aug 06 13:52:56 BST 2025","passed","Wed Aug 06 13:52:59 BST 2025","","test_log_in","",""
"","2052","test_child_list_no_record","tests","Wed Aug 06 13:35:36 BST 2025","passed","Wed Aug 06 13:35:38 BST 2025","","test_import_records","",""
"","1724","test_invalid[password: invalid-username: invalid]","tests","Wed Aug 06 13:52:52 BST 2025","passed","Wed Aug 06 13:52:54 BST 2025","","test_log_in","",""
"","4294","test_vaccs_systmone_positive_file_upload","tests","Wed Aug 06 14:01:40 BST 2025","passed","Wed Aug 06 14:01:44 BST 2025","","test_import_records","",""
"","22693","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Aug 06 13:47:10 BST 2025","passed","Wed Aug 06 13:47:33 BST 2025","","test_online_consent_doubles","",""
"","4601","test_confirm_and_ignore","tests","Wed Aug 06 14:10:44 BST 2025","passed","Wed Aug 06 14:10:49 BST 2025","","test_school_moves","",""
"","6656","test_vaccs_systmone_negative_file_upload","tests","Wed Aug 06 14:02:35 BST 2025","passed","Wed Aug 06 14:02:41 BST 2025","","test_import_records","",""
"","81825","test_recording_doubles_vaccination","tests","Wed Aug 06 14:09:40 BST 2025","broken","Wed Aug 06 14:11:02 BST 2025","","test_e2e","",""
"","30566","test_create_edit_delete","tests","Wed Aug 06 14:10:48 BST 2025","passed","Wed Aug 06 14:11:19 BST 2025","","test_imms","",""
"","43244","test_invalid_consent","tests","Wed Aug 06 14:02:14 BST 2025","broken","Wed Aug 06 14:02:57 BST 2025","","test_verbal_consent","",""
"","1215","test_invalid[password: invalid-username: ]","tests","Wed Aug 06 13:52:47 BST 2025","passed","Wed Aug 06 13:52:48 BST 2025","","test_log_in","",""
"","16390","test_verify_careplus_report_for_hpv","tests","Wed Aug 06 13:49:36 BST 2025","passed","Wed Aug 06 13:49:52 BST 2025","","test_programmes","",""
"","30018","test_given[health_question: True-consent_option: Injection]","tests","Wed Aug 06 13:49:28 BST 2025","passed","Wed Aug 06 13:49:58 BST 2025","","test_online_consent_flu","",""
"","45902","test_given[health_question: True-change_school: True]","tests","Wed Aug 06 13:57:10 BST 2025","passed","Wed Aug 06 13:57:56 BST 2025","","test_online_consent_hpv","",""
"","20957","test_given[health_question: True-change_school: True-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Aug 06 13:51:51 BST 2025","passed","Wed Aug 06 13:52:12 BST 2025","","test_online_consent_doubles","",""
"","2927","test_child_list_empty_file","tests","Wed Aug 06 13:36:25 BST 2025","passed","Wed Aug 06 13:36:28 BST 2025","","test_import_records","",""
"","49274","test_rav_edit_dose_to_not_given","tests","Wed Aug 06 13:44:26 BST 2025","passed","Wed Aug 06 13:45:15 BST 2025","","test_programmes","",""
"","103385","test_rav_verify_excel_mav_854","tests","Wed Aug 06 13:47:17 BST 2025","passed","Wed Aug 06 13:49:00 BST 2025","","test_programmes","",""
"","85597","test_rav_triage_consent_given","tests","Wed Aug 06 13:39:27 BST 2025","passed","Wed Aug 06 13:40:52 BST 2025","","test_programmes","",""
"","2255","test_batch_name_too_long[Nimenrix]","tests","Wed Aug 06 13:40:25 BST 2025","passed","Wed Aug 06 13:40:27 BST 2025","","test_vaccines","",""
"","2808","test_child_list_file_structure","tests","Wed Aug 06 13:35:08 BST 2025","passed","Wed Aug 06 13:35:11 BST 2025","","test_import_records","",""
"","98157","test_recording_hpv_vaccination","tests","Wed Aug 06 14:06:32 BST 2025","broken","Wed Aug 06 14:08:10 BST 2025","","test_e2e","",""
"","56823","test_match","tests","Wed Aug 06 14:00:31 BST 2025","passed","Wed Aug 06 14:01:28 BST 2025","","test_consent_responses","",""
"","85735","test_class_list_space_normalization","tests","Wed Aug 06 13:46:33 BST 2025","passed","Wed Aug 06 13:47:59 BST 2025","","test_import_records","",""
"","2900","test_batch_name_too_short[Nimenrix]","tests","Wed Aug 06 13:38:45 BST 2025","passed","Wed Aug 06 13:38:48 BST 2025","","test_vaccines","",""
"","7652","test_batch_name_too_short[MenQuadfi]","tests","Wed Aug 06 13:38:14 BST 2025","passed","Wed Aug 06 13:38:21 BST 2025","","test_vaccines","",""
"","6628","test_verify_search","tests","Wed Aug 06 13:54:56 BST 2025","passed","Wed Aug 06 13:55:03 BST 2025","","test_sessions","",""
"","25923","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Aug 06 13:42:01 BST 2025","passed","Wed Aug 06 13:42:27 BST 2025","","test_online_consent_doubles","",""
"","8463","test_refused","tests","Wed Aug 06 13:34:03 BST 2025","passed","Wed Aug 06 13:34:12 BST 2025","","test_online_consent_doubles","",""
"","51548","test_correct_method_shown[consents: (<ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Wed Aug 06 13:54:25 BST 2025","passed","Wed Aug 06 13:55:17 BST 2025","","test_online_consent_flu","",""
"","2509","test_download","tests","Wed Aug 06 14:11:39 BST 2025","passed","Wed Aug 06 14:11:41 BST 2025","","test_school_moves","",""
"","47651","test_recording_notes","tests","Wed Aug 06 13:57:26 BST 2025","passed","Wed Aug 06 13:58:14 BST 2025","","test_sessions","",""
"","17769","test_vaccs_nivs_disallow_flu_for_previous_years","tests","Wed Aug 06 14:08:49 BST 2025","passed","Wed Aug 06 14:09:07 BST 2025","","test_import_records","",""
"","8044","test_batch_name_too_short[Fluenz]","tests","Wed Aug 06 13:37:33 BST 2025","passed","Wed Aug 06 13:37:41 BST 2025","","test_vaccines","",""
"
Steps to reproduce:
Patient setup: in a school session today, marked as attending, session has HPV and doubles, patients is eligible for all vaccines (has consent, correct year group, no history)
Complete pre-screening questions and vaccinate the patient for any one vaccine (eg. HPV)
Testing has confirmed the following:
Two vaccinations in same session
- If HPV is followed by MenACWY then ""feeling well"" is pre-filled
- If HPV is followed by Td/IPV  then both ""feeling well"" and ""not pregnant"" are pre-populated
- If MenACWY followed by Td/IPV then ""feeling well"" is pre-filled
- If MenCAWY followed by HPV then ""feeling well"" is pre-filled
- If Td/IPV followed by MenACWY  then ""feeling well"" is pre-filled
- If Td/IPV is followed by HPV  then both ""feeling well"" and ""not pregnant"" are pre-populated
","75046","test_programmes_rav_pre_screening_questions","tests","Wed Aug 06 14:12:00 BST 2025","broken","Wed Aug 06 14:13:16 BST 2025","","test_reset","",""
"","139513","test_conflicting_consent_with_gillick_consent","tests","Wed Aug 06 14:06:12 BST 2025","passed","Wed Aug 06 14:08:31 BST 2025","","test_verbal_consent","",""
"","24698","test_class_list_no_record","tests","Wed Aug 06 13:42:33 BST 2025","passed","Wed Aug 06 13:42:57 BST 2025","","test_import_records","",""
"","4709","test_vaccs_systmone_space_normalization","tests","Wed Aug 06 14:06:41 BST 2025","passed","Wed Aug 06 14:06:45 BST 2025","","test_import_records","",""
"","4924","test_batch_name_too_short[Gardasil 9]","tests","Wed Aug 06 13:37:52 BST 2025","passed","Wed Aug 06 13:37:57 BST 2025","","test_vaccines","",""
"","1808","test_vaccs_no_record","tests","Wed Aug 06 13:54:43 BST 2025","passed","Wed Aug 06 13:54:44 BST 2025","","test_import_records","",""
"","3615","test_batch_name_too_long[Menveo]","tests","Wed Aug 06 13:40:10 BST 2025","passed","Wed Aug 06 13:40:14 BST 2025","","test_vaccines","",""
"","19440","test_class_list_file_structure","tests","Wed Aug 06 13:41:21 BST 2025","passed","Wed Aug 06 13:41:41 BST 2025","","test_import_records","",""
"","23036","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Aug 06 13:35:27 BST 2025","passed","Wed Aug 06 13:35:50 BST 2025","","test_online_consent_doubles","",""
"","1380","test_vaccs_file_structure","tests","Wed Aug 06 13:53:27 BST 2025","passed","Wed Aug 06 13:53:29 BST 2025","","test_import_records","",""
"","0","test_verify_flu_not_available","tests","Wed Aug 06 13:40:53 BST 2025","passed","Wed Aug 06 13:40:53 BST 2025","","test_vaccines","",""
"","3031","test_valid[role: superuser]","tests","Wed Aug 06 13:53:09 BST 2025","passed","Wed Aug 06 13:53:12 BST 2025","","test_log_in","",""
"","39600","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Aug 06 13:49:30 BST 2025","passed","Wed Aug 06 13:50:10 BST 2025","","test_online_consent_doubles","",""
