"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18799","test_given[health_question: True-injection: False1]","tests","Wed Jul 09 04:32:27 BST 2025","passed","Wed Jul 09 04:32:46 BST 2025","","test_online_consent_flu","",""
"","1325","test_batch_name_too_long[Fluenz Tetra - LAIV]","tests","Wed Jul 09 04:29:54 BST 2025","passed","Wed Jul 09 04:29:55 BST 2025","","test_vaccines","",""
"","4423","test_change_nhsno","tests","Wed Jul 09 04:37:23 BST 2025","passed","Wed Jul 09 04:37:28 BST 2025","","test_children","",""
"","5468","test_class_list_file_upload_positive","tests","Wed Jul 09 04:29:17 BST 2025","passed","Wed Jul 09 04:29:23 BST 2025","","test_import_records","",""
"","2141","test_cohort_upload_positive","tests","Wed Jul 09 04:28:22 BST 2025","passed","Wed Jul 09 04:28:25 BST 2025","","test_programmes","",""
"","649","test_child_list_no_record","tests","Wed Jul 09 04:28:41 BST 2025","passed","Wed Jul 09 04:28:42 BST 2025","","test_import_records","",""
"","708","test_vaccs_no_record","tests","Wed Jul 09 04:33:00 BST 2025","passed","Wed Jul 09 04:33:01 BST 2025","","test_import_records","",""
"","1227","test_vaccs_systmone_space_normalization","tests","Wed Jul 09 04:36:14 BST 2025","passed","Wed Jul 09 04:36:15 BST 2025","","test_import_records","",""
"","11088","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Jul 09 04:29:22 BST 2025","passed","Wed Jul 09 04:29:33 BST 2025","","test_online_consent_doubles","",""
"","5814","test_batch_add_change_archive[Menveo]","tests","Wed Jul 09 04:28:53 BST 2025","passed","Wed Jul 09 04:28:59 BST 2025","","test_vaccines","",""
"","2251","test_vaccs_historic_positive_file_upload","tests","Wed Jul 09 04:33:40 BST 2025","passed","Wed Jul 09 04:33:42 BST 2025","","test_import_records","",""
"","3320","test_class_list_no_record","tests","Wed Jul 09 04:30:10 BST 2025","passed","Wed Jul 09 04:30:14 BST 2025","","test_import_records","",""
"","13021","test_vaccs_hpv_space_normalization","tests","Wed Jul 09 04:35:45 BST 2025","passed","Wed Jul 09 04:35:58 BST 2025","","test_import_records","",""
"","32436","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Injection', 'Injection')]","tests","Wed Jul 09 04:35:47 BST 2025","passed","Wed Jul 09 04:36:20 BST 2025","","test_online_consent_flu","",""
"","22367","test_rav_triage_consent_given","tests","Wed Jul 09 04:29:26 BST 2025","passed","Wed Jul 09 04:29:48 BST 2025","","test_programmes","",""
"","664","test_vaccs_empty_file","tests","Wed Jul 09 04:33:20 BST 2025","passed","Wed Jul 09 04:33:20 BST 2025","","test_import_records","",""
"","1929","test_headers_and_filter","tests","Wed Jul 09 04:36:35 BST 2025","passed","Wed Jul 09 04:36:37 BST 2025","","test_children","",""
"","6495","test_refused","tests","Wed Jul 09 04:34:18 BST 2025","passed","Wed Jul 09 04:34:24 BST 2025","","test_online_consent_hpv","",""
"","7036","test_verify_csv_report_for_doubles","tests","Wed Jul 09 04:32:10 BST 2025","passed","Wed Jul 09 04:32:17 BST 2025","","test_programmes","",""
"","2621","test_confirm_and_ignore","tests","Wed Jul 09 04:37:48 BST 2025","passed","Wed Jul 09 04:37:50 BST 2025","","test_school_moves","",""
"","6626","test_create_with_no_nhs_number","tests","Wed Jul 09 04:38:12 BST 2025","passed","Wed Jul 09 04:38:19 BST 2025","","test_consent_responses","",""
"","12873","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Jul 09 04:33:22 BST 2025","passed","Wed Jul 09 04:33:35 BST 2025","","test_online_consent_doubles","",""
"","5692","test_batch_add_change_archive[Nimenrix]","tests","Wed Jul 09 04:29:03 BST 2025","passed","Wed Jul 09 04:29:09 BST 2025","","test_vaccines","",""
"","2425","test_valid[role: superuser]","tests","Wed Jul 09 04:32:42 BST 2025","passed","Wed Jul 09 04:32:44 BST 2025","","test_log_in","",""
"","13024","test_match","tests","Wed Jul 09 04:36:58 BST 2025","passed","Wed Jul 09 04:37:11 BST 2025","","test_consent_responses","",""
"","1483","test_batch_name_too_short[Nimenrix]","tests","Wed Jul 09 04:29:44 BST 2025","passed","Wed Jul 09 04:29:45 BST 2025","","test_vaccines","",""
"","1533","test_archive","tests","Wed Jul 09 04:36:31 BST 2025","passed","Wed Jul 09 04:36:32 BST 2025","","test_consent_responses","",""
"","13133","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Jul 09 04:32:53 BST 2025","passed","Wed Jul 09 04:33:07 BST 2025","","test_online_consent_doubles","",""
"","3326","test_invalid","tests","Wed Jul 09 04:33:04 BST 2025","passed","Wed Jul 09 04:33:08 BST 2025","","test_sessions","",""
"","934","test_cohorts_file_structure","tests","Wed Jul 09 04:28:40 BST 2025","passed","Wed Jul 09 04:28:41 BST 2025","","test_programmes","",""
"","4260","test_class_list_file_upload_negative","tests","Wed Jul 09 04:29:36 BST 2025","passed","Wed Jul 09 04:29:40 BST 2025","","test_import_records","",""
"","35741","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Nasal spray', 'Nasal spray')]","tests","Wed Jul 09 04:34:50 BST 2025","passed","Wed Jul 09 04:35:26 BST 2025","","test_online_consent_flu","",""
"","7963","test_gillick_competence","tests","Wed Jul 09 04:34:57 BST 2025","passed","Wed Jul 09 04:35:05 BST 2025","","test_verbal_consent","",""
"","5202","test_batch_add_change_archive[Revaxis]","tests","Wed Jul 09 04:29:14 BST 2025","passed","Wed Jul 09 04:29:20 BST 2025","","test_vaccines","",""
"","1993","test_verify_search","tests","Wed Jul 09 04:33:43 BST 2025","passed","Wed Jul 09 04:33:45 BST 2025","","test_sessions","",""
"","2961","test_vaccs_positive_file_upload","tests","Wed Jul 09 04:31:33 BST 2025","passed","Wed Jul 09 04:31:36 BST 2025","","test_import_records","",""
"","1405","test_download","tests","Wed Jul 09 04:38:22 BST 2025","passed","Wed Jul 09 04:38:23 BST 2025","","test_school_moves","",""
"","2076","test_cohort_upload_negative","tests","Wed Jul 09 04:28:31 BST 2025","passed","Wed Jul 09 04:28:33 BST 2025","","test_programmes","",""
"","35849","test_correct_method_shown[consents: ('Nasal spray', 'Nasal spray', 'Nasal spray')]","tests","Wed Jul 09 04:33:06 BST 2025","passed","Wed Jul 09 04:33:42 BST 2025","","test_online_consent_flu","",""
"","2129","test_valid[role: admin]","tests","Wed Jul 09 04:32:35 BST 2025","passed","Wed Jul 09 04:32:37 BST 2025","","test_log_in","",""
"","1294","test_batch_name_too_long[Gardasil 9]","tests","Wed Jul 09 04:29:59 BST 2025","passed","Wed Jul 09 04:30:00 BST 2025","","test_vaccines","",""
"","7220","test_create_with_nhs_number[children0]","tests","Wed Jul 09 04:37:38 BST 2025","passed","Wed Jul 09 04:37:45 BST 2025","","test_consent_responses","",""
"","4499","test_vaccs_duplicate_record_upload","tests","Wed Jul 09 04:32:17 BST 2025","passed","Wed Jul 09 04:32:22 BST 2025","","test_import_records","",""
"","8989","test_given[health_question: False-change_school: False]","tests","Wed Jul 09 04:34:39 BST 2025","passed","Wed Jul 09 04:34:48 BST 2025","","test_online_consent_hpv","",""
"","970","test_vaccs_file_structure","tests","Wed Jul 09 04:32:40 BST 2025","passed","Wed Jul 09 04:32:41 BST 2025","","test_import_records","",""
"","6609","test_batch_add_change_archive[Fluenz Tetra - LAIV]","tests","Wed Jul 09 04:28:23 BST 2025","passed","Wed Jul 09 04:28:30 BST 2025","","test_vaccines","",""
"","3093","test_vaccs_negative_file_upload","tests","Wed Jul 09 04:31:55 BST 2025","passed","Wed Jul 09 04:31:58 BST 2025","","test_import_records","",""
"","1241","test_batch_name_too_long[Revaxis]","tests","Wed Jul 09 04:30:20 BST 2025","passed","Wed Jul 09 04:30:21 BST 2025","","test_vaccines","",""
"","1585","test_batch_name_too_short[Menveo]","tests","Wed Jul 09 04:29:39 BST 2025","passed","Wed Jul 09 04:29:40 BST 2025","","test_vaccines","",""
"","33671","test_parent_provides_consent_twice","tests","Wed Jul 09 04:36:33 BST 2025","passed","Wed Jul 09 04:37:07 BST 2025","","test_verbal_consent","",""
"","6826","test_verify_careplus_report_for_doubles","tests","Wed Jul 09 04:31:53 BST 2025","passed","Wed Jul 09 04:32:00 BST 2025","","test_programmes","",""
"","3578","test_class_list_file_structure","tests","Wed Jul 09 04:29:54 BST 2025","passed","Wed Jul 09 04:29:57 BST 2025","","test_import_records","",""
"","677","test_invalid[password: invalid-username: invalid]","tests","Wed Jul 09 04:32:33 BST 2025","passed","Wed Jul 09 04:32:34 BST 2025","","test_log_in","",""
"","1394","test_batch_name_too_short[Fluenz Tetra - LAIV]","tests","Wed Jul 09 04:29:23 BST 2025","passed","Wed Jul 09 04:29:25 BST 2025","","test_vaccines","",""
