"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35689","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Nasal spray', 'Nasal spray')]","tests","Fri Jul 11 04:36:26 BST 2025","passed","Fri Jul 11 04:37:01 BST 2025","","test_online_consent_flu","",""
"","4760","test_rav_edit_dose_to_not_given","tests","Fri Jul 11 04:32:10 BST 2025","passed","Fri Jul 11 04:32:15 BST 2025","","test_programmes","",""
"","1344","test_batch_name_too_long[Gardasil 9]","tests","Fri Jul 11 04:31:31 BST 2025","passed","Fri Jul 11 04:31:32 BST 2025","","test_vaccines","",""
"","5122","test_batch_add_change_archive[Revaxis]","tests","Fri Jul 11 04:30:45 BST 2025","passed","Fri Jul 11 04:30:50 BST 2025","","test_vaccines","",""
"","857","test_visible","tests","Fri Jul 11 04:40:19 BST 2025","passed","Fri Jul 11 04:40:20 BST 2025","","test_start","",""
"","10036","test_given[health_question: True-change_school: False]","tests","Fri Jul 11 04:37:04 BST 2025","passed","Fri Jul 11 04:37:14 BST 2025","","test_online_consent_hpv","",""
"","2644","test_verify_careplus_report_for_hpv","tests","Fri Jul 11 04:33:16 BST 2025","passed","Fri Jul 11 04:33:19 BST 2025","","test_programmes","",""
"","13211","test_lifecycle","tests","Fri Jul 11 04:34:16 BST 2025","passed","Fri Jul 11 04:34:30 BST 2025","","test_sessions","",""
"","13112","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Fri Jul 11 04:34:01 BST 2025","passed","Fri Jul 11 04:34:14 BST 2025","","test_online_consent_doubles","",""
"","16397","test_rav_triage_consent_refused","tests","Fri Jul 11 04:31:31 BST 2025","passed","Fri Jul 11 04:31:48 BST 2025","","test_programmes","",""
"","656","test_cohorts_no_record","tests","Fri Jul 11 04:30:23 BST 2025","passed","Fri Jul 11 04:30:24 BST 2025","","test_programmes","",""
"","3258","test_class_list_no_record","tests","Fri Jul 11 04:31:37 BST 2025","passed","Fri Jul 11 04:31:41 BST 2025","","test_import_records","",""
"","10881","test_recording_notes","tests","Fri Jul 11 04:35:56 BST 2025","passed","Fri Jul 11 04:36:07 BST 2025","","test_sessions","",""
"","1377","test_batch_name_too_short[Nimenrix]","tests","Fri Jul 11 04:31:15 BST 2025","passed","Fri Jul 11 04:31:17 BST 2025","","test_vaccines","",""
