"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8876","test_given[health_question: False-change_school: True]","tests","Thu Jul 03 04:46:11 BST 2025","passed","Thu Jul 03 04:46:20 BST 2025","","test_online_consent_hpv","",""
"","27667","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Injection', 'Injection')]","tests","Thu Jul 03 04:45:54 BST 2025","passed","Thu Jul 03 04:46:21 BST 2025","","test_online_consent_flu","",""
"","3930","test_rav_edit_dose_to_not_given","tests","Thu Jul 03 04:41:05 BST 2025","passed","Thu Jul 03 04:41:09 BST 2025","","test_programmes","",""
"","3939","test_invalid","tests","Thu Jul 03 04:43:29 BST 2025","passed","Thu Jul 03 04:43:33 BST 2025","","test_sessions","",""
"","4949","test_class_list_file_upload_positive","tests","Thu Jul 03 04:39:57 BST 2025","passed","Thu Jul 03 04:40:02 BST 2025","","test_import_records","",""
"","7238","test_given[health_question: False-change_school: False]","tests","Thu Jul 03 04:45:49 BST 2025","passed","Thu Jul 03 04:45:56 BST 2025","","test_online_consent_hpv","",""
"","1159","test_batch_name_too_long[Menveo]","tests","Thu Jul 03 04:40:38 BST 2025","passed","Thu Jul 03 04:40:39 BST 2025","","test_vaccines","",""
"","19203","test_rav_triage_consent_given","tests","Thu Jul 03 04:39:57 BST 2025","passed","Thu Jul 03 04:40:16 BST 2025","","test_programmes","",""
"","959","test_vaccs_systmone_positive_file_upload","tests","Thu Jul 03 04:45:31 BST 2025","passed","Thu Jul 03 04:45:32 BST 2025","","test_import_records","",""
"","0","test_verify_flu_not_available","tests","Thu Jul 03 04:40:55 BST 2025","passed","Thu Jul 03 04:40:55 BST 2025","","test_vaccines","",""
"","1018","test_batch_name_too_short[Menveo]","tests","Thu Jul 03 04:40:05 BST 2025","passed","Thu Jul 03 04:40:06 BST 2025","","test_vaccines","",""
"","1047","test_batch_name_too_long[Gardasil 9]","tests","Thu Jul 03 04:40:27 BST 2025","passed","Thu Jul 03 04:40:28 BST 2025","","test_vaccines","",""
"","2469","test_valid[role: admin]","tests","Thu Jul 03 04:42:55 BST 2025","passed","Thu Jul 03 04:42:57 BST 2025","","test_log_in","",""
"","3727","test_class_list_empty_file","tests","Thu Jul 03 04:41:10 BST 2025","passed","Thu Jul 03 04:41:13 BST 2025","","test_import_records","",""
"","1289","test_vaccs_historic_positive_file_upload","tests","Thu Jul 03 04:44:28 BST 2025","passed","Thu Jul 03 04:44:29 BST 2025","","test_import_records","",""
"","11028","test_given[health_question: False-injection: False-change_school: False]","tests","Thu Jul 03 04:39:29 BST 2025","passed","Thu Jul 03 04:39:40 BST 2025","","test_online_consent_flu","",""
"","16296","test_invalid_consent","tests","Thu Jul 03 04:48:15 BST 2025","passed","Thu Jul 03 04:48:31 BST 2025","","test_verbal_consent","",""
"","964","test_vaccs_systmone_space_normalization","tests","Thu Jul 03 04:46:53 BST 2025","passed","Thu Jul 03 04:46:54 BST 2025","","test_import_records","",""
"","5258","test_refused","tests","Thu Jul 03 04:39:10 BST 2025","passed","Thu Jul 03 04:39:15 BST 2025","","test_online_consent_flu","",""
"","20242","test_conflicting_consent_with_gillick_consent","tests","Thu Jul 03 04:49:15 BST 2025","passed","Thu Jul 03 04:49:35 BST 2025","","test_verbal_consent","",""
"","2667","test_valid[role: superuser]","tests","Thu Jul 03 04:43:04 BST 2025","passed","Thu Jul 03 04:43:07 BST 2025","","test_log_in","",""
"","1188","test_batch_name_too_short[Revaxis]","tests","Thu Jul 03 04:40:16 BST 2025","passed","Thu Jul 03 04:40:17 BST 2025","","test_vaccines","",""
"","6569","test_verify_attendance_filters","tests","Thu Jul 03 04:43:49 BST 2025","failed","Thu Jul 03 04:43:55 BST 2025","","test_sessions","",""
"","10562","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Jul 03 04:45:53 BST 2025","passed","Thu Jul 03 04:46:04 BST 2025","","test_online_consent_doubles","",""
"","13831","test_lifecycle","tests","Thu Jul 03 04:43:11 BST 2025","passed","Thu Jul 03 04:43:25 BST 2025","","test_sessions","",""
"","13535","test_given[health_question: True-injection: False-change_school: True]","tests","Thu Jul 03 04:41:48 BST 2025","passed","Thu Jul 03 04:42:02 BST 2025","","test_online_consent_flu","",""
"","15103","test_given[health_question: True-injection: False-change_school: False]","tests","Thu Jul 03 04:41:17 BST 2025","passed","Thu Jul 03 04:41:32 BST 2025","","test_online_consent_flu","",""
"","2260","test_verify_careplus_report_for_hpv","tests","Thu Jul 03 04:42:03 BST 2025","passed","Thu Jul 03 04:42:05 BST 2025","","test_programmes","",""
"","0","test_rav_verify_banners","tests","Thu Jul 03 04:41:59 BST 2025","skipped","Thu Jul 03 04:41:59 BST 2025","","test_programmes","",""
"","10216","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Jul 03 04:42:51 BST 2025","passed","Thu Jul 03 04:43:01 BST 2025","","test_online_consent_doubles","",""
"","553","test_child_list_empty_file","tests","Thu Jul 03 04:39:30 BST 2025","passed","Thu Jul 03 04:39:31 BST 2025","","test_import_records","",""
"","750","test_invalid[password: invalid-username: invalid]","tests","Thu Jul 03 04:42:52 BST 2025","passed","Thu Jul 03 04:42:53 BST 2025","","test_log_in","",""
"","5663","test_gillick_competence","tests","Thu Jul 03 04:47:30 BST 2025","passed","Thu Jul 03 04:47:36 BST 2025","","test_verbal_consent","",""
"","3264","test_batch_add_change_archive[Menveo]","tests","Thu Jul 03 04:39:27 BST 2025","passed","Thu Jul 03 04:39:30 BST 2025","","test_vaccines","",""
