"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_verify_flu_not_available","tests","Sat Aug 09 05:01:15 BST 2025","passed","Sat Aug 09 05:01:15 BST 2025","","test_vaccines","",""
"","102830","test_conflicting_consent_with_gillick_consent","tests","Sat Aug 09 05:20:28 BST 2025","passed","Sat Aug 09 05:22:11 BST 2025","","test_verbal_consent","",""
"","10885","test_class_list_no_record","tests","Sat Aug 09 05:05:48 BST 2025","passed","Sat Aug 09 05:05:59 BST 2025","","test_import_records","",""
"","41254","test_create_edit_delete","tests","Sat Aug 09 05:26:31 BST 2025","passed","Sat Aug 09 05:27:12 BST 2025","","test_imms","",""
"","2374","test_vaccs_empty_file","tests","Sat Aug 09 05:15:05 BST 2025","passed","Sat Aug 09 05:15:08 BST 2025","","test_import_records","",""
"","71742","test_recording_flu_vaccination","tests","Sat Aug 09 05:26:53 BST 2025","passed","Sat Aug 09 05:28:04 BST 2025","","test_e2e","",""
"","36736","test_given[health_question: False-consent_option: ]","tests","Sat Aug 09 05:04:47 BST 2025","passed","Sat Aug 09 05:05:24 BST 2025","","test_online_consent_flu","",""
"","21024","test_gillick_competence_notes","tests","Sat Aug 09 05:15:13 BST 2025","passed","Sat Aug 09 05:15:34 BST 2025","","test_verbal_consent","",""
"","7689","test_verify_systmone_report_for_hpv","tests","Sat Aug 09 05:06:39 BST 2025","passed","Sat Aug 09 05:06:47 BST 2025","","test_programmes","",""
"","28345","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Aug 09 05:04:33 BST 2025","passed","Sat Aug 09 05:05:01 BST 2025","","test_online_consent_doubles","",""
"","30187","test_given[health_question: True-change_school: True-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Aug 09 05:10:36 BST 2025","passed","Sat Aug 09 05:11:06 BST 2025","","test_online_consent_doubles","",""
"","12597","test_batch_add_change_archive[Menveo]","tests","Sat Aug 09 04:57:49 BST 2025","passed","Sat Aug 09 04:58:01 BST 2025","","test_vaccines","",""
"","75353","test_recording_doubles_vaccination","tests","Sat Aug 09 05:24:53 BST 2025","passed","Sat Aug 09 05:26:08 BST 2025","","test_e2e","",""
"","6042","test_child_list_file_upload_positive","tests","Sat Aug 09 04:56:47 BST 2025","passed","Sat Aug 09 04:56:53 BST 2025","","test_import_records","",""
"","65791","test_invalid_consent","tests","Sat Aug 09 05:16:22 BST 2025","passed","Sat Aug 09 05:17:27 BST 2025","","test_verbal_consent","",""
"","5656","test_vaccs_historic_positive_file_upload","tests","Sat Aug 09 05:16:05 BST 2025","passed","Sat Aug 09 05:16:11 BST 2025","","test_import_records","",""
"","4963","test_valid[role: nurse]","tests","Sat Aug 09 05:07:20 BST 2025","passed","Sat Aug 09 05:07:25 BST 2025","","test_log_in","",""
"","4120","test_cohorts_empty_file","tests","Sat Aug 09 04:58:04 BST 2025","passed","Sat Aug 09 04:58:08 BST 2025","","test_programmes","",""
"","6840","test_vaccs_negative_file_upload","tests","Sat Aug 09 05:10:53 BST 2025","passed","Sat Aug 09 05:11:00 BST 2025","","test_import_records","",""
"","6871","test_confirm_and_ignore","tests","Sat Aug 09 05:28:23 BST 2025","passed","Sat Aug 09 05:28:30 BST 2025","","test_school_moves","",""
"","12145","test_verify_attendance_filters","tests","Sat Aug 09 05:09:21 BST 2025","failed","Sat Aug 09 05:09:33 BST 2025","","test_sessions","",""
"","2030","test_visible","tests","Sat Aug 09 05:28:09 BST 2025","passed","Sat Aug 09 05:28:11 BST 2025","","test_start","",""
"","22903","test_given[health_question: False-consent_option: Injection]","tests","Sat Aug 09 05:03:44 BST 2025","passed","Sat Aug 09 05:04:07 BST 2025","","test_online_consent_flu","",""
"","3408","test_batch_name_too_short[Fluenz]","tests","Sat Aug 09 04:58:51 BST 2025","passed","Sat Aug 09 04:58:54 BST 2025","","test_vaccines","",""
"","4865","test_valid[role: superuser]","tests","Sat Aug 09 05:07:28 BST 2025","passed","Sat Aug 09 05:07:33 BST 2025","","test_log_in","",""
"","81414","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Sat Aug 09 05:15:01 BST 2025","passed","Sat Aug 09 05:16:23 BST 2025","","test_online_consent_flu","",""
"","25824","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Aug 09 04:57:55 BST 2025","passed","Sat Aug 09 04:58:21 BST 2025","","test_online_consent_doubles","",""
"","28358","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Sat Aug 09 05:05:43 BST 2025","passed","Sat Aug 09 05:06:12 BST 2025","","test_online_consent_doubles","",""
"","3440","test_batch_name_too_long[MenQuadfi]","tests","Sat Aug 09 05:00:26 BST 2025","passed","Sat Aug 09 05:00:30 BST 2025","","test_vaccines","",""
"","6868","test_cohort_upload_negative","tests","Sat Aug 09 04:57:09 BST 2025","passed","Sat Aug 09 04:57:16 BST 2025","","test_programmes","",""
"","16270","test_refused","tests","Sat Aug 09 04:56:55 BST 2025","passed","Sat Aug 09 04:57:11 BST 2025","","test_online_consent_doubles","",""
"","58555","test_correct_method_shown[consents: (<ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Sat Aug 09 05:12:57 BST 2025","passed","Sat Aug 09 05:13:55 BST 2025","","test_online_consent_flu","",""
"","6345","test_vaccs_systmone_negative_historical_file_upload","tests","Sat Aug 09 05:20:53 BST 2025","passed","Sat Aug 09 05:20:59 BST 2025","","test_import_records","",""
"","2201","test_vaccs_systmone_disallow_flu_for_previous_years","tests","Sat Aug 09 05:29:51 BST 2025","passed","Sat Aug 09 05:29:53 BST 2025","","test_import_records","",""
"","5014","test_vaccs_positive_file_upload","tests","Sat Aug 09 05:09:50 BST 2025","passed","Sat Aug 09 05:09:55 BST 2025","","test_import_records","",""
"","11798","test_batch_add_change_archive[Nimenrix]","tests","Sat Aug 09 04:58:10 BST 2025","passed","Sat Aug 09 04:58:22 BST 2025","","test_vaccines","",""
"","48362","test_cohorts_archive_and_unarchive","tests","Sat Aug 09 04:58:22 BST 2025","passed","Sat Aug 09 04:59:10 BST 2025","","test_programmes","",""
"","40335","test_rav_triage_consent_refused","tests","Sat Aug 09 05:01:00 BST 2025","passed","Sat Aug 09 05:01:40 BST 2025","","test_programmes","",""
"","83467","test_parent_provides_consent_twice","tests","Sat Aug 09 05:18:16 BST 2025","passed","Sat Aug 09 05:19:39 BST 2025","","test_verbal_consent","",""
"","11481","test_batch_add_change_archive[Revaxis]","tests","Sat Aug 09 04:58:30 BST 2025","passed","Sat Aug 09 04:58:42 BST 2025","","test_vaccines","",""
"","7721","test_verify_csv_report_for_hpv","tests","Sat Aug 09 05:05:55 BST 2025","passed","Sat Aug 09 05:06:02 BST 2025","","test_programmes","",""
"","15199","test_class_list_file_upload_positive","tests","Sat Aug 09 05:03:28 BST 2025","passed","Sat Aug 09 05:03:43 BST 2025","","test_import_records","",""
"","3326","test_batch_name_too_short[Revaxis]","tests","Sat Aug 09 04:59:50 BST 2025","passed","Sat Aug 09 04:59:53 BST 2025","","test_vaccines","",""
"","76685","test_correct_method_shown[consents: (<ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Sat Aug 09 05:10:34 BST 2025","passed","Sat Aug 09 05:11:51 BST 2025","","test_online_consent_flu","",""
"","4509","test_verify_search","tests","Sat Aug 09 05:10:25 BST 2025","passed","Sat Aug 09 05:10:30 BST 2025","","test_sessions","",""
"","1812","test_child_list_empty_file","tests","Sat Aug 09 04:57:59 BST 2025","passed","Sat Aug 09 04:58:01 BST 2025","","test_import_records","",""
"","14970","test_refused","tests","Sat Aug 09 05:01:37 BST 2025","passed","Sat Aug 09 05:01:52 BST 2025","","test_online_consent_flu","",""
"","4787","test_download","tests","Sat Aug 09 05:29:56 BST 2025","passed","Sat Aug 09 05:30:01 BST 2025","","test_school_moves","",""
"","39426","test_rav_verify_excel_mav_854","tests","Sat Aug 09 05:04:06 BST 2025","broken","Sat Aug 09 05:04:45 BST 2025","","test_programmes","",""
"","29338","test_given[health_question: False-consent_option: Nasal spray]","tests","Sat Aug 09 05:02:32 BST 2025","passed","Sat Aug 09 05:03:01 BST 2025","","test_online_consent_flu","",""
"","3574","test_batch_name_too_long[Fluenz]","tests","Sat Aug 09 05:00:02 BST 2025","passed","Sat Aug 09 05:00:05 BST 2025","","test_vaccines","",""
