"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34774","test_given[health_question: False-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Jul 12 05:00:12 BST 2025","passed","Sat Jul 12 05:00:47 BST 2025","","test_online_consent_doubles","",""
"","10645","test_class_list_no_record","tests","Sat Jul 12 05:01:08 BST 2025","passed","Sat Jul 12 05:01:18 BST 2025","","test_import_records","",""
"","2184","test_vaccs_empty_file","tests","Sat Jul 12 05:11:47 BST 2025","passed","Sat Jul 12 05:11:49 BST 2025","","test_import_records","",""
"","0","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Nasal spray', 'Nasal spray')]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_online_consent_flu","",""
"","0","test_valid[role: nurse]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_log_in","",""
"","12052","test_vaccs_negative_file_upload","tests","Sat Jul 12 05:07:08 BST 2025","passed","Sat Jul 12 05:07:20 BST 2025","","test_import_records","",""
"","8804","test_verify_csv_report_for_hpv","tests","Sat Jul 12 05:07:55 BST 2025","passed","Sat Jul 12 05:08:04 BST 2025","","test_programmes","",""
"","0","test_batch_name_too_short[Gardasil 9]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_vaccines","",""
"","35695","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Jul 12 05:01:38 BST 2025","passed","Sat Jul 12 05:02:13 BST 2025","","test_online_consent_doubles","",""
"","0","test_create_with_no_nhs_number","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_consent_responses","",""
"","33976","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Jul 12 04:57:23 BST 2025","passed","Sat Jul 12 04:57:57 BST 2025","","test_online_consent_doubles","",""
"","0","test_verify_consent_filters","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_sessions","",""
"","0","test_invalid[password: invalid-username: invalid]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_log_in","",""
"","0","test_valid[role: superuser]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_log_in","",""
"","0","test_batch_name_too_short[Revaxis]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_vaccines","",""
"","0","test_batch_name_too_short[MenQuadfi]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_vaccines","",""
"","37293","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Sat Jul 12 04:58:46 BST 2025","passed","Sat Jul 12 04:59:23 BST 2025","","test_online_consent_doubles","",""
"","0","test_e2e","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_e2e","",""
"","0","test_batch_add_change_archive[Nimenrix]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_vaccines","",""
"","0","test_given[health_question: False-change_school: False]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_online_consent_hpv","",""
"","0","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Injection', 'Injection')]","tests","Sat Jul 12 04:55:44 BST 2025","broken","Sat Jul 12 04:55:44 BST 2025","","test_online_consent_flu","",""
