"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8180","test_recording_notes","tests","Sat Jul 05 05:03:00 BST 2025","passed","Sat Jul 05 05:03:08 BST 2025","","test_sessions","",""
"","20358","test_rav_triage_consent_given","tests","Sat Jul 05 04:57:41 BST 2025","passed","Sat Jul 05 04:58:01 BST 2025","","test_programmes","",""
"","4147","test_class_list_no_record","tests","Sat Jul 05 04:58:36 BST 2025","passed","Sat Jul 05 04:58:41 BST 2025","","test_import_records","",""
"","789","test_cohorts_empty_file","tests","Sat Jul 05 04:57:11 BST 2025","passed","Sat Jul 05 04:57:12 BST 2025","","test_programmes","",""
"","2520","test_valid[role: superuser]","tests","Sat Jul 05 05:01:04 BST 2025","passed","Sat Jul 05 05:01:06 BST 2025","","test_log_in","",""
"","4361","test_class_list_file_upload_negative","tests","Sat Jul 05 04:57:57 BST 2025","passed","Sat Jul 05 04:58:02 BST 2025","","test_import_records","",""
"","15815","test_rav_triage_consent_refused","tests","Sat Jul 05 04:58:16 BST 2025","passed","Sat Jul 05 04:58:32 BST 2025","","test_programmes","",""
"","11828","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Sat Jul 05 04:57:43 BST 2025","passed","Sat Jul 05 04:57:55 BST 2025","","test_online_consent_doubles","",""
"","3202","test_verify_csv_report_for_hpv","tests","Sat Jul 05 05:00:20 BST 2025","passed","Sat Jul 05 05:00:23 BST 2025","","test_programmes","",""
"","4340","test_batch_add_change_archive[Menveo]","tests","Sat Jul 05 04:57:07 BST 2025","passed","Sat Jul 05 04:57:11 BST 2025","","test_vaccines","",""
"","5180","test_batch_add_change_archive[Revaxis]","tests","Sat Jul 05 04:57:23 BST 2025","passed","Sat Jul 05 04:57:28 BST 2025","","test_vaccines","",""
"","13470","test_given[health_question: True-change_school: True-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Jul 05 05:02:41 BST 2025","passed","Sat Jul 05 05:02:55 BST 2025","","test_online_consent_doubles","",""
"","4761","test_rav_edit_dose_to_not_given","tests","Sat Jul 05 04:58:56 BST 2025","passed","Sat Jul 05 04:59:01 BST 2025","","test_programmes","",""
"","2249","test_valid[role: admin]","tests","Sat Jul 05 05:00:56 BST 2025","passed","Sat Jul 05 05:00:58 BST 2025","","test_log_in","",""
"","32739","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Injection', 'Injection')]","tests","Sat Jul 05 05:04:37 BST 2025","passed","Sat Jul 05 05:05:09 BST 2025","","test_online_consent_flu","",""
"","12726","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Jul 05 05:01:11 BST 2025","passed","Sat Jul 05 05:01:24 BST 2025","","test_online_consent_doubles","",""
"","1903","test_vaccs_historic_negative_file_upload","tests","Sat Jul 05 05:02:51 BST 2025","passed","Sat Jul 05 05:02:53 BST 2025","","test_import_records","",""
"","2704","test_confirm_and_ignore","tests","Sat Jul 05 05:05:42 BST 2025","passed","Sat Jul 05 05:05:45 BST 2025","","test_school_moves","",""
"","1541","test_batch_name_too_long[MenQuadfi]","tests","Sat Jul 05 04:58:16 BST 2025","passed","Sat Jul 05 04:58:17 BST 2025","","test_vaccines","",""
"","11440","test_given[health_question: True-change_school: True]","tests","Sat Jul 05 05:04:58 BST 2025","passed","Sat Jul 05 05:05:09 BST 2025","","test_online_consent_hpv","",""
"","1519","test_batch_name_too_long[Fluenz Tetra - LAIV]","tests","Sat Jul 05 04:58:05 BST 2025","passed","Sat Jul 05 04:58:06 BST 2025","","test_vaccines","",""
"","3870","test_verify_careplus_report_for_hpv","tests","Sat Jul 05 04:59:59 BST 2025","passed","Sat Jul 05 05:00:03 BST 2025","","test_programmes","",""
"","13409","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Jul 05 05:00:10 BST 2025","passed","Sat Jul 05 05:00:24 BST 2025","","test_online_consent_doubles","",""
"","1007","test_child_list_file_structure","tests","Sat Jul 05 04:56:57 BST 2025","passed","Sat Jul 05 04:56:58 BST 2025","","test_import_records","",""
"","11836","test_vaccs_hpv_space_normalization","tests","Sat Jul 05 05:04:36 BST 2025","passed","Sat Jul 05 05:04:48 BST 2025","","test_import_records","",""
"","9763","test_given[health_question: False-change_school: False]","tests","Sat Jul 05 05:03:36 BST 2025","passed","Sat Jul 05 05:03:46 BST 2025","","test_online_consent_hpv","",""
"","736","test_vaccs_no_record","tests","Sat Jul 05 05:01:44 BST 2025","passed","Sat Jul 05 05:01:45 BST 2025","","test_import_records","",""
"","1014","test_vaccs_file_structure","tests","Sat Jul 05 05:01:23 BST 2025","passed","Sat Jul 05 05:01:24 BST 2025","","test_import_records","",""
"","1644","test_cohort_upload_negative","tests","Sat Jul 05 04:56:50 BST 2025","passed","Sat Jul 05 04:56:52 BST 2025","","test_programmes","",""
"","1583","test_batch_name_too_short[Menveo]","tests","Sat Jul 05 04:57:49 BST 2025","passed","Sat Jul 05 04:57:50 BST 2025","","test_vaccines","",""
"","13202","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Jul 05 04:58:41 BST 2025","passed","Sat Jul 05 04:58:54 BST 2025","","test_online_consent_doubles","",""
"","1404","test_vaccs_systmone_positive_file_upload","tests","Sat Jul 05 05:03:37 BST 2025","passed","Sat Jul 05 05:03:38 BST 2025","","test_import_records","",""
"","5153","test_class_list_file_upload_positive","tests","Sat Jul 05 04:57:37 BST 2025","passed","Sat Jul 05 04:57:42 BST 2025","","test_import_records","",""
"","7170","test_refused","tests","Sat Jul 05 04:58:48 BST 2025","passed","Sat Jul 05 04:58:55 BST 2025","","test_online_consent_flu","",""
"","7228","test_refused","tests","Sat Jul 05 04:56:48 BST 2025","passed","Sat Jul 05 04:56:56 BST 2025","","test_online_consent_doubles","",""
"","1647","test_batch_name_too_long[Menveo]","tests","Sat Jul 05 04:58:21 BST 2025","passed","Sat Jul 05 04:58:23 BST 2025","","test_vaccines","",""
"","4463","test_batch_add_change_archive[Fluenz Tetra - LAIV]","tests","Sat Jul 05 04:56:42 BST 2025","passed","Sat Jul 05 04:56:46 BST 2025","","test_vaccines","",""
"","5970","test_create_with_nhs_number[children0]","tests","Sat Jul 05 05:07:53 BST 2025","passed","Sat Jul 05 05:07:59 BST 2025","","test_consent_responses","",""
"
Steps to reproduce:
Find a patient in Year 8 and remove them from cohort using the button
Upload a cohort list with their first name, surname, URN, date of birth and postcode

Scenario 1
    Duplicate review is not flagged

    Expected result:
    The child is added back into the cohort, and in all the relevant sessions
    Actual Result:
    Server error page and user cannot bring the child back into the cohort

Scenario 2
    The import screen flags for duplicate review, and user clicks ""Review"" next to the child's name

    Expected result:
    System allows you to review the new details against the previous record (before removing from cohort) and lets you choose which record to keep. Once review confirmed, the child is added back into the cohort, and in all the relevant sessions.
    Actual Result:
    Server error page and user cannot bring the child back into the cohort
","13370","test_cohorts_readd_to_cohort","tests","Sat Jul 05 04:57:18 BST 2025","passed","Sat Jul 05 04:57:31 BST 2025","","test_programmes","",""
"","1526","test_batch_name_too_short[Gardasil 9]","tests","Sat Jul 05 04:57:38 BST 2025","passed","Sat Jul 05 04:57:39 BST 2025","","test_vaccines","",""
"","1588","test_batch_name_too_short[Fluenz Tetra - LAIV]","tests","Sat Jul 05 04:57:32 BST 2025","passed","Sat Jul 05 04:57:34 BST 2025","","test_vaccines","",""
"","6540","test_gillick_competence","tests","Sat Jul 05 05:03:28 BST 2025","passed","Sat Jul 05 05:03:34 BST 2025","","test_verbal_consent","",""
"
1. Upload vaccination records for a patient that doesn't contain vaccine information (VACCINE_GIVEN column)
2. Navigate to the patient, either in a session or from the global children view
3. Expected: patient details can be seen
Actual: crash
","4152","test_details_mav_853","tests","Sat Jul 05 05:05:58 BST 2025","passed","Sat Jul 05 05:06:02 BST 2025","","test_children","",""
"","4310","test_batch_add_change_archive[MenQuadfi]","tests","Sat Jul 05 04:56:59 BST 2025","passed","Sat Jul 05 04:57:03 BST 2025","","test_vaccines","",""
"","5990","test_create_with_no_nhs_number","tests","Sat Jul 05 05:08:27 BST 2025","passed","Sat Jul 05 05:08:33 BST 2025","","test_consent_responses","",""
"","12572","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Jul 05 04:57:13 BST 2025","passed","Sat Jul 05 04:57:26 BST 2025","","test_online_consent_doubles","",""
"","12959","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Jul 05 05:01:41 BST 2025","passed","Sat Jul 05 05:01:54 BST 2025","","test_online_consent_doubles","",""
"","7064","test_refused","tests","Sat Jul 05 05:03:12 BST 2025","passed","Sat Jul 05 05:03:19 BST 2025","","test_online_consent_hpv","",""
"","1","test_verify_flu_not_available","tests","Sat Jul 05 04:58:38 BST 2025","passed","Sat Jul 05 04:58:38 BST 2025","","test_vaccines","",""
"","1718","test_vaccs_systmone_negative_historical_file_upload","tests","Sat Jul 05 05:04:14 BST 2025","passed","Sat Jul 05 05:04:15 BST 2025","","test_import_records","",""
"","804","test_child_list_no_record","tests","Sat Jul 05 04:57:03 BST 2025","passed","Sat Jul 05 04:57:04 BST 2025","","test_import_records","",""
"","3238","test_vaccs_positive_file_upload","tests","Sat Jul 05 05:00:11 BST 2025","passed","Sat Jul 05 05:00:14 BST 2025","","test_import_records","",""
"","617","test_invalid[password: -username: ]","tests","Sat Jul 05 05:00:47 BST 2025","passed","Sat Jul 05 05:00:47 BST 2025","","test_log_in","",""
"","1274","test_verify_search","tests","Sat Jul 05 05:02:10 BST 2025","passed","Sat Jul 05 05:02:11 BST 2025","","test_sessions","",""
"","1532","test_batch_name_too_short[Nimenrix]","tests","Sat Jul 05 04:57:54 BST 2025","passed","Sat Jul 05 04:57:56 BST 2025","","test_vaccines","",""
