"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3121","test_batch_name_too_long[Revaxis]","tests","Sat Aug 02 05:57:27 BST 2025","passed","Sat Aug 02 05:57:30 BST 2025","","test_vaccines","",""
"","22026","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Sat Aug 02 05:55:52 BST 2025","passed","Sat Aug 02 05:56:14 BST 2025","","test_online_consent_doubles","",""
"","14961","test_vaccs_historic_no_urn_mav_855","tests","Sat Aug 02 06:07:08 BST 2025","passed","Sat Aug 02 06:07:23 BST 2025","","test_import_records","",""
"","2193","test_vaccs_file_structure","tests","Sat Aug 02 06:03:12 BST 2025","passed","Sat Aug 02 06:03:15 BST 2025","","test_import_records","",""
"","5283","test_vaccs_systmone_negative_historical_file_upload","tests","Sat Aug 02 06:09:12 BST 2025","passed","Sat Aug 02 06:09:18 BST 2025","","test_import_records","",""
"","2799","test_child_list_file_upload_negative","tests","Sat Aug 02 05:54:12 BST 2025","passed","Sat Aug 02 05:54:15 BST 2025","","test_import_records","",""
"","1915","test_cohorts_file_structure","tests","Sat Aug 02 05:54:27 BST 2025","passed","Sat Aug 02 05:54:29 BST 2025","","test_programmes","",""
"","15581","test_create_with_nhs_number[children0]","tests","Sat Aug 02 06:14:14 BST 2025","passed","Sat Aug 02 06:14:29 BST 2025","","test_consent_responses","",""
"","67718","test_correct_method_shown[consents: (<ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Sat Aug 02 06:05:34 BST 2025","passed","Sat Aug 02 06:06:41 BST 2025","","test_online_consent_flu","",""
"","3893","test_cohort_upload_negative","tests","Sat Aug 02 05:54:14 BST 2025","passed","Sat Aug 02 05:54:18 BST 2025","","test_programmes","",""
"","3121","test_batch_name_too_long[Nimenrix]","tests","Sat Aug 02 05:57:16 BST 2025","passed","Sat Aug 02 05:57:19 BST 2025","","test_vaccines","",""
