"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23302","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Jul 10 05:40:09 BST 2025","passed","Thu Jul 10 05:40:32 BST 2025","","test_online_consent_doubles","",""
"","8023","test_class_list_file_structure","tests","Thu Jul 10 05:41:05 BST 2025","passed","Thu Jul 10 05:41:13 BST 2025","","test_import_records","",""
"","15182","test_refused","tests","Thu Jul 10 05:50:55 BST 2025","passed","Thu Jul 10 05:51:10 BST 2025","","test_online_consent_hpv","",""
"","82127","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Nasal spray (or injection)', 'Nasal spray (or injection)')]","tests","Thu Jul 10 05:56:06 BST 2025","passed","Thu Jul 10 05:57:28 BST 2025","","test_online_consent_flu","",""
"","2636","test_child_list_file_upload_negative","tests","Thu Jul 10 05:38:23 BST 2025","passed","Thu Jul 10 05:38:26 BST 2025","","test_import_records","",""
"","7273","test_verify_attendance_filters","tests","Thu Jul 10 05:48:41 BST 2025","passed","Thu Jul 10 05:48:48 BST 2025","","test_sessions","",""
"","15763","test_verify_consent_filters","tests","Thu Jul 10 05:50:14 BST 2025","passed","Thu Jul 10 05:50:30 BST 2025","","test_sessions","",""
"","1153","test_invalid[password: -username: ]","tests","Thu Jul 10 05:46:43 BST 2025","passed","Thu Jul 10 05:46:44 BST 2025","","test_log_in","",""
"","47505","test_rav_triage_consent_given","tests","Thu Jul 10 05:40:07 BST 2025","passed","Thu Jul 10 05:40:54 BST 2025","","test_programmes","",""
"","26447","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Jul 10 05:46:51 BST 2025","passed","Thu Jul 10 05:47:18 BST 2025","","test_online_consent_doubles","",""
"","2879","test_batch_name_too_long[Revaxis]","tests","Thu Jul 10 05:42:02 BST 2025","passed","Thu Jul 10 05:42:05 BST 2025","","test_vaccines","",""
"","3227","test_child_list_file_upload_positive","tests","Thu Jul 10 05:38:10 BST 2025","passed","Thu Jul 10 05:38:13 BST 2025","","test_import_records","",""
"","1638","test_cohorts_no_record","tests","Thu Jul 10 05:38:58 BST 2025","passed","Thu Jul 10 05:39:00 BST 2025","","test_programmes","",""
"
1. Upload vaccination records for a patient that doesn't contain vaccine information (VACCINE_GIVEN column)
2. Navigate to the patient, either in a session or from the global children view
3. Expected: patient details can be seen
Actual: crash
","8448","test_details_mav_853","tests","Thu Jul 10 05:56:06 BST 2025","passed","Thu Jul 10 05:56:14 BST 2025","","test_children","",""
"","7558","test_class_list_year_group","tests","Thu Jul 10 05:42:57 BST 2025","passed","Thu Jul 10 05:43:05 BST 2025","","test_import_records","",""
"","2228","test_cohorts_file_structure","tests","Thu Jul 10 05:38:45 BST 2025","passed","Thu Jul 10 05:38:47 BST 2025","","test_programmes","",""
"","2839","test_batch_name_too_short[Revaxis]","tests","Thu Jul 10 05:40:56 BST 2025","passed","Thu Jul 10 05:40:59 BST 2025","","test_vaccines","",""
"","1601","test_child_list_empty_file","tests","Thu Jul 10 05:39:01 BST 2025","passed","Thu Jul 10 05:39:02 BST 2025","","test_import_records","",""
"","17518","test_verify_csv_report_for_doubles","tests","Thu Jul 10 05:46:05 BST 2025","passed","Thu Jul 10 05:46:22 BST 2025","","test_programmes","",""
"","104627","test_conflicting_consent_with_gillick_consent","tests","Thu Jul 10 05:57:32 BST 2025","passed","Thu Jul 10 05:59:17 BST 2025","","test_verbal_consent","",""
"","2866","test_batch_name_too_long[Nimenrix]","tests","Thu Jul 10 05:41:51 BST 2025","passed","Thu Jul 10 05:41:54 BST 2025","","test_vaccines","",""
"","5994","test_confirm_and_ignore","tests","Thu Jul 10 05:58:33 BST 2025","passed","Thu Jul 10 05:58:39 BST 2025","","test_school_moves","",""
"","1696","test_vaccs_no_record","tests","Thu Jul 10 05:47:53 BST 2025","passed","Thu Jul 10 05:47:55 BST 2025","","test_import_records","",""
"","1611","test_visible","tests","Thu Jul 10 06:00:18 BST 2025","passed","Thu Jul 10 06:00:19 BST 2025","","test_start","",""
"","6201","test_vaccs_historic_negative_file_upload","tests","Thu Jul 10 05:50:12 BST 2025","passed","Thu Jul 10 05:50:18 BST 2025","","test_import_records","",""
"","10783","test_batch_add_change_archive[MenQuadfi]","tests","Thu Jul 10 05:38:49 BST 2025","passed","Thu Jul 10 05:38:59 BST 2025","","test_vaccines","",""
"","15767","test_child_list_space_normalization","tests","Thu Jul 10 05:39:12 BST 2025","passed","Thu Jul 10 05:39:28 BST 2025","","test_import_records","",""
"","8442","test_class_list_file_upload_negative","tests","Thu Jul 10 05:40:27 BST 2025","passed","Thu Jul 10 05:40:35 BST 2025","","test_import_records","",""
"","11989","test_create_with_nhs_number[children0]","tests","Thu Jul 10 05:58:13 BST 2025","passed","Thu Jul 10 05:58:25 BST 2025","","test_consent_responses","",""
"","80682","test_correct_method_shown[consents: ('Nasal spray (or injection)', 'Nasal spray', 'Nasal spray')]","tests","Thu Jul 10 05:52:02 BST 2025","passed","Thu Jul 10 05:53:23 BST 2025","","test_online_consent_flu","",""
"","3421","test_download","tests","Thu Jul 10 05:59:51 BST 2025","passed","Thu Jul 10 05:59:54 BST 2025","","test_school_moves","",""
"","15034","test_refused","tests","Thu Jul 10 05:42:33 BST 2025","passed","Thu Jul 10 05:42:48 BST 2025","","test_online_consent_flu","",""
"","29997","test_lifecycle","tests","Thu Jul 10 05:47:26 BST 2025","passed","Thu Jul 10 05:47:56 BST 2025","","test_sessions","",""
"","82423","test_correct_method_shown[consents: ('Nasal spray', 'Nasal spray', 'Nasal spray')]","tests","Thu Jul 10 05:48:08 BST 2025","passed","Thu Jul 10 05:49:30 BST 2025","","test_online_consent_flu","",""
"","19354","test_gillick_competence_notes","tests","Thu Jul 10 05:53:06 BST 2025","passed","Thu Jul 10 05:53:26 BST 2025","","test_verbal_consent","",""
"","10317","test_batch_add_change_archive[Menveo]","tests","Thu Jul 10 05:39:07 BST 2025","passed","Thu Jul 10 05:39:18 BST 2025","","test_vaccines","",""
"","23321","test_given[health_question: False-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Jul 10 05:41:06 BST 2025","passed","Thu Jul 10 05:41:29 BST 2025","","test_online_consent_doubles","",""
"","2713","test_vaccs_systmone_positive_file_upload","tests","Thu Jul 10 05:51:39 BST 2025","passed","Thu Jul 10 05:51:41 BST 2025","","test_import_records","",""
"","3055","test_vaccs_systmone_space_normalization","tests","Thu Jul 10 05:54:25 BST 2025","passed","Thu Jul 10 05:54:28 BST 2025","","test_import_records","",""
"","1218","test_invalid[password: invalid-username: invalid]","tests","Thu Jul 10 05:46:55 BST 2025","passed","Thu Jul 10 05:46:57 BST 2025","","test_log_in","",""
"","1392","test_invalid[password: invalid-username: ]","tests","Thu Jul 10 05:46:51 BST 2025","passed","Thu Jul 10 05:46:52 BST 2025","","test_log_in","",""
"","9137","test_class_list_file_upload_positive","tests","Thu Jul 10 05:39:48 BST 2025","passed","Thu Jul 10 05:39:57 BST 2025","","test_import_records","",""
"","41273","test_given[health_question: True-injection: False1]","tests","Thu Jul 10 05:46:41 BST 2025","passed","Thu Jul 10 05:47:22 BST 2025","","test_online_consent_flu","",""
"","23137","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Jul 10 05:39:12 BST 2025","passed","Thu Jul 10 05:39:35 BST 2025","","test_online_consent_doubles","",""
"","22668","test_given[health_question: True-change_school: True]","tests","Thu Jul 10 05:54:27 BST 2025","passed","Thu Jul 10 05:54:50 BST 2025","","test_online_consent_hpv","",""
"","2983","test_batch_name_too_long[MenQuadfi]","tests","Thu Jul 10 05:41:29 BST 2025","passed","Thu Jul 10 05:41:32 BST 2025","","test_vaccines","",""
"","26922","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Jul 10 05:45:53 BST 2025","passed","Thu Jul 10 05:46:20 BST 2025","","test_online_consent_doubles","",""
"","56783","test_rav_verify_excel_mav_854","tests","Thu Jul 10 05:43:50 BST 2025","passed","Thu Jul 10 05:44:47 BST 2025","","test_programmes","",""
"","15292","test_refused","tests","Thu Jul 10 05:38:24 BST 2025","passed","Thu Jul 10 05:38:39 BST 2025","","test_online_consent_doubles","",""
"","7706","test_verify_systmone_report_for_hpv","tests","Thu Jul 10 05:46:30 BST 2025","passed","Thu Jul 10 05:46:38 BST 2025","","test_programmes","",""
"","2466","test_vaccs_file_structure","tests","Thu Jul 10 05:47:09 BST 2025","passed","Thu Jul 10 05:47:12 BST 2025","","test_import_records","",""
"","41785","test_e2e","tests","Thu Jul 10 05:59:37 BST 2025","passed","Thu Jul 10 06:00:19 BST 2025","","test_e2e","",""
"","24540","test_match","tests","Thu Jul 10 05:56:49 BST 2025","passed","Thu Jul 10 05:57:13 BST 2025","","test_consent_responses","",""
"","32717","test_given[health_question: False-injection: False1]","tests","Thu Jul 10 05:44:23 BST 2025","passed","Thu Jul 10 05:44:56 BST 2025","","test_online_consent_flu","",""
"","1865","test_child_list_no_record","tests","Thu Jul 10 05:38:48 BST 2025","passed","Thu Jul 10 05:38:50 BST 2025","","test_import_records","",""
"
Steps to reproduce:
Find a patient in Year 8 and remove them from cohort using the button
Upload a cohort list with their first name, surname, URN, date of birth and postcode

Scenario 1
    Duplicate review is not flagged

    Expected result:
    The child is added back into the cohort, and in all the relevant sessions
    Actual Result:
    Server error page and user cannot bring the child back into the cohort

Scenario 2
    The import screen flags for duplicate review, and user clicks ""Review"" next to the child's name

    Expected result:
    System allows you to review the new details against the previous record (before removing from cohort) and lets you choose which record to keep. Once review confirmed, the child is added back into the cohort, and in all the relevant sessions.
    Actual Result:
    Server error page and user cannot bring the child back into the cohort
","24313","test_cohorts_readd_to_cohort","tests","Thu Jul 10 05:39:23 BST 2025","passed","Thu Jul 10 05:39:47 BST 2025","","test_programmes","",""
"","2849","test_batch_name_too_long[Menveo]","tests","Thu Jul 10 05:41:40 BST 2025","passed","Thu Jul 10 05:41:43 BST 2025","","test_vaccines","",""
"","28220","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Jul 10 05:48:52 BST 2025","passed","Thu Jul 10 05:49:20 BST 2025","","test_online_consent_doubles","",""
"","3157","test_batch_name_too_short[Gardasil 9]","tests","Thu Jul 10 05:40:13 BST 2025","passed","Thu Jul 10 05:40:16 BST 2025","","test_vaccines","",""
"","6454","test_vaccs_negative_file_upload","tests","Thu Jul 10 05:45:30 BST 2025","passed","Thu Jul 10 05:45:36 BST 2025","","test_import_records","",""
"","1984","test_child_list_file_structure","tests","Thu Jul 10 05:38:36 BST 2025","passed","Thu Jul 10 05:38:38 BST 2025","","test_import_records","",""
"","9685","test_batch_add_change_archive[Gardasil 9]","tests","Thu Jul 10 05:38:31 BST 2025","passed","Thu Jul 10 05:38:40 BST 2025","","test_vaccines","",""
