"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14008","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Mon Aug 25 04:30:05 BST 2025","passed","Mon Aug 25 04:30:19 BST 2025","","test_online_consent_doubles","",""
"","9965","test_given[health_question: True-change_school: False]","tests","Mon Aug 25 04:38:59 BST 2025","passed","Mon Aug 25 04:39:09 BST 2025","","test_online_consent_hpv","",""
"","0","test_vaccs_duplicate_record_upload","tests","Mon Aug 25 04:37:09 BST 2025","failed","Mon Aug 25 04:37:09 BST 2025","","test_import_records","",""
"","12140","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Aug 25 04:26:22 BST 2025","passed","Mon Aug 25 04:26:34 BST 2025","","test_online_consent_doubles","",""
"","0","test_conflicting_consent_with_gillick_consent","tests","Mon Aug 25 04:42:15 BST 2025","failed","Mon Aug 25 04:42:15 BST 2025","","test_verbal_consent","",""
"","6924","test_child_list_file_upload_positive","tests","Mon Aug 25 04:25:48 BST 2025","failed","Mon Aug 25 04:25:55 BST 2025","","test_import_records","",""
"","11199","test_given[health_question: False-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Aug 25 04:25:51 BST 2025","passed","Mon Aug 25 04:26:02 BST 2025","","test_online_consent_doubles","",""
"","3028","test_cohort_upload_negative","tests","Mon Aug 25 04:26:33 BST 2025","passed","Mon Aug 25 04:26:36 BST 2025","","test_programmes","",""
"","1338","test_batch_name_too_short[Menveo]","tests","Mon Aug 25 04:25:33 BST 2025","passed","Mon Aug 25 04:25:35 BST 2025","","test_vaccines","",""
"","9922","test_given[health_question: False-change_school: True]","tests","Mon Aug 25 04:38:30 BST 2025","passed","Mon Aug 25 04:38:40 BST 2025","","test_online_consent_hpv","",""
"","0","test_rav_edit_dose_to_not_given","tests","Mon Aug 25 04:32:55 BST 2025","failed","Mon Aug 25 04:32:55 BST 2025","","test_programmes","",""
