"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4001","test_archive","tests","Mon Aug 25 05:32:11 BST 2025","passed","Mon Aug 25 05:32:15 BST 2025","","test_consent_responses","",""
"","1772","test_child_list_no_record","tests","Mon Aug 25 05:04:48 BST 2025","passed","Mon Aug 25 05:04:49 BST 2025","","test_import_records","",""
"","2640","test_batch_name_too_short[Menveo]","tests","Mon Aug 25 05:03:51 BST 2025","passed","Mon Aug 25 05:03:54 BST 2025","","test_vaccines","",""
"","0","test_recording_hpv_vaccination","tests","Mon Aug 25 05:33:21 BST 2025","broken","Mon Aug 25 05:33:21 BST 2025","","test_e2e","",""
"","0","test_create_edit_delete","tests","Mon Aug 25 05:40:36 BST 2025","failed","Mon Aug 25 05:40:36 BST 2025","","test_imms","",""
"","27749","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Mon Aug 25 05:08:53 BST 2025","passed","Mon Aug 25 05:09:21 BST 2025","","test_online_consent_doubles","",""
"","5059","test_invalid","tests","Mon Aug 25 05:15:01 BST 2025","passed","Mon Aug 25 05:15:06 BST 2025","","test_sessions","",""
"","14305","test_rav_triage_consent_given","tests","Mon Aug 25 05:09:32 BST 2025","failed","Mon Aug 25 05:09:47 BST 2025","","test_programmes","",""
"","2557","test_batch_name_too_short[MenQuadfi]","tests","Mon Aug 25 05:03:43 BST 2025","passed","Mon Aug 25 05:03:45 BST 2025","","test_vaccines","",""
"","0","test_merge_does_not_crash","tests","Mon Aug 25 05:29:43 BST 2025","failed","Mon Aug 25 05:29:43 BST 2025","","test_children","",""
"","0","test_vaccs_historic_negative_file_upload","tests","Mon Aug 25 05:29:53 BST 2025","failed","Mon Aug 25 05:29:53 BST 2025","","test_import_records","",""
"","8692","test_child_list_file_upload_positive","tests","Mon Aug 25 05:03:29 BST 2025","failed","Mon Aug 25 05:03:38 BST 2025","","test_import_records","",""
"","11976","test_refused","tests","Mon Aug 25 05:01:57 BST 2025","passed","Mon Aug 25 05:02:09 BST 2025","","test_online_consent_doubles","",""
"","20339","test_given[health_question: True-change_school: True]","tests","Mon Aug 25 05:21:31 BST 2025","passed","Mon Aug 25 05:21:51 BST 2025","","test_online_consent_hpv","",""
"","0","test_vaccs_community_clinic_name_case","tests","Mon Aug 25 05:39:59 BST 2025","failed","Mon Aug 25 05:39:59 BST 2025","","test_import_records","",""
"","5508","test_verify_systmone_report_for_hpv","tests","Mon Aug 25 05:17:50 BST 2025","passed","Mon Aug 25 05:17:56 BST 2025","","test_programmes","",""
"","19842","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Mon Aug 25 05:06:11 BST 2025","passed","Mon Aug 25 05:06:31 BST 2025","","test_online_consent_doubles","",""
"","3256","test_valid[role: admin]","tests","Mon Aug 25 05:14:06 BST 2025","passed","Mon Aug 25 05:14:09 BST 2025","","test_log_in","",""
"","16893","test_given[health_question: False-change_school: False]","tests","Mon Aug 25 05:18:58 BST 2025","passed","Mon Aug 25 05:19:15 BST 2025","","test_online_consent_hpv","",""
"","0","test_create_with_no_nhs_number","tests","Mon Aug 25 05:42:47 BST 2025","broken","Mon Aug 25 05:42:47 BST 2025","","test_consent_responses","",""
"","0","test_recording_doubles_vaccination","tests","Mon Aug 25 05:37:33 BST 2025","broken","Mon Aug 25 05:37:33 BST 2025","","test_e2e","",""
"","0","test_vaccs_positive_file_upload","tests","Mon Aug 25 05:16:44 BST 2025","failed","Mon Aug 25 05:16:44 BST 2025","","test_import_records","",""
"","0","test_verify_search","tests","Mon Aug 25 05:18:25 BST 2025","failed","Mon Aug 25 05:18:25 BST 2025","","test_sessions","",""
"","40213","test_given[health_question: True-consent_option: Nasal spray]","tests","Mon Aug 25 05:09:23 BST 2025","passed","Mon Aug 25 05:10:04 BST 2025","","test_online_consent_flu","",""
"","0","test_gillick_competence","tests","Mon Aug 25 05:24:37 BST 2025","failed","Mon Aug 25 05:24:37 BST 2025","","test_verbal_consent","",""
"","1","test_verify_flu_not_available","tests","Mon Aug 25 05:05:24 BST 2025","passed","Mon Aug 25 05:05:24 BST 2025","","test_vaccines","",""
"","5345","test_verify_csv_report_for_hpv","tests","Mon Aug 25 05:17:21 BST 2025","passed","Mon Aug 25 05:17:26 BST 2025","","test_programmes","",""
"","2667","test_batch_name_too_short[Gardasil 9]","tests","Mon Aug 25 05:03:34 BST 2025","passed","Mon Aug 25 05:03:37 BST 2025","","test_vaccines","",""
"","0","test_headers_and_filter","tests","Mon Aug 25 05:23:36 BST 2025","failed","Mon Aug 25 05:23:36 BST 2025","","test_children","",""
"","1179","test_invalid[password: invalid-username: invalid]","tests","Mon Aug 25 05:14:02 BST 2025","passed","Mon Aug 25 05:14:03 BST 2025","","test_log_in","",""
"","14821","test_class_list_space_normalization","tests","Mon Aug 25 05:15:05 BST 2025","failed","Mon Aug 25 05:15:20 BST 2025","","test_import_records","",""
"","0","test_change_nhsno","tests","Mon Aug 25 05:27:36 BST 2025","failed","Mon Aug 25 05:27:36 BST 2025","","test_children","",""
"","1837","test_vaccs_systmone_disallow_flu_for_previous_years","tests","Mon Aug 25 05:38:34 BST 2025","passed","Mon Aug 25 05:38:36 BST 2025","","test_import_records","",""
"","1405","test_invalid[password: invalid-username: ]","tests","Mon Aug 25 05:13:58 BST 2025","passed","Mon Aug 25 05:14:00 BST 2025","","test_log_in","",""
"","7927","test_child_list_space_normalization","tests","Mon Aug 25 05:06:52 BST 2025","failed","Mon Aug 25 05:07:00 BST 2025","","test_import_records","",""
"","28513","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Mon Aug 25 05:12:05 BST 2025","passed","Mon Aug 25 05:12:33 BST 2025","","test_online_consent_doubles","",""
"","0","test_vaccs_no_record","tests","Mon Aug 25 05:24:19 BST 2025","failed","Mon Aug 25 05:24:19 BST 2025","","test_import_records","",""
"","0","test_recording_flu_vaccination","tests","Mon Aug 25 05:41:39 BST 2025","broken","Mon Aug 25 05:41:39 BST 2025","","test_e2e","",""
"","0","test_recording_notes","tests","Mon Aug 25 05:22:34 BST 2025","failed","Mon Aug 25 05:22:34 BST 2025","","test_sessions","",""
"","0","test_vaccs_historic_no_urn_mav_855","tests","Mon Aug 25 05:31:41 BST 2025","failed","Mon Aug 25 05:31:41 BST 2025","","test_import_records","",""
"","2226","test_child_list_file_structure","tests","Mon Aug 25 05:04:34 BST 2025","passed","Mon Aug 25 05:04:36 BST 2025","","test_import_records","",""
"","21128","test_given[health_question: True-change_school: False]","tests","Mon Aug 25 05:20:38 BST 2025","passed","Mon Aug 25 05:20:59 BST 2025","","test_online_consent_hpv","",""
"","0","test_rav_verify_excel_mav_854","tests","Mon Aug 25 05:15:55 BST 2025","broken","Mon Aug 25 05:15:55 BST 2025","","test_programmes","",""
"","0","test_vaccs_hpv_space_normalization","tests","Mon Aug 25 05:35:19 BST 2025","failed","Mon Aug 25 05:35:19 BST 2025","","test_import_records","",""
"","0","test_create_with_nhs_number[children0]","tests","Mon Aug 25 05:39:11 BST 2025","broken","Mon Aug 25 05:39:11 BST 2025","","test_consent_responses","",""
"","0","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Mon Aug 25 05:30:22 BST 2025","broken","Mon Aug 25 05:30:22 BST 2025","","test_online_consent_flu","",""
"","25917","test_given[health_question: True-consent_option: Injection]","tests","Mon Aug 25 05:10:41 BST 2025","passed","Mon Aug 25 05:11:07 BST 2025","","test_online_consent_flu","",""
"","11041","test_batch_add_change_archive[Fluenz]","tests","Mon Aug 25 05:01:46 BST 2025","passed","Mon Aug 25 05:01:57 BST 2025","","test_vaccines","",""
