"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","4249","test_consent_given_for_doubles_vaccination[yes_to_health_questions: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Sat Nov 22 03:51:00 GMT 2025","passed","Sat Nov 22 03:51:05 GMT 2025","","test_online_consent_doubles","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","480","test_batch_name_too_short[Priorix]","tests","Sat Nov 22 03:49:44 GMT 2025","passed","Sat Nov 22 03:49:45 GMT 2025","","test_vaccines","",""
"
Test: Generate and verify SystmOne report for MMR programme.
Steps:
1. Navigate to reports page.
2. Generate SystmOne report for MMR.
Verification:
- Report is generated in SystmOne format for MMR.
","1313","test_verify_systmone_report_for_mmr","tests","Sat Nov 22 03:50:14 GMT 2025","passed","Sat Nov 22 03:50:15 GMT 2025","","test_programmes","",""
"
Test: Verify reporting values update correctly after vaccination and edit.
Steps:
1. Record a flu vaccination for a child and verify initial reporting values.
2. Refresh reports and check that the cohort and vaccination percentages update.
3. Edit the child's vaccination record to mark the outcome as refused.
4. Refresh reports and verify that the reporting values reflect the refusal.
Verification:
- After vaccination, report shows 1 more vaccinated and 0 more not vaccinated.
- After marking as refused, report shows 0 more vaccinated and
  1 more not vaccinated.
","35689","test_report_view","tests","Sat Nov 22 03:54:12 GMT 2025","passed","Sat Nov 22 03:54:47 GMT 2025","","test_reporting","",""
"
Test: Upload a child list file with invalid structure and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload a file with incorrect structure.
Verification:
- Output indicates structural errors.
","982","test_child_list_file_upload_invalid_structure","tests","Sat Nov 22 03:51:37 GMT 2025","passed","Sat Nov 22 03:51:38 GMT 2025","","test_import_child_lists","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1593","test_batch_add_change_archive[MenQuadfi]","tests","Sat Nov 22 03:49:03 GMT 2025","passed","Sat Nov 22 03:49:05 GMT 2025","","test_vaccines","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","538","test_login_with_invalid_credentials[password: invalid-username: ]","tests","Sat Nov 22 03:50:17 GMT 2025","passed","Sat Nov 22 03:50:18 GMT 2025","","test_log_in","",""
"
Test: Submit online flu consent for an existing child and
change schools.
Steps:
1. Fill in child and parent details and change schools.
2. Verify the school move is created in Mavis and confirm it.
3. Navigate to the session at the new school and go to consent tab.
4. Search for the child and verify the correct consent appears.
Verification:
- The consent method displayed in the session matches the expected method.
","11741","test_online_consent_school_moves_with_existing_patient","tests","Sat Nov 22 03:54:09 GMT 2025","passed","Sat Nov 22 03:54:20 GMT 2025","","test_online_consent_school_moves","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","439","test_batch_name_too_short[Menveo]","tests","Sat Nov 22 03:49:36 GMT 2025","passed","Sat Nov 22 03:49:37 GMT 2025","","test_vaccines","",""
"
Test: Submit online flu consent for a new child and
change schools.
Steps:
1. Fill in child and parent details and change schools.
2. Verify the school move is created in Mavis and confirm it.
3. Navigate to the session at the new school and go to consent tab.
4. Search for the child and verify the correct consent appears.
Verification:
- The consent method displayed in the session matches the expected method.
","12125","test_online_consent_school_moves_with_new_patient","tests","Sat Nov 22 03:54:25 GMT 2025","passed","Sat Nov 22 03:54:37 GMT 2025","","test_online_consent_school_moves","",""
