"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4087","test_cohorts_no_record","tests","Mon Aug 25 06:56:10 BST 2025","passed","Mon Aug 25 06:56:14 BST 2025","","test_programmes","",""
"","3182","test_batch_name_too_long[Fluenz]","tests","Mon Aug 25 06:55:48 BST 2025","passed","Mon Aug 25 06:55:51 BST 2025","","test_vaccines","",""
"","0","test_correct_method_shown[consents: (<ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Mon Aug 25 07:12:05 BST 2025","broken","Mon Aug 25 07:12:05 BST 2025","","test_online_consent_flu","",""
"","0","test_create_with_nhs_number[children0]","tests","Mon Aug 25 07:33:21 BST 2025","broken","Mon Aug 25 07:33:21 BST 2025","","test_consent_responses","",""
"","10346","test_class_list_empty_file","tests","Mon Aug 25 07:04:33 BST 2025","passed","Mon Aug 25 07:04:44 BST 2025","","test_import_records","",""
"","0","test_rav_edit_dose_to_not_given","tests","Mon Aug 25 07:05:43 BST 2025","failed","Mon Aug 25 07:05:43 BST 2025","","test_programmes","",""
"","25104","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Aug 25 07:00:13 BST 2025","passed","Mon Aug 25 07:00:38 BST 2025","","test_online_consent_doubles","",""
"","2120","test_visible","tests","Mon Aug 25 07:38:31 BST 2025","passed","Mon Aug 25 07:38:33 BST 2025","","test_start","",""
"","23621","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Aug 25 06:57:09 BST 2025","passed","Mon Aug 25 06:57:33 BST 2025","","test_online_consent_doubles","",""
"","10181","test_batch_add_change_archive[Fluenz]","tests","Mon Aug 25 06:53:00 BST 2025","passed","Mon Aug 25 06:53:10 BST 2025","","test_vaccines","",""
"","16679","test_verify_careplus_report_for_doubles","tests","Mon Aug 25 07:09:12 BST 2025","passed","Mon Aug 25 07:09:28 BST 2025","","test_programmes","",""
"","0","test_vaccs_duplicate_record_upload","tests","Mon Aug 25 07:14:20 BST 2025","failed","Mon Aug 25 07:14:20 BST 2025","","test_import_records","",""
"","3194","test_batch_name_too_short[Fluenz]","tests","Mon Aug 25 06:54:44 BST 2025","passed","Mon Aug 25 06:54:47 BST 2025","","test_vaccines","",""
"","0","test_recording_flu_vaccination","tests","Mon Aug 25 07:36:32 BST 2025","broken","Mon Aug 25 07:36:32 BST 2025","","test_e2e","",""
"","2771","test_batch_name_too_short[MenQuadfi]","tests","Mon Aug 25 06:55:04 BST 2025","passed","Mon Aug 25 06:55:07 BST 2025","","test_vaccines","",""
"","0","test_vaccs_community_clinic_name_case","tests","Mon Aug 25 07:40:08 BST 2025","failed","Mon Aug 25 07:40:08 BST 2025","","test_import_records","",""
"","2444","test_vaccs_systmone_positive_file_upload","tests","Mon Aug 25 07:28:31 BST 2025","passed","Mon Aug 25 07:28:34 BST 2025","","test_import_records","",""
"","0","test_verify_search","tests","Mon Aug 25 07:12:13 BST 2025","failed","Mon Aug 25 07:12:13 BST 2025","","test_sessions","",""
"","0","test_gillick_competence_notes","tests","Mon Aug 25 07:21:45 BST 2025","failed","Mon Aug 25 07:21:45 BST 2025","","test_verbal_consent","",""
"","22624","test_given[health_question: True-change_school: True]","tests","Mon Aug 25 07:14:28 BST 2025","passed","Mon Aug 25 07:14:50 BST 2025","","test_online_consent_hpv","",""
"","1279","test_invalid[password: invalid-username: invalid]","tests","Mon Aug 25 07:06:54 BST 2025","passed","Mon Aug 25 07:06:55 BST 2025","","test_log_in","",""
"","33599","test_given[health_question: False-consent_option: ]","tests","Mon Aug 25 07:00:19 BST 2025","passed","Mon Aug 25 07:00:52 BST 2025","","test_online_consent_flu","",""
"","2861","test_batch_name_too_short[Nimenrix]","tests","Mon Aug 25 06:55:25 BST 2025","passed","Mon Aug 25 06:55:28 BST 2025","","test_vaccines","",""
"","2662","test_batch_name_too_short[Menveo]","tests","Mon Aug 25 06:55:15 BST 2025","passed","Mon Aug 25 06:55:18 BST 2025","","test_vaccines","",""
"","0","test_vaccs_systmone_negative_historical_file_upload","tests","Mon Aug 25 07:30:52 BST 2025","broken","Mon Aug 25 07:30:52 BST 2025","","test_import_records","",""
"","0","test_create_edit_delete","tests","Mon Aug 25 07:39:25 BST 2025","failed","Mon Aug 25 07:39:25 BST 2025","","test_imms","",""
"","0","test_vaccs_nivs_disallow_flu_for_previous_years","tests","Mon Aug 25 07:36:31 BST 2025","failed","Mon Aug 25 07:36:31 BST 2025","","test_import_records","",""
"","0","test_vaccs_hpv_space_normalization","tests","Mon Aug 25 07:32:53 BST 2025","failed","Mon Aug 25 07:32:53 BST 2025","","test_import_records","",""
"","9615","test_cohorts_archive_and_unarchive","tests","Mon Aug 25 06:58:21 BST 2025","failed","Mon Aug 25 06:58:31 BST 2025","","test_programmes","",""
"","0","test_gillick_competence","tests","Mon Aug 25 07:19:24 BST 2025","failed","Mon Aug 25 07:19:24 BST 2025","","test_verbal_consent","",""
"","14916","test_rav_triage_consent_given","tests","Mon Aug 25 07:01:01 BST 2025","failed","Mon Aug 25 07:01:16 BST 2025","","test_programmes","",""
"","7376","test_verify_systmone_report_for_hpv","tests","Mon Aug 25 07:10:17 BST 2025","passed","Mon Aug 25 07:10:24 BST 2025","","test_programmes","",""
"","21396","test_given[health_question: False-consent_option: Injection]","tests","Mon Aug 25 06:59:16 BST 2025","passed","Mon Aug 25 06:59:37 BST 2025","","test_online_consent_flu","",""
"","2671","test_batch_name_too_long[Gardasil 9]","tests","Mon Aug 25 06:56:00 BST 2025","passed","Mon Aug 25 06:56:03 BST 2025","","test_vaccines","",""
"","2251","test_child_list_file_structure","tests","Mon Aug 25 06:55:55 BST 2025","passed","Mon Aug 25 06:55:58 BST 2025","","test_import_records","",""
"","16792","test_class_list_file_upload_positive","tests","Mon Aug 25 07:01:16 BST 2025","failed","Mon Aug 25 07:01:32 BST 2025","","test_import_records","",""
"","26002","test_given[health_question: False-change_school: True-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Aug 25 06:59:07 BST 2025","passed","Mon Aug 25 06:59:33 BST 2025","","test_online_consent_doubles","",""
"","0","test_recording_doubles_vaccination","tests","Mon Aug 25 07:32:11 BST 2025","broken","Mon Aug 25 07:32:11 BST 2025","","test_e2e","",""
"","2617","test_batch_name_too_short[Gardasil 9]","tests","Mon Aug 25 06:54:54 BST 2025","passed","Mon Aug 25 06:54:57 BST 2025","","test_vaccines","",""
"","40557","test_given[health_question: True-consent_option: Nasal spray]","tests","Mon Aug 25 07:01:33 BST 2025","passed","Mon Aug 25 07:02:13 BST 2025","","test_online_consent_flu","",""
"","2986","test_batch_name_too_short[Revaxis]","tests","Mon Aug 25 06:55:37 BST 2025","passed","Mon Aug 25 06:55:40 BST 2025","","test_vaccines","",""
"","1127","test_invalid[password: -username: ]","tests","Mon Aug 25 07:06:41 BST 2025","passed","Mon Aug 25 07:06:43 BST 2025","","test_log_in","",""
"","8997","test_batch_add_change_archive[MenQuadfi]","tests","Mon Aug 25 06:53:34 BST 2025","passed","Mon Aug 25 06:53:43 BST 2025","","test_vaccines","",""
"","0","test_vaccs_historic_no_urn_mav_855","tests","Mon Aug 25 07:27:27 BST 2025","failed","Mon Aug 25 07:27:27 BST 2025","","test_import_records","",""
"","2635","test_batch_name_too_long[Revaxis]","tests","Mon Aug 25 06:56:47 BST 2025","passed","Mon Aug 25 06:56:50 BST 2025","","test_vaccines","",""
"","0","test_vaccs_negative_file_upload","tests","Mon Aug 25 07:12:02 BST 2025","failed","Mon Aug 25 07:12:02 BST 2025","","test_import_records","",""
"","0","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Mon Aug 25 07:23:44 BST 2025","broken","Mon Aug 25 07:23:44 BST 2025","","test_online_consent_flu","",""
"","0","test_vaccs_historic_positive_file_upload","tests","Mon Aug 25 07:23:01 BST 2025","failed","Mon Aug 25 07:23:01 BST 2025","","test_import_records","",""
"","27316","test_lifecycle","tests","Mon Aug 25 07:07:26 BST 2025","passed","Mon Aug 25 07:07:53 BST 2025","","test_sessions","",""
"","28020","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Aug 25 07:02:26 BST 2025","passed","Mon Aug 25 07:02:54 BST 2025","","test_online_consent_doubles","",""
"","0","test_match","tests","Mon Aug 25 07:29:29 BST 2025","broken","Mon Aug 25 07:29:29 BST 2025","","test_consent_responses","",""
