"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37726","test_child_list_space_normalization","tests","Wed Aug 27 10:25:58 BST 2025","passed","Wed Aug 27 10:26:36 BST 2025","","test_import_records","",""
"","8964","test_gillick_competence_notes","tests","Wed Aug 27 10:34:41 BST 2025","passed","Wed Aug 27 10:34:50 BST 2025","","test_verbal_consent","",""
"","4870","test_batch_add_change_archive[Fluenz]","tests","Wed Aug 27 10:25:05 BST 2025","passed","Wed Aug 27 10:25:09 BST 2025","","test_vaccines","",""
"","2483","test_valid[role: superuser]","tests","Wed Aug 27 10:31:47 BST 2025","passed","Wed Aug 27 10:31:50 BST 2025","","test_log_in","",""
"","641","test_invalid[password: invalid-username: ]","tests","Wed Aug 27 10:31:34 BST 2025","passed","Wed Aug 27 10:31:35 BST 2025","","test_log_in","",""
"","1817","test_download","tests","Wed Aug 27 10:41:34 BST 2025","passed","Wed Aug 27 10:41:36 BST 2025","","test_school_moves","",""
"","1512","test_visible","tests","Wed Aug 27 10:40:31 BST 2025","passed","Wed Aug 27 10:40:32 BST 2025","","test_start","",""
"","1256","test_batch_name_too_short[MenQuadfi]","tests","Wed Aug 27 10:26:15 BST 2025","passed","Wed Aug 27 10:26:17 BST 2025","","test_vaccines","",""
"","10061","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Aug 27 10:26:04 BST 2025","passed","Wed Aug 27 10:26:14 BST 2025","","test_online_consent_doubles","",""
"","10645","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Aug 27 10:29:33 BST 2025","passed","Wed Aug 27 10:29:43 BST 2025","","test_online_consent_doubles","",""
"","16551","test_vaccs_historic_no_urn_mav_855","tests","Wed Aug 27 10:34:21 BST 2025","passed","Wed Aug 27 10:34:38 BST 2025","","test_import_records","",""
"","14057","test_class_list_file_upload_positive","tests","Wed Aug 27 10:26:47 BST 2025","passed","Wed Aug 27 10:27:01 BST 2025","","test_import_records","",""
"","11996","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Aug 27 10:29:03 BST 2025","passed","Wed Aug 27 10:29:15 BST 2025","","test_online_consent_doubles","",""
"","1904","test_valid[role: admin]","tests","Wed Aug 27 10:31:39 BST 2025","passed","Wed Aug 27 10:31:41 BST 2025","","test_log_in","",""
"","732","test_invalid[password: invalid-username: invalid]","tests","Wed Aug 27 10:31:37 BST 2025","passed","Wed Aug 27 10:31:37 BST 2025","","test_log_in","",""
"","5104","test_batch_add_change_archive[Nimenrix]","tests","Wed Aug 27 10:25:44 BST 2025","passed","Wed Aug 27 10:25:49 BST 2025","","test_vaccines","",""
"","2965","test_verify_csv_report_for_hpv","tests","Wed Aug 27 10:33:30 BST 2025","passed","Wed Aug 27 10:33:33 BST 2025","","test_programmes","",""
"
1. Upload vaccination records for a patient that doesn't contain vaccine information (VACCINE_GIVEN column)
2. Navigate to the patient, either in a session or from the global children view
3. Expected: patient details can be seen
Actual: crash
","6582","test_details_mav_853","tests","Wed Aug 27 10:37:14 BST 2025","passed","Wed Aug 27 10:37:21 BST 2025","","test_children","",""
"","6183","test_verify_attendance_filters","tests","Wed Aug 27 10:32:44 BST 2025","passed","Wed Aug 27 10:32:51 BST 2025","","test_sessions","",""
"","2481","test_vaccs_historic_negative_file_upload","tests","Wed Aug 27 10:33:51 BST 2025","passed","Wed Aug 27 10:33:54 BST 2025","","test_import_records","",""
"","1836","test_cohorts_empty_file","tests","Wed Aug 27 10:25:47 BST 2025","passed","Wed Aug 27 10:25:49 BST 2025","","test_programmes","",""
"","56839","test_create_edit_delete","tests","Wed Aug 27 10:39:22 BST 2025","passed","Wed Aug 27 10:40:18 BST 2025","","test_imms","",""
"","32332","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Wed Aug 27 10:34:15 BST 2025","passed","Wed Aug 27 10:34:47 BST 2025","","test_online_consent_flu","",""
"","12160","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Aug 27 10:30:02 BST 2025","passed","Wed Aug 27 10:30:14 BST 2025","","test_online_consent_doubles","",""
"","10656","test_given[health_question: True-consent_option: Injection]","tests","Wed Aug 27 10:29:57 BST 2025","passed","Wed Aug 27 10:30:08 BST 2025","","test_online_consent_flu","",""
"","763","test_vaccs_empty_file","tests","Wed Aug 27 10:32:50 BST 2025","passed","Wed Aug 27 10:32:50 BST 2025","","test_import_records","",""
"","14598","test_given[health_question: False-consent_option: ]","tests","Wed Aug 27 10:28:50 BST 2025","passed","Wed Aug 27 10:29:05 BST 2025","","test_online_consent_flu","",""
"","2372","test_valid[role: nurse]","tests","Wed Aug 27 10:31:43 BST 2025","passed","Wed Aug 27 10:31:45 BST 2025","","test_log_in","",""
"","36024","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Wed Aug 27 10:35:16 BST 2025","passed","Wed Aug 27 10:35:52 BST 2025","","test_online_consent_flu","",""
"","13425","test_given[health_question: False-consent_option: Nasal spray]","tests","Wed Aug 27 10:27:51 BST 2025","passed","Wed Aug 27 10:28:04 BST 2025","","test_online_consent_flu","",""
"","47391","test_rav_verify_excel_mav_854","tests","Wed Aug 27 10:32:19 BST 2025","passed","Wed Aug 27 10:33:06 BST 2025","","test_programmes","",""
"","707","test_child_list_no_record","tests","Wed Aug 27 10:25:44 BST 2025","passed","Wed Aug 27 10:25:44 BST 2025","","test_import_records","",""
"","1018","test_vaccs_community_clinic_name_case","tests","Wed Aug 27 10:38:20 BST 2025","passed","Wed Aug 27 10:38:21 BST 2025","","test_import_records","",""
"","9884","test_merge_does_not_crash","tests","Wed Aug 27 10:39:57 BST 2025","failed","Wed Aug 27 10:40:06 BST 2025","","test_children","",""
"","5262","test_batch_add_change_archive[MenQuadfi]","tests","Wed Aug 27 10:25:25 BST 2025","passed","Wed Aug 27 10:25:31 BST 2025","","test_vaccines","",""
"","23053","test_rav_triage_consent_refused","tests","Wed Aug 27 10:30:44 BST 2025","passed","Wed Aug 27 10:31:07 BST 2025","","test_programmes","",""
"","1513","test_batch_name_too_long[Gardasil 9]","tests","Wed Aug 27 10:26:45 BST 2025","passed","Wed Aug 27 10:26:47 BST 2025","","test_vaccines","",""
"","12780","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Aug 27 10:30:34 BST 2025","passed","Wed Aug 27 10:30:47 BST 2025","","test_online_consent_doubles","",""
"","1427","test_vaccs_systmone_positive_file_upload","tests","Wed Aug 27 10:34:57 BST 2025","passed","Wed Aug 27 10:34:59 BST 2025","","test_import_records","",""
"","30655","test_recording_hpv_vaccination","tests","Wed Aug 27 10:37:33 BST 2025","passed","Wed Aug 27 10:38:04 BST 2025","","test_e2e","",""
"","38664","test_recording_doubles_vaccination","tests","Wed Aug 27 10:38:39 BST 2025","passed","Wed Aug 27 10:39:17 BST 2025","","test_e2e","",""
"","6583","test_vaccs_historic_positive_file_upload","tests","Wed Aug 27 10:33:18 BST 2025","passed","Wed Aug 27 10:33:25 BST 2025","","test_import_records","",""
"","33599","test_class_list_space_normalization","tests","Wed Aug 27 10:29:06 BST 2025","passed","Wed Aug 27 10:29:40 BST 2025","","test_import_records","",""
"","945","test_vaccs_systmone_disallow_flu_for_previous_years","tests","Wed Aug 27 10:37:50 BST 2025","passed","Wed Aug 27 10:37:51 BST 2025","","test_import_records","",""
"","2020","test_cohorts_file_structure","tests","Wed Aug 27 10:25:31 BST 2025","passed","Wed Aug 27 10:25:33 BST 2025","","test_programmes","",""
"","18271","test_create_with_no_nhs_number","tests","Wed Aug 27 10:42:47 BST 2025","passed","Wed Aug 27 10:43:05 BST 2025","","test_consent_responses","",""
"","628","test_child_list_empty_file","tests","Wed Aug 27 10:25:51 BST 2025","passed","Wed Aug 27 10:25:52 BST 2025","","test_import_records","",""
"","6615","test_refused","tests","Wed Aug 27 10:27:25 BST 2025","passed","Wed Aug 27 10:27:32 BST 2025","","test_online_consent_flu","",""
"","7500","test_rav_edit_dose_to_not_given","tests","Wed Aug 27 10:31:42 BST 2025","passed","Wed Aug 27 10:31:49 BST 2025","","test_programmes","",""
"","41160","test_parent_provides_consent_twice","tests","Wed Aug 27 10:36:06 BST 2025","passed","Wed Aug 27 10:36:47 BST 2025","","test_verbal_consent","",""
"","1352","test_batch_name_too_short[Menveo]","tests","Wed Aug 27 10:26:21 BST 2025","passed","Wed Aug 27 10:26:22 BST 2025","","test_vaccines","",""
"","2729","test_vaccs_negative_file_upload","tests","Wed Aug 27 10:30:47 BST 2025","passed","Wed Aug 27 10:30:49 BST 2025","","test_import_records","",""
"","51861","test_conflicting_consent_with_gillick_consent","tests","Wed Aug 27 10:37:09 BST 2025","passed","Wed Aug 27 10:38:00 BST 2025","","test_verbal_consent","",""
"","10251","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Aug 27 10:25:35 BST 2025","passed","Wed Aug 27 10:25:45 BST 2025","","test_online_consent_doubles","",""
"","19551","test_given[health_question: True-consent_option: ]","tests","Wed Aug 27 10:30:26 BST 2025","passed","Wed Aug 27 10:30:45 BST 2025","","test_online_consent_flu","",""
"","1701","test_archive","tests","Wed Aug 27 10:38:30 BST 2025","passed","Wed Aug 27 10:38:32 BST 2025","","test_consent_responses","",""
"","6682","test_refused","tests","Wed Aug 27 10:34:54 BST 2025","passed","Wed Aug 27 10:35:00 BST 2025","","test_online_consent_hpv","",""
"","32292","test_recording_flu_vaccination","tests","Wed Aug 27 10:39:47 BST 2025","passed","Wed Aug 27 10:40:20 BST 2025","","test_e2e","",""
"
Steps to reproduce:
Patient setup: in a school session today, marked as attending, session has HPV and doubles, patients is eligible for all vaccines (has consent, correct year group, no history)
Complete pre-screening questions and vaccinate the patient for any one vaccine (eg. HPV)
Testing has confirmed the following:
Two vaccinations in same session
- If HPV is followed by MenACWY then ""feeling well"" is pre-filled
- If HPV is followed by Td/IPV  then both ""feeling well"" and ""not pregnant"" are pre-populated
- If MenACWY followed by Td/IPV then ""feeling well"" is pre-filled
- If MenCAWY followed by HPV then ""feeling well"" is pre-filled
- If Td/IPV followed by MenACWY  then ""feeling well"" is pre-filled
- If Td/IPV is followed by HPV  then both ""feeling well"" and ""not pregnant"" are pre-populated
","116448","test_programmes_rav_pre_screening_questions","tests","Wed Aug 27 10:41:02 BST 2025","passed","Wed Aug 27 10:42:59 BST 2025","","test_reset","",""
