"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1075","test_visible","tests","Wed Jul 02 11:58:35 BST 2025","passed","Wed Jul 02 11:58:36 BST 2025","","test_start","",""
"","9121","test_given[health_question: False-change_school: False]","tests","Wed Jul 02 11:55:47 BST 2025","passed","Wed Jul 02 11:55:56 BST 2025","","test_online_consent_hpv","",""
"","6110","test_gillick_competence_notes","tests","Wed Jul 02 11:56:24 BST 2025","passed","Wed Jul 02 11:56:30 BST 2025","","test_verbal_consent","",""
"","6640","test_vaccs_historic_no_urn_mav_855","tests","Wed Jul 02 11:55:46 BST 2025","passed","Wed Jul 02 11:55:53 BST 2025","","test_import_records","",""
"","524","test_invalid[password: -username: ]","tests","Wed Jul 02 11:53:17 BST 2025","passed","Wed Jul 02 11:53:17 BST 2025","","test_log_in","",""
"","929","test_vaccs_file_structure","tests","Wed Jul 02 11:54:01 BST 2025","passed","Wed Jul 02 11:54:02 BST 2025","","test_import_records","",""
"","3646","test_class_list_empty_file","tests","Wed Jul 02 11:51:39 BST 2025","passed","Wed Jul 02 11:51:42 BST 2025","","test_import_records","",""
"","7549","test_create_with_nhs_number[children0]","tests","Wed Jul 02 11:57:16 BST 2025","passed","Wed Jul 02 11:57:23 BST 2025","","test_consent_responses","",""
"","1699","test_vaccs_historic_negative_file_upload","tests","Wed Jul 02 11:55:25 BST 2025","passed","Wed Jul 02 11:55:27 BST 2025","","test_import_records","",""
"","3554","test_vaccs_historic_positive_file_upload","tests","Wed Jul 02 11:55:02 BST 2025","passed","Wed Jul 02 11:55:06 BST 2025","","test_import_records","",""
"","7744","test_create_with_no_nhs_number","tests","Wed Jul 02 11:57:53 BST 2025","passed","Wed Jul 02 11:58:01 BST 2025","","test_consent_responses","",""
"","7385","test_verify_consent_filters","tests","Wed Jul 02 11:55:01 BST 2025","passed","Wed Jul 02 11:55:09 BST 2025","","test_sessions","",""
"","813","test_invalid[password: invalid-username: invalid]","tests","Wed Jul 02 11:53:23 BST 2025","passed","Wed Jul 02 11:53:24 BST 2025","","test_log_in","",""
"","2371","test_valid[role: admin]","tests","Wed Jul 02 11:53:26 BST 2025","passed","Wed Jul 02 11:53:28 BST 2025","","test_log_in","",""
"","1129","test_batch_name_too_long[Nimenrix]","tests","Wed Jul 02 11:51:10 BST 2025","passed","Wed Jul 02 11:51:11 BST 2025","","test_vaccines","",""
"","1279","test_batch_name_too_short[Fluenz Tetra - LAIV]","tests","Wed Jul 02 11:50:17 BST 2025","passed","Wed Jul 02 11:50:19 BST 2025","","test_vaccines","",""
"","15339","test_rav_triage_consent_refused","tests","Wed Jul 02 11:50:58 BST 2025","passed","Wed Jul 02 11:51:14 BST 2025","","test_programmes","",""
"","0","test_rav_verify_banners","tests","Wed Jul 02 11:52:33 BST 2025","skipped","Wed Jul 02 11:52:33 BST 2025","","test_programmes","",""
"","11208","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Jul 02 11:54:29 BST 2025","passed","Wed Jul 02 11:54:40 BST 2025","","test_online_consent_doubles","",""
"","2503","test_child_list_file_upload_positive","tests","Wed Jul 02 11:49:27 BST 2025","passed","Wed Jul 02 11:49:29 BST 2025","","test_import_records","",""
"","6863","test_refused","tests","Wed Jul 02 11:55:24 BST 2025","passed","Wed Jul 02 11:55:31 BST 2025","","test_online_consent_hpv","",""
"","10752","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Jul 02 11:51:46 BST 2025","passed","Wed Jul 02 11:51:57 BST 2025","","test_online_consent_doubles","",""
"","3666","test_invalid","tests","Wed Jul 02 11:53:56 BST 2025","passed","Wed Jul 02 11:54:00 BST 2025","","test_sessions","",""
"","6599","test_refused","tests","Wed Jul 02 11:51:31 BST 2025","passed","Wed Jul 02 11:51:38 BST 2025","","test_online_consent_flu","",""
"","3463","test_class_list_no_record","tests","Wed Jul 02 11:51:21 BST 2025","passed","Wed Jul 02 11:51:24 BST 2025","","test_import_records","",""
"","4130","test_batch_add_change_archive[MenQuadfi]","tests","Wed Jul 02 11:49:43 BST 2025","passed","Wed Jul 02 11:49:47 BST 2025","","test_vaccines","",""
"","691","test_cohorts_empty_file","tests","Wed Jul 02 11:49:55 BST 2025","passed","Wed Jul 02 11:49:56 BST 2025","","test_programmes","",""
"","10706","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Jul 02 11:50:25 BST 2025","passed","Wed Jul 02 11:50:36 BST 2025","","test_online_consent_doubles","",""
"","5279","test_change_nhsno","tests","Wed Jul 02 11:58:27 BST 2025","passed","Wed Jul 02 11:58:32 BST 2025","","test_children","",""
"","10940","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Jul 02 11:49:57 BST 2025","passed","Wed Jul 02 11:50:08 BST 2025","","test_online_consent_doubles","",""
"","1806","test_archive","tests","Wed Jul 02 11:56:02 BST 2025","passed","Wed Jul 02 11:56:04 BST 2025","","test_consent_responses","",""
