"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10823","test_verify_careplus_report_for_doubles","tests","Thu Aug 07 11:05:22 BST 2025","passed","Thu Aug 07 11:05:33 BST 2025","","test_programmes","",""
"","21490","test_given[health_question: True-consent_option: ]","tests","Thu Aug 07 11:03:33 BST 2025","passed","Thu Aug 07 11:03:55 BST 2025","","test_online_consent_flu","",""
"","12462","test_given[health_question: False-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Aug 07 10:58:48 BST 2025","passed","Thu Aug 07 10:59:01 BST 2025","","test_online_consent_doubles","",""
"","6223","test_class_list_empty_file","tests","Thu Aug 07 11:00:41 BST 2025","passed","Thu Aug 07 11:00:47 BST 2025","","test_import_records","",""
"","8024","test_batch_add_change_archive[Nimenrix]","tests","Thu Aug 07 10:57:31 BST 2025","passed","Thu Aug 07 10:57:39 BST 2025","","test_vaccines","",""
"","9872","test_rav_edit_dose_to_not_given","tests","Thu Aug 07 11:03:22 BST 2025","passed","Thu Aug 07 11:03:32 BST 2025","","test_programmes","",""
"","2081","test_batch_name_too_long[Revaxis]","tests","Thu Aug 07 10:59:25 BST 2025","passed","Thu Aug 07 10:59:27 BST 2025","","test_vaccines","",""
"","7587","test_refused","tests","Thu Aug 07 11:06:26 BST 2025","passed","Thu Aug 07 11:06:34 BST 2025","","test_online_consent_hpv","",""
"","6671","test_class_list_file_upload_negative","tests","Thu Aug 07 10:59:14 BST 2025","passed","Thu Aug 07 10:59:21 BST 2025","","test_import_records","",""
"","43382","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Thu Aug 07 11:09:22 BST 2025","passed","Thu Aug 07 11:10:06 BST 2025","","test_online_consent_flu","",""
"","3086","test_valid[role: admin]","tests","Thu Aug 07 11:05:15 BST 2025","passed","Thu Aug 07 11:05:18 BST 2025","","test_log_in","",""
"","40468","test_rav_verify_excel_mav_854","tests","Thu Aug 07 11:04:16 BST 2025","passed","Thu Aug 07 11:04:56 BST 2025","","test_programmes","",""
"","44739","test_recording_doubles_vaccination","tests","Thu Aug 07 11:12:57 BST 2025","passed","Thu Aug 07 11:13:41 BST 2025","","test_e2e","",""
"","276121","test_vaccs_historic_no_urn_mav_855","tests","Thu Aug 07 11:07:46 BST 2025","failed","Thu Aug 07 11:12:22 BST 2025","","test_import_records","",""
"","7024","test_batch_add_change_archive[Fluenz]","tests","Thu Aug 07 10:56:44 BST 2025","passed","Thu Aug 07 10:56:51 BST 2025","","test_vaccines","",""
"","10714","test_gillick_competence_notes","tests","Thu Aug 07 11:09:54 BST 2025","passed","Thu Aug 07 11:10:05 BST 2025","","test_verbal_consent","",""
"","40570","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Thu Aug 07 11:06:52 BST 2025","passed","Thu Aug 07 11:07:33 BST 2025","","test_online_consent_flu","",""
"","3627","test_vaccs_historic_positive_file_upload","tests","Thu Aug 07 11:06:29 BST 2025","passed","Thu Aug 07 11:06:32 BST 2025","","test_import_records","",""
"","13329","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Aug 07 11:01:23 BST 2025","passed","Thu Aug 07 11:01:36 BST 2025","","test_online_consent_doubles","",""
"","2632","test_vaccs_systmone_space_normalization","tests","Thu Aug 07 11:15:15 BST 2025","passed","Thu Aug 07 11:15:18 BST 2025","","test_import_records","",""
"","5925","test_batch_add_change_archive[MenQuadfi]","tests","Thu Aug 07 10:57:09 BST 2025","passed","Thu Aug 07 10:57:14 BST 2025","","test_vaccines","",""
"","9565","test_gillick_competence","tests","Thu Aug 07 11:09:13 BST 2025","passed","Thu Aug 07 11:09:23 BST 2025","","test_verbal_consent","",""
"","13214","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Thu Aug 07 11:01:59 BST 2025","passed","Thu Aug 07 11:02:12 BST 2025","","test_online_consent_doubles","",""
"","29063","test_vaccs_hpv_space_normalization","tests","Thu Aug 07 11:14:20 BST 2025","passed","Thu Aug 07 11:14:49 BST 2025","","test_import_records","",""
"","2952","test_valid[role: superuser]","tests","Thu Aug 07 11:05:26 BST 2025","passed","Thu Aug 07 11:05:29 BST 2025","","test_log_in","",""
"","0","test_parent_provides_consent_twice","tests","Thu Aug 07 11:12:13 BST 2025","broken","Thu Aug 07 11:12:13 BST 2025","","test_verbal_consent","",""
"","11769","test_given[health_question: True-change_school: False]","tests","Thu Aug 07 11:08:03 BST 2025","passed","Thu Aug 07 11:08:15 BST 2025","","test_online_consent_hpv","",""
"","23953","test_rav_triage_consent_refused","tests","Thu Aug 07 11:02:22 BST 2025","passed","Thu Aug 07 11:02:46 BST 2025","","test_programmes","",""
"","36147","test_recording_flu_vaccination","tests","Thu Aug 07 11:14:09 BST 2025","passed","Thu Aug 07 11:14:45 BST 2025","","test_e2e","",""
"","36401","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Thu Aug 07 11:08:09 BST 2025","passed","Thu Aug 07 11:08:46 BST 2025","","test_online_consent_flu","",""
"","13145","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Aug 07 11:02:36 BST 2025","passed","Thu Aug 07 11:02:50 BST 2025","","test_online_consent_doubles","",""
"","4230","test_verify_careplus_report_for_hpv","tests","Thu Aug 07 11:05:11 BST 2025","passed","Thu Aug 07 11:05:15 BST 2025","","test_programmes","",""
"","2100","test_batch_name_too_long[Menveo]","tests","Thu Aug 07 10:59:10 BST 2025","passed","Thu Aug 07 10:59:12 BST 2025","","test_vaccines","",""
"","19109","test_given[health_question: True-consent_option: Nasal spray]","tests","Thu Aug 07 11:02:17 BST 2025","passed","Thu Aug 07 11:02:36 BST 2025","","test_online_consent_flu","",""
"","31687","test_class_list_space_normalization","tests","Thu Aug 07 11:01:36 BST 2025","passed","Thu Aug 07 11:02:08 BST 2025","","test_import_records","",""
"","6023","test_vaccs_positive_file_upload","tests","Thu Aug 07 11:02:39 BST 2025","passed","Thu Aug 07 11:02:45 BST 2025","","test_import_records","",""
"","1972","test_batch_name_too_long[MenQuadfi]","tests","Thu Aug 07 10:59:03 BST 2025","passed","Thu Aug 07 10:59:05 BST 2025","","test_vaccines","",""
"","1091","test_child_list_file_structure","tests","Thu Aug 07 10:57:15 BST 2025","passed","Thu Aug 07 10:57:16 BST 2025","","test_import_records","",""
"","30143","test_cohorts_file_structure","tests","Thu Aug 07 10:59:07 BST 2025","broken","Thu Aug 07 10:59:37 BST 2025","","test_programmes","",""
"","8798","test_vaccs_duplicate_record_upload","tests","Thu Aug 07 11:03:56 BST 2025","passed","Thu Aug 07 11:04:04 BST 2025","","test_import_records","",""
"","2681","test_valid[role: nurse]","tests","Thu Aug 07 11:05:21 BST 2025","passed","Thu Aug 07 11:05:23 BST 2025","","test_log_in","",""
"","15384","test_recording_notes","tests","Thu Aug 07 11:08:24 BST 2025","passed","Thu Aug 07 11:08:39 BST 2025","","test_sessions","",""
"","4478","test_invalid","tests","Thu Aug 07 11:06:00 BST 2025","passed","Thu Aug 07 11:06:05 BST 2025","","test_sessions","",""
"","31431","test_rav_triage_consent_given","tests","Thu Aug 07 11:01:30 BST 2025","passed","Thu Aug 07 11:02:01 BST 2025","","test_programmes","",""
"","793","test_invalid[password: -username: ]","tests","Thu Aug 07 11:05:00 BST 2025","passed","Thu Aug 07 11:05:01 BST 2025","","test_log_in","",""
"","0","test_verify_flu_not_available","tests","Thu Aug 07 10:59:33 BST 2025","passed","Thu Aug 07 10:59:33 BST 2025","","test_vaccines","",""
"","4783","test_headers_and_filter","tests","Thu Aug 07 11:09:31 BST 2025","passed","Thu Aug 07 11:09:35 BST 2025","","test_children","",""
