"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1696","test_batch_add_change_archive[Menveo]","tests","Thu Nov 20 10:47:19 GMT 2025","passed","Thu Nov 20 10:47:21 GMT 2025","","test_vaccines","",""
"
Test: Submit an online consent form giving consent for HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to HPV vaccination.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccine, and
  health question status.
","4070","test_consent_given_for_hpv_vaccination[yes_to_health_questions: True]","tests","Thu Nov 20 10:51:41 GMT 2025","passed","Thu Nov 20 10:51:45 GMT 2025","","test_online_consent_hpv","",""
"
Test: Upload a cohort file with invalid structure and verify error handling.
Steps:
1. Navigate to cohort import page.
2. Upload a file with incorrect structure.
Verification:
- Import fails and structural error is shown.
","669","test_cohort_upload_with_invalid_structure","tests","Thu Nov 20 10:47:10 GMT 2025","passed","Thu Nov 20 10:47:11 GMT 2025","","test_programmes","",""
"
Test: Upload a vaccination file and verify the child record and vaccination record
   exist.
Steps:
1. Upload a vaccination file for a child not in mavis.
2. Navigate to children page and search for the child.
3. Open vaccination details for the child.
Verification:
- Vaccination record and child record exist.
","3069","test_historical_vaccination_file_upload_creates_child","tests","Thu Nov 20 10:51:45 GMT 2025","passed","Thu Nov 20 10:51:48 GMT 2025","","test_import_historical_vaccinations","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1740","test_batch_add_change_archive[Revaxis]","tests","Thu Nov 20 10:47:37 GMT 2025","passed","Thu Nov 20 10:47:38 GMT 2025","","test_vaccines","",""
"
Test: Upload an invalid vaccination records file and verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a vaccination file with invalid data.
Verification:
- Output lists errors as expected for each record
Scenarios covered:

HPV_InvalidODSCode, HPV_EmptyOrgCode, HPV_EmptySchoolURN, HPV_NotKnownSchoolEmpty,
HPV_LongNHSNumber, HPV_ShortNHSNumber, HPV_EmptyForename, HPV_EmptyLastname,
HPV_EmptyDOB, HPV_InvalidFormatDOB, HPV_FutureDOB, HPV_NonLeapYearDOB,
HPV_EmptyGender, HPV_InvalidGender, HPV_EmptyPostCode, HPV_InvalidPostCode,
HPV_EmptyVaccDate, HPV_FutureVaccDate, HPV_EmptyVaccGiven, HPV_EmptyBatchNumber,
HPV_EmptyExpiryDate, HPV_EmptyAnatomicalSite, HPV_InvalidAnatomicalSite,
HPV_EmptyDoseSeq, HPV_InvalidDoseSeq, HPV_EmptyCareSetting, HPV_InvalidProfFName,
HPV_InvalidProfSName, HPV_InvalidProfEmail, HPV_InvalidClinic, HPV_InvalidTime,
HPV_InvalidReason, HPV_InvalidVaccinatedFlag, HPV_InvalidCareSetting,
HPV_TimeInFuture, HPV_VaccinatedFlagEmpty, TDIPV_EmptyDoseSeq, TDIPV_InvalidDoseSeq,
MenACWY_EmptyDoseSeq, MenACWY_InvalidDoseSeq, MenACWY_LongBatchNumber, MMR_DoseSeq3
","1607","test_vaccination_file_upload_invalid_data","tests","Thu Nov 20 10:48:59 GMT 2025","passed","Thu Nov 20 10:49:01 GMT 2025","","test_import_offline_vaccinations","",""
"
Test: Upload duplicate vaccination records and verify duplicate handling.
Steps:
1. Upload a vaccination file with duplicate records.
2. Upload a second file with more duplicates.
Verification:
- Output indicates duplicates are detected and handled.
Scenarios covered:
1. Duplicate records within the same file, and
2. Duplicate records across 2 different files
","2724","test_vaccination_file_upload_duplicate_records","tests","Thu Nov 20 10:49:09 GMT 2025","passed","Thu Nov 20 10:49:12 GMT 2025","","test_import_offline_vaccinations","",""
"
Test: Click the 'Send reminders' link and PDF download links in sessions and
verify there are no errors.
Steps:
1. Open a session with a fixed child.
2. Click 'Send reminders' link and verify no errors.
3. Attempt to download consent PDFs and verify no errors.
Verification:
- No errors occur when sending reminders or downloading PDFs.
","657","test_session_verify_consent_reminders_and_pdf_downloads","tests","Thu Nov 20 10:48:56 GMT 2025","passed","Thu Nov 20 10:48:57 GMT 2025","","test_sessions","",""
"
Test: Upload a valid child list file and verify successful import.
Steps:
1. Navigate to child record import page.
2. Upload a valid child list file.
Verification:
- Output indicates successful import of records.
Scenarios covered:
AllValidValues, Homeschooled, UnknownSchool, YearGroupEmpty, UnicodeApostrophe1,
UnicodeApostrophe2, UnicodeApostrophe3, DuplicateEmail
","3288","test_child_list_file_upload_valid_data","tests","Thu Nov 20 10:50:22 GMT 2025","passed","Thu Nov 20 10:50:25 GMT 2025","","test_import_child_lists","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","478","test_batch_name_too_long[Gardasil 9]","tests","Thu Nov 20 10:48:15 GMT 2025","passed","Thu Nov 20 10:48:15 GMT 2025","","test_vaccines","",""
