"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10645","test_given[health_question: False-change_school: True-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Aug 18 11:14:50 BST 2025","passed","Mon Aug 18 11:15:01 BST 2025","","test_online_consent_doubles","",""
"","12570","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Mon Aug 18 11:17:26 BST 2025","passed","Mon Aug 18 11:17:38 BST 2025","","test_online_consent_doubles","",""
"","18561","test_given[health_question: True-consent_option: ]","tests","Mon Aug 18 11:17:23 BST 2025","passed","Mon Aug 18 11:17:42 BST 2025","","test_online_consent_flu","",""
"","11729","test_given[health_question: True-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Aug 18 11:16:22 BST 2025","passed","Mon Aug 18 11:16:34 BST 2025","","test_online_consent_doubles","",""
"","1619","test_batch_name_too_long[Gardasil 9]","tests","Mon Aug 18 11:13:24 BST 2025","passed","Mon Aug 18 11:13:26 BST 2025","","test_vaccines","",""
"","5088","test_batch_add_change_archive[Menveo]","tests","Mon Aug 18 11:12:18 BST 2025","passed","Mon Aug 18 11:12:23 BST 2025","","test_vaccines","",""
"","9791","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Aug 18 11:13:50 BST 2025","passed","Mon Aug 18 11:14:00 BST 2025","","test_online_consent_doubles","",""
"","7118","test_change_nhsno","tests","Mon Aug 18 11:23:20 BST 2025","passed","Mon Aug 18 11:23:27 BST 2025","","test_children","",""
"","5475","test_class_list_year_group","tests","Mon Aug 18 11:15:11 BST 2025","passed","Mon Aug 18 11:15:16 BST 2025","","test_import_records","",""
"","15831","test_create_with_nhs_number[children0]","tests","Mon Aug 18 11:24:49 BST 2025","passed","Mon Aug 18 11:25:05 BST 2025","","test_consent_responses","",""
