"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1108","test_vaccs_nivs_disallow_flu_for_previous_years","tests","Thu Aug 21 12:57:55 BST 2025","passed","Thu Aug 21 12:57:56 BST 2025","","test_import_records","",""
"","28173","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Thu Aug 21 12:55:32 BST 2025","passed","Thu Aug 21 12:56:00 BST 2025","","test_online_consent_flu","",""
"","13947","test_verify_consent_filters","tests","Thu Aug 21 12:54:16 BST 2025","passed","Thu Aug 21 12:54:30 BST 2025","","test_sessions","",""
"","2887","test_cohort_upload_negative","tests","Thu Aug 21 12:46:16 BST 2025","passed","Thu Aug 21 12:46:19 BST 2025","","test_programmes","",""
"","4928","test_batch_add_change_archive[Nimenrix]","tests","Thu Aug 21 12:46:40 BST 2025","passed","Thu Aug 21 12:46:45 BST 2025","","test_vaccines","",""
"","36111","test_match","tests","Thu Aug 21 12:57:58 BST 2025","passed","Thu Aug 21 12:58:34 BST 2025","","test_consent_responses","",""
"","11636","test_given[health_question: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Aug 21 12:50:42 BST 2025","passed","Thu Aug 21 12:50:54 BST 2025","","test_online_consent_doubles","",""
"","4375","test_confirm_and_ignore","tests","Thu Aug 21 12:58:43 BST 2025","passed","Thu Aug 21 12:58:48 BST 2025","","test_school_moves","",""
"","2438","test_vaccs_systmone_negative_file_upload","tests","Thu Aug 21 12:55:46 BST 2025","passed","Thu Aug 21 12:55:48 BST 2025","","test_import_records","",""
"","1661","test_vaccs_systmone_positive_file_upload","tests","Thu Aug 21 12:55:25 BST 2025","passed","Thu Aug 21 12:55:27 BST 2025","","test_import_records","",""
"","44501","test_conflicting_consent_with_gillick_consent","tests","Thu Aug 21 12:57:40 BST 2025","passed","Thu Aug 21 12:58:24 BST 2025","","test_verbal_consent","",""
