"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2776","test_vaccs_negative_file_upload","tests","Mon Aug 18 14:39:09 BST 2025","passed","Mon Aug 18 14:39:12 BST 2025","","test_import_records","",""
"","902","test_child_list_no_record","tests","Mon Aug 18 14:31:37 BST 2025","passed","Mon Aug 18 14:31:38 BST 2025","","test_import_records","",""
"","7115","test_change_nhsno","tests","Mon Aug 18 14:31:50 BST 2025","passed","Mon Aug 18 14:31:57 BST 2025","","test_children","",""
"","35510","test_recording_doubles_vaccination","tests","Mon Aug 18 14:33:16 BST 2025","passed","Mon Aug 18 14:33:51 BST 2025","","test_e2e","",""
"","8053","test_merge_does_not_crash","tests","Mon Aug 18 14:32:28 BST 2025","passed","Mon Aug 18 14:32:36 BST 2025","","test_children","",""
"","3495","test_vaccs_positive_file_upload","tests","Mon Aug 18 14:38:41 BST 2025","passed","Mon Aug 18 14:38:44 BST 2025","","test_import_records","",""
"","4702","test_class_list_no_record","tests","Mon Aug 18 14:36:10 BST 2025","passed","Mon Aug 18 14:36:15 BST 2025","","test_import_records","",""
"","30672","test_recording_flu_vaccination","tests","Mon Aug 18 14:34:12 BST 2025","passed","Mon Aug 18 14:34:43 BST 2025","","test_e2e","",""
"","768","test_vaccs_empty_file","tests","Mon Aug 18 14:41:05 BST 2025","passed","Mon Aug 18 14:41:06 BST 2025","","test_import_records","",""
"","14958","test_create_with_no_nhs_number","tests","Mon Aug 18 14:32:15 BST 2025","passed","Mon Aug 18 14:32:30 BST 2025","","test_consent_responses","",""
"","743","test_vaccs_no_record","tests","Mon Aug 18 14:40:39 BST 2025","passed","Mon Aug 18 14:40:39 BST 2025","","test_import_records","",""
"","58209","test_create_edit_delete","tests","Mon Aug 18 14:33:29 BST 2025","passed","Mon Aug 18 14:34:28 BST 2025","","test_imms","",""
"
1. Upload vaccination records for a patient that doesn't contain vaccine information (VACCINE_GIVEN column)
2. Navigate to the patient, either in a session or from the global children view
3. Expected: patient details can be seen
Actual: crash
","8648","test_details_mav_853","tests","Mon Aug 18 14:31:07 BST 2025","passed","Mon Aug 18 14:31:16 BST 2025","","test_children","",""
"","4799","test_class_list_file_structure","tests","Mon Aug 18 14:35:49 BST 2025","passed","Mon Aug 18 14:35:54 BST 2025","","test_import_records","",""
"","6110","test_vaccs_duplicate_record_upload","tests","Mon Aug 18 14:39:38 BST 2025","passed","Mon Aug 18 14:39:44 BST 2025","","test_import_records","",""
"","46587","test_match","tests","Mon Aug 18 14:30:06 BST 2025","passed","Mon Aug 18 14:30:53 BST 2025","","test_consent_responses","",""
"","986","test_child_list_file_structure","tests","Mon Aug 18 14:31:28 BST 2025","passed","Mon Aug 18 14:31:29 BST 2025","","test_import_records","",""
"","4832","test_class_list_year_group","tests","Mon Aug 18 14:36:52 BST 2025","passed","Mon Aug 18 14:36:57 BST 2025","","test_import_records","",""
"","10423","test_class_list_file_upload_positive","tests","Mon Aug 18 14:35:00 BST 2025","failed","Mon Aug 18 14:35:10 BST 2025","","test_import_records","",""
"","4730","test_class_list_empty_file","tests","Mon Aug 18 14:36:31 BST 2025","passed","Mon Aug 18 14:36:36 BST 2025","","test_import_records","",""
"","0","test_recording_hpv_vaccination","tests","Mon Aug 18 14:31:44 BST 2025","broken","Mon Aug 18 14:31:44 BST 2025","","test_e2e","",""
"","4836","test_headers_and_filter","tests","Mon Aug 18 14:30:12 BST 2025","passed","Mon Aug 18 14:30:17 BST 2025","","test_children","",""
"","5291","test_class_list_file_upload_negative","tests","Mon Aug 18 14:35:27 BST 2025","passed","Mon Aug 18 14:35:32 BST 2025","","test_import_records","",""
"","4620","test_vaccs_historic_positive_file_upload","tests","Mon Aug 18 14:41:31 BST 2025","passed","Mon Aug 18 14:41:36 BST 2025","","test_import_records","",""
"","6474","test_child_list_file_upload_positive","tests","Mon Aug 18 14:30:36 BST 2025","failed","Mon Aug 18 14:30:42 BST 2025","","test_import_records","",""
"","9573","test_class_list_space_normalization","tests","Mon Aug 18 14:38:06 BST 2025","failed","Mon Aug 18 14:38:16 BST 2025","","test_import_records","",""
"","3526","test_archive","tests","Mon Aug 18 14:29:20 BST 2025","passed","Mon Aug 18 14:29:24 BST 2025","","test_consent_responses","",""
"","5815","test_child_list_space_normalization","tests","Mon Aug 18 14:33:18 BST 2025","failed","Mon Aug 18 14:33:24 BST 2025","","test_import_records","",""
"","17400","test_create_with_nhs_number[children0]","tests","Mon Aug 18 14:31:25 BST 2025","passed","Mon Aug 18 14:31:43 BST 2025","","test_consent_responses","",""
"","1023","test_vaccs_file_structure","tests","Mon Aug 18 14:40:12 BST 2025","passed","Mon Aug 18 14:40:13 BST 2025","","test_import_records","",""
"","1534","test_child_list_file_upload_negative","tests","Mon Aug 18 14:31:19 BST 2025","passed","Mon Aug 18 14:31:20 BST 2025","","test_import_records","",""
"","900","test_child_list_empty_file","tests","Mon Aug 18 14:31:45 BST 2025","passed","Mon Aug 18 14:31:46 BST 2025","","test_import_records","",""
