"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29377","test_invalid_consent","tests","Thu Aug 21 16:58:12 BST 2025","passed","Thu Aug 21 16:58:41 BST 2025","","test_verbal_consent","",""
"","1395","test_batch_name_too_long[MenQuadfi]","tests","Thu Aug 21 16:58:37 BST 2025","passed","Thu Aug 21 16:58:38 BST 2025","","test_vaccines","",""
"","11657","test_recording_notes","tests","Thu Aug 21 16:59:20 BST 2025","passed","Thu Aug 21 16:59:32 BST 2025","","test_sessions","",""
"","5920","test_batch_add_change_archive[Fluenz]","tests","Thu Aug 21 16:56:53 BST 2025","passed","Thu Aug 21 16:56:59 BST 2025","","test_vaccines","",""
"","1325","test_batch_name_too_long[Nimenrix]","tests","Thu Aug 21 16:58:48 BST 2025","passed","Thu Aug 21 16:58:49 BST 2025","","test_vaccines","",""
"","5757","test_batch_add_change_archive[MenQuadfi]","tests","Thu Aug 21 16:57:14 BST 2025","passed","Thu Aug 21 16:57:20 BST 2025","","test_vaccines","",""
"","1476","test_batch_name_too_short[MenQuadfi]","tests","Thu Aug 21 16:58:04 BST 2025","passed","Thu Aug 21 16:58:06 BST 2025","","test_vaccines","",""
"","1389","test_batch_name_too_short[Nimenrix]","tests","Thu Aug 21 16:58:15 BST 2025","passed","Thu Aug 21 16:58:17 BST 2025","","test_vaccines","",""
"","5916","test_batch_add_change_archive[Gardasil 9]","tests","Thu Aug 21 16:57:03 BST 2025","passed","Thu Aug 21 16:57:09 BST 2025","","test_vaccines","",""
"","6985","test_gillick_competence","tests","Thu Aug 21 16:57:09 BST 2025","passed","Thu Aug 21 16:57:16 BST 2025","","test_verbal_consent","",""
"","2267","test_download","tests","Thu Aug 21 16:57:23 BST 2025","passed","Thu Aug 21 16:57:25 BST 2025","","test_school_moves","",""
"","5848","test_batch_add_change_archive[Menveo]","tests","Thu Aug 21 16:57:24 BST 2025","passed","Thu Aug 21 16:57:30 BST 2025","","test_vaccines","",""
"","1573","test_visible","tests","Thu Aug 21 16:57:42 BST 2025","passed","Thu Aug 21 16:57:44 BST 2025","","test_start","",""
"","5001","test_batch_add_change_archive[Nimenrix]","tests","Thu Aug 21 16:57:35 BST 2025","passed","Thu Aug 21 16:57:40 BST 2025","","test_vaccines","",""
"","8648","test_gillick_competence_notes","tests","Thu Aug 21 16:57:41 BST 2025","passed","Thu Aug 21 16:57:50 BST 2025","","test_verbal_consent","",""
"","1457","test_batch_name_too_long[Menveo]","tests","Thu Aug 21 16:58:42 BST 2025","passed","Thu Aug 21 16:58:44 BST 2025","","test_vaccines","",""
"","1839","test_verify_search","tests","Thu Aug 21 16:58:18 BST 2025","passed","Thu Aug 21 16:58:20 BST 2025","","test_sessions","",""
"","17301","test_lifecycle","tests","Thu Aug 21 16:56:52 BST 2025","passed","Thu Aug 21 16:57:10 BST 2025","","test_sessions","",""
"","5867","test_verify_attendance_filters","tests","Thu Aug 21 16:57:43 BST 2025","passed","Thu Aug 21 16:57:48 BST 2025","","test_sessions","",""
"","1481","test_batch_name_too_short[Revaxis]","tests","Thu Aug 21 16:58:21 BST 2025","passed","Thu Aug 21 16:58:22 BST 2025","","test_vaccines","",""
"","1368","test_batch_name_too_short[Menveo]","tests","Thu Aug 21 16:58:10 BST 2025","passed","Thu Aug 21 16:58:11 BST 2025","","test_vaccines","",""
"","1","test_verify_flu_not_available","tests","Thu Aug 21 16:58:59 BST 2025","passed","Thu Aug 21 16:58:59 BST 2025","","test_vaccines","",""
"","5043","test_batch_add_change_archive[Revaxis]","tests","Thu Aug 21 16:57:44 BST 2025","passed","Thu Aug 21 16:57:49 BST 2025","","test_vaccines","",""
"","42058","test_conflicting_consent_with_gillick_consent","tests","Thu Aug 21 17:00:01 BST 2025","passed","Thu Aug 21 17:00:43 BST 2025","","test_verbal_consent","",""
"","13689","test_verify_consent_filters","tests","Thu Aug 21 16:58:43 BST 2025","passed","Thu Aug 21 16:58:57 BST 2025","","test_sessions","",""
"","35737","test_parent_provides_consent_twice","tests","Thu Aug 21 16:59:04 BST 2025","passed","Thu Aug 21 16:59:40 BST 2025","","test_verbal_consent","",""
"","1395","test_batch_name_too_short[Gardasil 9]","tests","Thu Aug 21 16:57:59 BST 2025","passed","Thu Aug 21 16:58:00 BST 2025","","test_vaccines","",""
"","1339","test_batch_name_too_long[Fluenz]","tests","Thu Aug 21 16:58:26 BST 2025","passed","Thu Aug 21 16:58:27 BST 2025","","test_vaccines","",""
"","1440","test_batch_name_too_short[Fluenz]","tests","Thu Aug 21 16:57:53 BST 2025","passed","Thu Aug 21 16:57:55 BST 2025","","test_vaccines","",""
"","3234","test_invalid","tests","Thu Aug 21 16:57:15 BST 2025","passed","Thu Aug 21 16:57:18 BST 2025","","test_sessions","",""
"","1400","test_batch_name_too_long[Revaxis]","tests","Thu Aug 21 16:58:53 BST 2025","passed","Thu Aug 21 16:58:54 BST 2025","","test_vaccines","",""
"","1404","test_batch_name_too_long[Gardasil 9]","tests","Thu Aug 21 16:58:31 BST 2025","passed","Thu Aug 21 16:58:33 BST 2025","","test_vaccines","",""
