"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1829","test_download","tests","Fri Aug 01 15:52:35 BST 2025","passed","Fri Aug 01 15:52:37 BST 2025","","test_school_moves","",""
"","40219","test_recording_doubles_vaccination","tests","Fri Aug 01 15:52:49 BST 2025","broken","Fri Aug 01 15:53:29 BST 2025","","test_e2e","",""
"","2293","test_valid[role: superuser]","tests","Fri Aug 01 15:45:07 BST 2025","passed","Fri Aug 01 15:45:09 BST 2025","","test_log_in","",""
"","11061","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Fri Aug 01 15:42:29 BST 2025","passed","Fri Aug 01 15:42:40 BST 2025","","test_online_consent_doubles","",""
"","1282","test_batch_name_too_short[MenQuadfi]","tests","Fri Aug 01 15:41:37 BST 2025","passed","Fri Aug 01 15:41:38 BST 2025","","test_vaccines","",""
"","1582","test_vaccs_systmone_space_normalization","tests","Fri Aug 01 15:49:51 BST 2025","passed","Fri Aug 01 15:49:52 BST 2025","","test_import_records","",""
"","23704","test_class_list_space_normalization","tests","Fri Aug 01 15:43:37 BST 2025","passed","Fri Aug 01 15:44:01 BST 2025","","test_import_records","",""
"","981","test_child_list_file_structure","tests","Fri Aug 01 15:40:47 BST 2025","passed","Fri Aug 01 15:40:48 BST 2025","","test_import_records","",""
"","11945","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Fri Aug 01 15:44:27 BST 2025","passed","Fri Aug 01 15:44:39 BST 2025","","test_online_consent_doubles","",""
"","816","test_vaccs_no_record","tests","Fri Aug 01 15:46:06 BST 2025","passed","Fri Aug 01 15:46:06 BST 2025","","test_import_records","",""
"","26248","test_create_edit_delete","tests","Fri Aug 01 15:52:11 BST 2025","passed","Fri Aug 01 15:52:37 BST 2025","","test_imms","",""
"","23263","test_child_list_space_normalization","tests","Fri Aug 01 15:41:05 BST 2025","passed","Fri Aug 01 15:41:28 BST 2025","","test_import_records","",""
"","9074","test_verify_consent_filters","tests","Fri Aug 01 15:46:42 BST 2025","passed","Fri Aug 01 15:46:51 BST 2025","","test_sessions","",""
"","10853","test_recording_notes","tests","Fri Aug 01 15:47:12 BST 2025","passed","Fri Aug 01 15:47:23 BST 2025","","test_sessions","",""
"","668","test_invalid[password: invalid-username: ]","tests","Fri Aug 01 15:44:53 BST 2025","passed","Fri Aug 01 15:44:54 BST 2025","","test_log_in","",""
"","4563","test_batch_add_change_archive[MenQuadfi]","tests","Fri Aug 01 15:40:48 BST 2025","passed","Fri Aug 01 15:40:53 BST 2025","","test_vaccines","",""
"","6919","test_refused","tests","Fri Aug 01 15:42:44 BST 2025","passed","Fri Aug 01 15:42:50 BST 2025","","test_online_consent_flu","",""
"","1433","test_batch_name_too_long[Menveo]","tests","Fri Aug 01 15:42:16 BST 2025","passed","Fri Aug 01 15:42:18 BST 2025","","test_vaccines","",""
"","1353","test_batch_name_too_short[Gardasil 9]","tests","Fri Aug 01 15:41:31 BST 2025","passed","Fri Aug 01 15:41:32 BST 2025","","test_vaccines","",""
"","2323","test_valid[role: nurse]","tests","Fri Aug 01 15:45:03 BST 2025","passed","Fri Aug 01 15:45:05 BST 2025","","test_log_in","",""
"","2931","test_verify_careplus_report_for_hpv","tests","Fri Aug 01 15:44:05 BST 2025","passed","Fri Aug 01 15:44:08 BST 2025","","test_programmes","",""
"","11774","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Fri Aug 01 15:43:57 BST 2025","passed","Fri Aug 01 15:44:08 BST 2025","","test_online_consent_doubles","",""
"","3355","test_class_list_empty_file","tests","Fri Aug 01 15:42:59 BST 2025","passed","Fri Aug 01 15:43:03 BST 2025","","test_import_records","",""
