"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","4913","test_consent_given_for_flu_vaccination[yes_to_health_questions: False-consent_option: Injection]","tests","Mon Nov 24 08:54:01 GMT 2025","passed","Mon Nov 24 08:54:06 GMT 2025","","test_online_consent_flu","",""
"
Test: Submit an online consent form giving consent for HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to HPV vaccination.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccine, and
  health question status.
","3780","test_consent_given_for_hpv_vaccination[yes_to_health_questions: True]","tests","Mon Nov 24 08:59:03 GMT 2025","passed","Mon Nov 24 08:59:06 GMT 2025","","test_online_consent_hpv","",""
"
Test: Generate and verify SystmOne report for HPV programme.
Steps:
1. Navigate to reports page.
2. Generate SystmOne report for HPV.
Verification:
- Report is generated in SystmOne format for HPV.
","1434","test_verify_systmone_report_for_hpv","tests","Mon Nov 24 08:55:03 GMT 2025","passed","Mon Nov 24 08:55:04 GMT 2025","","test_programmes","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1713","test_batch_add_change_archive[Nimenrix]","tests","Mon Nov 24 08:53:59 GMT 2025","passed","Mon Nov 24 08:54:00 GMT 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","474","test_batch_name_too_short[Revaxis]","tests","Mon Nov 24 08:54:38 GMT 2025","passed","Mon Nov 24 08:54:38 GMT 2025","","test_vaccines","",""
"
Test: Upload a SystmOne vaccination records file with extra whitespace and
   verify normalization.
Steps:
1. Upload a SystmOne file with whitespace issues.
Verification:
- Output indicates successful normalization and import.
Scenarios covered:
TwoSpaces, Tabs, NBSP (non-breaking space), ZWJ (zero-width joiner),
HistoricalTwoSpaces, HistoricalTabs, HistoricalNBSP, HistoricalZWJ
","1183","test_vaccination_file_upload_systmone_whitespace_normalization","tests","Mon Nov 24 08:57:44 GMT 2025","passed","Mon Nov 24 08:57:45 GMT 2025","","test_import_systmone_nivs","",""
"
Test: Changing a child's NHS number to an invalid value should fail.
Steps:
1. Setup: Import a fixed child class list and navigate to the children page.
2. Search for the child by name.
3. Open the child's record and edit it.
4. Attempt to change the NHS number to an invalid value (""9123456789"").
5. Continue to submit the change.
Verification:
- An alert appears with the message ""Enter a valid NHS number"".
","1629","test_invalid_nhs_number_change_is_rejected","tests","Mon Nov 24 08:58:51 GMT 2025","passed","Mon Nov 24 08:58:52 GMT 2025","","test_children","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links
   and team information.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Verify that team information is visible in Team page.
5. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
- Team name and email are visible in the Team page.
","1440","test_login_with_valid_credentials[role: superuser]","tests","Mon Nov 24 08:55:19 GMT 2025","passed","Mon Nov 24 08:55:20 GMT 2025","","test_log_in","",""
"
Test: Generate and verify CarePlus report for MenACWY and Td/IPV programmes.
Steps:
1. Navigate to reports page.
2. Generate CarePlus report for MenACWY.
3. Generate CarePlus report for Td/IPV.
Verification:
- Reports are generated in CarePlus format for both MenACWY and Td/IPV.
","3089","test_verify_careplus_report_for_doubles","tests","Mon Nov 24 08:54:46 GMT 2025","passed","Mon Nov 24 08:54:50 GMT 2025","","test_programmes","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","7811","test_consent_given_for_flu_vaccination[yes_to_health_questions: True-consent_option: ]","tests","Mon Nov 24 08:54:49 GMT 2025","passed","Mon Nov 24 08:54:57 GMT 2025","","test_online_consent_flu","",""
